layer_id,layer_name
0,1
1,103
2,11
3,11E
4,11V
5,12
6,125
7,12ALT
8,135
9,13A
10,13B
11,14
12,147
13,14E
14,15
15,151
16,15ALT
17,16
18,16E
19,17
20,173
21,17ALT
22,1E
23,2
24,21
25,21ALT
26,22
27,220
28,23
29,23V
30,24
31,24V
32,25
33,25V
34,27
35,27ALT
36,27E
37,27V
38,2ALT
39,30
40,31
41,31V
42,33
43,33V
44,34
45,34E
46,34V
47,35
48,350
49,36
50,37
51,37ALT
52,3A
53,3B
54,4
55,41
56,43
57,44
58,45
59,45V
60,47
61,47E
62,47V
63,5
64,50
65,51
66,51E
67,51V
68,52
69,52V
70,53
71,54
72,54ALT
73,54V
74,55
75,55ALT
76,5V
77,65
78,66
79,67
80,7
81,70
82,73
83,73E
84,74
85,74ALT
86,75
87,77ALT
88,7ALT
89,7V
90,80
91,E
92,N1
93,N2
94,N3
95,N4
96,N5
97,N6
98,N60
99,N7
100,N8
101,N9
102,Netliner
103,SB20
104,SB63
105,SB66
106,SEV
107,V
