node_id,stop_id,stop_name,stop_lat,stop_lon
0,62422,ASEAG lw -> Gewerbe,50.784943,6.130715
1,281061,ASEAG lw -> Schule,50.785706,6.131094
2,358898,ASEAG sw,50.78503,6.130284
3,48583,AVANTIS Doc Morris ->AC,50.837273,6.019161
4,37574,AVANTIS Honold,50.832607,6.018606
5,165197,Aachen Bushof,50.7774,6.09029
6,21166,Aachen Bushof H1,50.77759,6.090817
7,204735,Aachen Bushof H10,50.776836,6.090112
8,62109,Aachen Bushof H11,50.777176,6.090658
9,295427,Aachen Bushof H12,50.77692,6.09066
10,261895,Aachen Bushof H13,50.777267,6.09122
11,173092,Aachen Bushof H14,50.777157,6.089283
12,362993,Aachen Bushof H15,50.77739,6.088758
13,267782,Aachen Bushof H2,50.77731,6.09038
14,17743,Aachen Bushof H3,50.777096,6.090053
15,9346,Aachen Bushof H4,50.777653,6.090742
16,74602,Aachen Bushof H7,50.777695,6.090668
17,434134,Aachen Diepenbenden lw,50.745964,6.087902
18,446707,Aachen Diepenbenden sw -> Eupener Str.,50.74641,6.087831
19,227942,Aachen Diepenbenden sw -> Wendeschleife,50.746147,6.087678
20,250673,Aachen Eisenbahnweg lw,50.772556,6.125359
21,130714,Aachen Eisenbahnweg sw,50.77262,6.125355
22,387028,Aachen Elsa-Brändström-Straße lw,50.785175,6.090175
23,216177,Aachen Elsa-Brändström-Straße sw,50.785324,6.090024
24,250709,Aachen Goethestraße (Hangeweiher) lw,50.7618,6.073005
25,447463,Aachen Goethestraße (Hangeweiher) sw,50.761192,6.073838
26,175989,Aachen Goethestraße (Hangeweiher) sw Li.30,50.762066,6.074549
27,398786,Aachen Hauptbahnhof H1,50.7687,6.090617
28,227224,Aachen Hauptbahnhof H2,50.76882,6.090453
29,414084,Aachen Hauptbahnhof H3,50.768623,6.09004
30,97774,Aachen Hbf,50.7678,6.091499
31,179830,Aachen Hüls (Wilmersdorfer Straße),50.785763,6.137175
32,47867,Aachen Kaiserplatz H1 ->SEIB,50.77451,6.095619
33,386423,Aachen Kaiserplatz H2 Li.4 (Beeckstr.),50.774532,6.095107
34,333133,Aachen Kaiserplatz H3 ->WIBR (Li.47),50.774643,6.095199
35,171640,Aachen Kaiserplatz H4 Li.4 (Denkmal),50.77551,6.095259
36,97809,Aachen Kaiserplatz H5 ->AUGU,50.775566,6.095411
37,180956,Aachen Kaiserplatz H6 ->HPL,50.77574,6.095656
38,322801,Aachen Ludwig Forum,50.7815,6.10309
39,88947,Aachen Ludwig Forum,50.7814,6.10321
40,130042,Aachen Prager Ring,50.7916,6.11837
41,175387,Aachen Prager Ring,50.7922,6.11952
42,449165,Aachen Prager Ring,50.79159,6.119069
43,412328,Aachen Schillerstraße lw,50.762928,6.078197
44,181965,Aachen Schillerstraße sw,50.76281,6.078076
45,313399,Aachen Schwarzer Weg -> GRWI,50.794563,6.111278
46,141423,Aachen Schwarzer Weg -> PRRI,50.795055,6.112028
47,306056,Aachen Schöntal lw,50.7475,6.114674
48,188799,Aachen Schöntal sw,50.747547,6.114727
49,159234,Aachen Siegel (Li.30),50.752342,6.096893
50,266865,Aachen Siegel lw,50.752098,6.098283
51,360301,Aachen Siegel sw,50.75266,6.098022
52,32805,Aachen Theater lw,50.77189,6.088688
53,59122,Aachen Theater sw,50.77224,6.088269
54,73658,Aachen Vogelsang lw,50.757114,6.106566
55,200385,Aachen Vogelsang sw,50.757523,6.108044
56,156105,Aachen Waldfriedhof (Parkplatz) lw,50.745735,6.107977
57,273123,Aachen Waldfriedhof sw,50.74491,6.107787
58,385395,Aachen Waldschenke lw,50.74508,6.061601
59,294959,Aachen Waldschenke sw,50.745487,6.061703
60,95304,Aachen Westbahnhof lw (Li.33) H2,50.78053,6.071963
61,205972,Aachen Westbahnhof lw (Li.7) H4,50.781532,6.072127
62,331770,Aachen Westbahnhof sw (Li.33) H1,50.78093,6.072576
63,296249,Aachen Westbahnhof sw (Li.7) H3,50.78163,6.071809
64,308502,Aachen Weststraße sw,50.77122,6.060317
65,458678,Aachen station west (Henricistraße),50.783516,6.072513
66,117805,"Aachen, Adenauerallee, Mast 1",50.7658,6.127476
67,440880,"Aachen, Adenauerallee, Mast 2",50.76591,6.127242
68,361638,"Aachen, Alter Posthof, Mast 1",50.77179,6.084595
69,339777,"Aachen, Alter Posthof, Mast 2",50.772522,6.085925
70,156278,"Aachen, Bahnhof Rothe Erde, Mast 1",50.770306,6.117171
71,79131,"Aachen, Bahnhof Rothe Erde, Mast 2",50.770325,6.117269
72,373107,"Aachen, Bayernallee, Mast 1",50.755466,6.095324
73,279463,"Aachen, Bayernallee, Mast 2",50.755512,6.095292
74,32807,"Aachen, Brand Eckenerstraße, Mast 1",50.753986,6.15412
75,285785,"Aachen, Brand Eckenerstraße, Mast 2",50.75427,6.153507
76,19972,"Aachen, Brand Ringstraße, Mast 1",50.751514,6.159672
77,105875,"Aachen, Brand Ringstraße, Mast 2",50.751846,6.158943
78,84699,"Aachen, Brand Schulzentrum, Mast 3",50.74997,6.154605
79,451526,"Aachen, Brand, Mast 1",50.749313,6.164626
80,32395,"Aachen, Brand, Mast 2",50.749355,6.16451
81,32563,"Aachen, Burtscheid, Mast 1",50.760567,6.093433
82,214076,"Aachen, Burtscheid, Mast 2",50.760998,6.093393
83,269356,"Aachen, Bushof H.2",50.777096,6.090092
84,364202,"Aachen, Bushof, Mast 5",50.777447,6.090443
85,300001,"Aachen, Elisenbrunnen",50.774155,6.087468
86,65088,"Aachen, Elisenbrunnen",50.774166,6.087425
87,198167,"Aachen, Elisenbrunnen, Mast 2",50.773876,6.087132
88,458937,"Aachen, Elisenbrunnen, Mast 4",50.774353,6.087486
89,348144,"Aachen, Elsassstraße, Mast 1",50.771973,6.113408
90,24612,"Aachen, Elsassstraße, Mast 2",50.772057,6.113488
91,337744,"Aachen, Friesenrath, Mast 1",50.698643,6.181962
92,18411,"Aachen, Friesenrath, Mast 2",50.698166,6.182344
93,19227,"Aachen, Gillesbachtal, Mast 1",50.764473,6.098921
94,368571,"Aachen, Gillesbachtal, Mast 2",50.76461,6.099083
95,454673,"Aachen, Hahn Kirche, Mast 1",50.711388,6.197616
96,21623,"Aachen, Hahn Kirche, Mast 2",50.71139,6.1978
97,145017,"Aachen, Hahn Steinbruch, Mast 1",50.708866,6.191179
98,440937,"Aachen, Hahn Steinbruch, Mast 2",50.70896,6.190579
99,399708,"Aachen, Hansemannplatz, Mast 1",50.77814,6.093379
100,25109,"Aachen, Hansemannplatz, Mast 2",50.77792,6.094187
101,8589,"Aachen, Hauptbahnhof",50.768604,6.089921
102,414497,"Aachen, Hauptbahnhof, Mast 1",50.768757,6.09077
103,402960,"Aachen, Hauptbahnhof, Mast 2",50.768707,6.090262
104,31588,"Aachen, Heißberg, Mast 1",50.75893,6.094584
105,79637,"Aachen, Heißberg, Mast 2",50.75903,6.094564
106,356205,"Aachen, Iternberg, Mast 1",50.72105,6.186582
107,326136,"Aachen, Iternberg, Mast 2",50.72116,6.186547
108,253113,"Aachen, Josefskirche, Mast 1",50.774326,6.107135
109,405184,"Aachen, Josefskirche, Mast 2",50.774433,6.107057
110,415234,"Aachen, K'münster Napoleonsberg, Mast 1",50.72963,6.179407
111,335747,"Aachen, K'münster Napoleonsberg, Mast 2",50.729687,6.179404
112,339242,"Aachen, K'münster Schulberg, Mast 1",50.728657,6.177481
113,239351,"Aachen, K'münster Venwegener Str., Mast 1",50.726738,6.18841
114,47479,"Aachen, K'münster Venwegener Str., Mast 2",50.727505,6.187754
115,210026,"Aachen, Kaiserplatz, Mast 1",50.774555,6.095715
116,374665,"Aachen, Kaiserplatz, Mast 6",50.774887,6.097468
117,421512,"Aachen, Kornelimünster Klause, Mast 1",50.73391,6.173778
118,89008,"Aachen, Kornelimünster Klause, Mast 2",50.73457,6.173837
119,264660,"Aachen, Kornelimünster, Mast 1",50.728054,6.183725
120,208678,"Aachen, Kornelimünster, Mast 2",50.728165,6.184158
121,20643,"Aachen, Königsberger Straße, Mast 1",50.757072,6.147154
122,307512,"Aachen, Königsberger Straße, Mast 2",50.75753,6.146091
123,291638,"Aachen, Lichtenbusch",50.713055,6.123173
124,101953,"Aachen, Lichtenbusch Broichhausen",50.700596,6.131109
125,134783,"Aachen, Lichtenbusch Broichhausen",50.700787,6.130756
126,257300,"Aachen, Lichtenbusch Kirche",50.71195,6.124232
127,457924,"Aachen, Lichtenbusch Kirche",50.711735,6.124486
128,438280,"Aachen, Marienhospital, Mast 1",50.76251,6.096717
129,421821,"Aachen, Marienhospital, Mast 2",50.76259,6.096925
130,414726,"Aachen, Misereor, Mast 1",50.768616,6.083942
131,95106,"Aachen, Misereor, Mast 2",50.76878,6.084087
132,50445,"Aachen, Normaluhr, Mast 1",50.768032,6.094829
133,407023,"Aachen, Normaluhr, Mast 2",50.768555,6.094527
134,323864,"Aachen, Oberf. Gewerbegebiet, Mast 1",50.711163,6.137293
135,246474,"Aachen, Oberf. Gewerbegebiet, Mast 2",50.71071,6.137831
136,235287,"Aachen, Oberforstbach Laschet, Mast 1",50.716106,6.131636
137,28324,"Aachen, Oberforstbach Laschet, Mast 2",50.715553,6.132152
138,45818,"Aachen, Relais Königsberg, Mast 1",50.682095,6.180957
139,248330,"Aachen, Relais Königsberg, Mast 2",50.68285,6.180643
140,36980,"Aachen, Reutershag",50.769886,6.039814
141,378177,"Aachen, Reutershag",50.769695,6.039769
142,313070,"Aachen, Rollefbachweg, Mast 1",50.739304,6.174998
143,176959,"Aachen, Rollefbachweg, Mast 2",50.73889,6.175136
144,189429,"Aachen, Rosenquelle, Mast 1",50.766575,6.095855
145,372309,"Aachen, Rosenquelle, Mast 2",50.76622,6.097182
146,14678,"Aachen, Schanz",50.76893,6.074404
147,150402,"Aachen, Schanz",50.770706,6.073324
148,453025,"Aachen, Scheibenstraße, Mast 1",50.774517,6.100938
149,200278,"Aachen, Scheibenstraße, Mast 2",50.774494,6.10145
150,81619,"Aachen, Schmithof Ardennenstraße [H.2]",50.695133,6.164014
151,359891,"Aachen, Schmithof Kirche [H.1]",50.69343,6.161941
152,271273,"Aachen, Schmithof Schmithofer Straße [H.1]",50.691402,6.159203
153,195670,"Aachen, Schmithof Schmithofer Straße [H.2]",50.691402,6.159203
