node_id,stop_id,stop_name,stop_lat,stop_lon
0,129796,Aalemannufer,52.57357,13.212447
1,384360,Aalemannufer,52.573425,13.212473
2,96826,Aalemannufer,52.57315,13.212893
3,99995,Aalemannufer,52.572952,13.212799
4,280533,Abgeordnetenhaus,52.506424,13.379931
5,63386,Abgeordnetenhaus,52.506134,13.380113
6,383154,Achardstr.,52.499844,13.579063
7,91940,Achardstr.,52.50029,13.579226
8,377267,Adalbertstr.,52.50506,13.422305
9,377763,Adalbertstr.,52.505512,13.421937
10,153692,Adalbertstr./Oranienstr.,52.501415,13.418932
11,204053,Adalbertstr./Oranienstr.,52.501144,13.41966
12,254822,Adalbertstr./Oranienstr.,52.501038,13.419053
13,452658,Adalbertstr./Oranienstr.,52.50152,13.419495
14,46909,Adalbertstr./Oranienstr.,52.501335,13.418945
15,1205,Adersleber Weg,52.53773,13.560348
16,418924,Adersleber Weg,52.536858,13.559255
17,55672,Adersleber Weg,52.53799,13.56046
18,75010,Adersleber Weg,52.53754,13.559958
19,45999,Adlergestell/Glienicker Weg,52.42918,13.55026
20,55758,Adlergestell/Glienicker Weg,52.429924,13.549581
21,274863,Adlergestell/Vetschauer Allee,52.3873,13.63468
22,275367,Adlergestell/Vetschauer Allee,52.386307,13.633659
23,71876,Adlergestell/Vetschauer Allee,52.386414,13.633824
24,110646,Adolf-Scheidt-Platz,52.47833,13.378462
25,373434,Adolf-Scheidt-Platz,52.478016,13.378276
26,142114,Adolfstr.,52.50505,13.584905
27,47795,Adolfstr.,52.505157,13.584232
28,155305,Agathe-Lasch-Platz,52.498188,13.296884
29,177563,Agathe-Lasch-Platz,52.49795,13.295493
30,424352,Agathe-Lasch-Platz,52.497982,13.296863
31,337854,Ahlener Weg,52.410717,13.305015
32,341127,Ahlener Weg,52.410366,13.305034
33,154134,Ahornallee,52.455673,13.619234
34,29181,Ahornallee,52.455044,13.616857
35,433581,Ahornallee,52.45559,13.61904
36,451108,Ahornallee,52.455235,13.617349
37,365167,Ahrensdorfer Str.,52.409134,13.359314
38,437135,Ahrensdorfer Str.,52.408836,13.359202
39,163435,"Ahrensfelde, Ausstieg",52.57261,13.574243
40,67272,"Ahrensfelde, Einstieg",52.57284,13.574753
41,101192,Ahrenshooper Str.,52.566437,13.50128
42,69349,Ahrenshooper Str.,52.566032,13.502003
43,137253,Akeleiweg,52.429073,13.514616
44,174370,Akeleiweg,52.429607,13.511679
45,264912,Albert-Einstein-Str.,52.43134,13.539029
46,392063,Albert-Einstein-Str.,52.431164,13.539376
47,198598,Albertinenstr.,52.54954,13.456635
48,219144,Albertinenstr.,52.550304,13.458385
49,286321,Albertinenstr.,52.54987,13.457767
50,326059,Albertinenstr.,52.54982,13.458119
51,408646,Albertinenstr.,52.54975,13.458058
52,70667,Albertinenstr.,52.55034,13.460008
53,198528,Albertstr.,52.484226,13.352767
