layer_id,layer_name
0,1
1,10
2,101
3,103
4,104
5,105
6,108
7,109
8,115
9,12
10,121
11,122
12,123
13,127
14,128
15,128AL
16,13
17,130
18,131
19,132
20,133
21,135
22,138
23,151
24,154
25,155
26,156
27,157
28,158
29,18
30,18
31,196
32,2
33,21
34,22
35,224ALF
36,23
37,236
38,237
39,238
40,24
41,25
42,251
43,255
44,256
45,26
46,27
47,28
48,29
49,3
50,30
51,31
52,32
53,33
54,34
55,350
56,351
57,352
58,353
59,36
60,369
61,37
62,38
63,388
64,389
65,39
66,4
67,46
68,47
69,48
70,51
71,52
72,53AL
73,54
74,55
75,56
76,57
77,58
78,59
79,61
80,62
81,63
82,65
83,68
84,739AL
85,80.2
86,81
87,82
88,82AL
89,83
90,83AL
91,87
92,88
93,931
94,94
95,95
96,960
97,99
98,AST
99,N1
100,N12
101,N14
102,N2
103,N3
104,N4
105,N5
106,N6
107,N7
108,N9
