node_id,stop_id,stop_name,stop_lat,stop_lon
0,168660,"Bi-Altenhagen, (Stadtbahn)",52.057556,8.627097
1,352112,"Bi-Altenhagen, (Stadtbahn)",52.0576,8.62715
2,313388,"Bi-Altenhagen, Am Franzhof",52.047955,8.636259
3,330000,"Bi-Altenhagen, Am Franzhof",52.047974,8.636197
4,355286,"Bi-Altenhagen, Buschbachtal",52.0567,8.617628
5,431058,"Bi-Altenhagen, Buschbachtal",52.056793,8.617646
6,239295,"Bi-Altenhagen, Fortmann",52.049667,8.658618
7,308106,"Bi-Altenhagen, Fortmann",52.049713,8.658565
8,126602,"Bi-Altenhagen, Friedhof",52.055397,8.627725
9,308757,"Bi-Altenhagen, Friedhof",52.055424,8.627582
10,327011,"Bi-Altenhagen, Grundschule",52.04695,8.640068
11,383719,"Bi-Altenhagen, Grundschule",52.04695,8.640041
12,131990,"Bi-Altenhagen, Horst",52.058517,8.654369
13,207445,"Bi-Altenhagen, Horst",52.058506,8.654351
14,121688,"Bi-Altenhagen, Kirche",52.04766,8.646985
15,242916,"Bi-Altenhagen, Kirche",52.047657,8.64703
16,244625,"Bi-Altenhagen, Milser Feld",52.06037,8.629378
17,360422,"Bi-Altenhagen, Milser Feld",52.060406,8.629396
18,260810,"Bi-Altenhagen, Moenkamp",52.055534,8.623027
19,307303,"Bi-Altenhagen, Moenkamp",52.055416,8.62397
20,327937,"Bi-Altenhagen, Nadigstraße",52.048252,8.652537
21,83806,"Bi-Altenhagen, Nadigstraße",52.048275,8.6526
22,409331,"Bi-Altenhagen, Pausenweg",52.045338,8.643832
23,450857,"Bi-Altenhagen, Pausenweg",52.045353,8.643886
24,155328,"Bi-Altenhagen, Römerstraße",52.057743,8.633259
25,119684,"Bi-Altenhagen, Siedlung",52.042545,8.624033
26,157446,"Bi-Altenhagen, Siedlung",52.04261,8.624267
27,245351,"Bi-Altenhagen, Siedlung",52.042652,8.624366
28,157196,"Bi-Altenhagen, Starke",52.05572,8.638074
29,240119,"Bi-Altenhagen, Starke",52.055733,8.637966
30,440085,"Bi-Altenhagen, Starke",52.055744,8.637939
31,205320,"Bi-Altenhagen, Stenner",52.053623,8.659391
32,5194,"Bi-Altenhagen, Stenner",52.05357,8.659409
33,101181,"Bi-Altenhagen, Vinner Straße",52.057533,8.643338
34,318093,"Bi-Altenhagen, Vinner Straße",52.057545,8.643302
35,357891,"Bi-Altenhagen, Zum Heller",52.05611,8.632244
36,179116,Bi-Babenhausen Süd (Stadtbahn),52.05513,8.518158
37,205082,Bi-Babenhausen Süd (Stadtbahn),52.055237,8.518724
38,256043,Bi-Babenhausen Süd (Stadtbahn),52.055325,8.518454
39,35902,Bi-Babenhausen Süd (Stadtbahn),52.055397,8.518517
40,438674,Bi-Babenhausen Süd (Stadtbahn),52.055267,8.518158
41,154398,"Bi-Babenhausen, Bültmannskrug",52.059044,8.513576
42,50381,"Bi-Babenhausen, Bültmannskrug",52.059025,8.513594
43,185503,"Bi-Babenhausen, Haferstraße",52.057877,8.482683
44,309448,"Bi-Babenhausen, Haferstraße",52.057877,8.48263
45,153493,"Bi-Babenhausen, Hainteich",52.059296,8.503443
46,51662,"Bi-Babenhausen, Hainteich",52.059307,8.503426
47,197349,"Bi-Babenhausen, Höfeweg",52.052326,8.467044
48,298937,"Bi-Babenhausen, Höfeweg",52.052326,8.467062
49,443837,"Bi-Babenhausen, Niemeyer",52.0596,8.48536
50,82562,"Bi-Babenhausen, Niemeyer",52.059628,8.485333
51,137342,"Bi-Babenhausen, Pottkamp",52.059765,8.495583
52,332888,"Bi-Babenhausen, Pottkamp",52.05989,8.494424
53,408180,"Bi-Babenhausen, Pottkamp",52.060223,8.495323
54,84465,"Bi-Babenhausen, Pottkamp",52.05987,8.495386
55,162086,"Bi-Babenhausen, Union",52.055916,8.473404
56,385354,"Bi-Babenhausen, Union",52.055893,8.473386
57,54286,Bi-Brackw. Altenheim Rosenhöhe,51.983097,8.530815
58,191069,"Bi-Brackwede, Am Langen Grund",51.993874,8.494146
59,450183,"Bi-Brackwede, Am Langen Grund",51.993847,8.49411
60,134306,"Bi-Brackwede, Am Wißbrock",51.984432,8.506938
61,264407,"Bi-Brackwede, AquaWede",51.98166,8.497928
62,282850,"Bi-Brackwede, AquaWede",51.9815,8.496868
63,322091,"Bi-Brackwede, AquaWede",51.981174,8.497569
64,115150,"Bi-Brackwede, Asholts Hof",51.96332,8.48236
65,367040,"Bi-Brackwede, Asholts Hof",51.96335,8.482315
66,151121,"Bi-Brackwede, Bahnhof",51.998596,8.502554
67,187461,"Bi-Brackwede, Bahnhof",51.9987,8.502707
68,204260,"Bi-Brackwede, Bahnhof",51.99874,8.502455
69,219667,"Bi-Brackwede, Bahnhof",51.99745,8.50224
70,30606,"Bi-Brackwede, Bahnhof",51.997643,8.501072
71,429023,"Bi-Brackwede, Bahnhof",51.99863,8.502482
72,61575,"Bi-Brackwede, Baumgarte",51.97507,8.500353
73,87388,"Bi-Brackwede, Baumgarte",51.975124,8.500371
74,253764,"Bi-Brackwede, Beckumer Str",51.984802,8.502285
75,370676,"Bi-Brackwede, Beckumer Str",51.984814,8.502285
76,186138,"Bi-Brackwede, Bezirksamt",51.99048,8.506992
77,360134,"Bi-Brackwede, Bezirksamt",51.990463,8.506947
78,368858,"Bi-Brackwede, Braakstraße",51.96703,8.494263
79,430482,"Bi-Brackwede, Brackweder Hof",51.981426,8.479485
80,452537,"Bi-Brackwede, Brackweder Hof",51.981426,8.479476
81,250042,"Bi-Brackwede, Brocker Schule",51.98488,8.484264
82,60670,"Bi-Brackwede, Brocker Schule",51.98492,8.484175
83,228203,"Bi-Brackwede, Dresdener Str.",51.984188,8.51505
84,200549,"Bi-Brackwede, Düsseldorfer Str",51.981113,8.509399
85,445578,"Bi-Brackwede, Düsseldorfer Str",51.981068,8.509372
86,144606,"Bi-Brackwede, Ferdinandstraße",51.99659,8.496104
87,261187,"Bi-Brackwede, Ferdinandstraße",51.99659,8.496113
88,124177,"Bi-Brackwede, Friedhof",51.98255,8.518122
89,454943,"Bi-Brackwede, Friedhof",51.982616,8.518131
90,142179,"Bi-Brackwede, Gaswerkstraße",51.994045,8.506624
91,149068,"Bi-Brackwede, Gaswerkstraße",51.9939,8.506875
92,27889,"Bi-Brackwede, Gaswerkstraße",51.994053,8.506624
93,319047,"Bi-Brackwede, Gaswerkstraße",51.99408,8.506615
94,125124,"Bi-Brackwede, Germanenstraße",51.98957,8.505528
95,315459,"Bi-Brackwede, Germanenstraße",51.989594,8.505537
96,161290,"Bi-Brackwede, Goldstein",51.977024,8.518266
97,22732,"Bi-Brackwede, Goldstein",51.97705,8.518167
98,300594,"Bi-Brackwede, Gotenstraße",51.99601,8.499033
99,46131,"Bi-Brackwede, Gotenstraße",51.996044,8.499015
100,271455,"Bi-Brackwede, Graphiastraße",51.98936,8.493823
101,36975,"Bi-Brackwede, Graphiastraße",51.98935,8.493769
102,349874,"Bi-Brackwede, Gymnasium",51.984077,8.502222
103,82743,"Bi-Brackwede, Gymnasium",51.984093,8.502222
104,452280,"Bi-Brackwede, Hagener Straße",51.98689,8.49791
105,51937,"Bi-Brackwede, Hagener Straße",51.9868,8.497829
106,158164,"Bi-Brackwede, Hegelstraße",51.987404,8.487525
107,186974,"Bi-Brackwede, Hegelstraße",51.98742,8.487516
108,361510,"Bi-Brackwede, IKEA",51.980465,8.492017
109,366636,"Bi-Brackwede, Im Brocke",51.979836,8.479288
110,119047,"Bi-Brackwede, Im Horst",51.96558,8.490966
111,172961,"Bi-Brackwede, Im Horst",51.96558,8.490939
112,100803,"Bi-Brackwede, Kirche",51.988216,8.513864
113,13431,"Bi-Brackwede, Kirche",51.98798,8.51434
