node_id,stop_id,stop_name,stop_lat,stop_lon
0,221553,BO Am Krähennocken,51.523823,7.264514
1,264867,BO Am Krähennocken,51.524136,7.263759
2,197889,BO Bergener Str.,51.517303,7.241616
3,443847,BO Bergener Str.,51.5174,7.241616
4,325272,BO Heiksfeld,51.516926,7.254138
5,53495,BO Heiksfeld,51.516933,7.254399
6,365812,BO Im Brennholt,51.526566,7.257292
7,39886,BO Im Brennholt,51.526566,7.256735
8,457907,BO Karl-Ernst-Str.,51.521854,7.26861
9,99801,BO Karl-Ernst-Str.,51.52211,7.267847
10,386093,BO Maria-Hilf-Krankenhaus,51.52033,7.27303
11,440996,BO Maria-Hilf-Krankenhaus,51.52056,7.272419
12,424768,BO Schultesche Heide,51.5161,7.248165
13,90948,BO Schultesche Heide,51.51617,7.248246
14,167308,BO Wiekskamp,51.519005,7.251102
15,337910,BO Wiekskamp,51.518948,7.250976
16,34021,Bochum Berneckerstr.,51.452595,7.225419
17,38664,Bochum Brockhauser Str.,51.42255,7.211702
18,387861,Bochum Brockhauser Str.,51.423008,7.21243
19,291948,Bochum Eifelstr.,51.512596,7.252584
20,53750,Bochum Eifelstr.,51.51167,7.252378
21,104621,Bochum Gerthe Mitte,51.519382,7.275518
22,78664,Bochum Gerthe Mitte,51.519257,7.275339
23,213622,Bochum Hbf,51.478607,7.223275
24,231286,Bochum Hbf,51.4795,7.223075
25,116530,Bochum Henkenberg,51.426376,7.216921
26,286261,Bochum Henkenberg,51.42646,7.217092
27,186455,Bochum Hiltrop Kirche,51.515045,7.258837
28,267086,Bochum Hiltroper Str.,51.512627,7.256842
29,417761,Bochum Im Hagenacker,51.514446,7.252225
30,85047,Bochum Im Hagenacker,51.514465,7.252459
31,414148,Bochum Kosterstr.,51.42805,7.225015
32,43582,Bochum Kosterstr.,51.427937,7.224817
33,111691,Bochum Königsallee/Markstr.,51.446274,7.227036
34,171475,Bochum Königsallee/Markstr.,51.446167,7.22683
35,333305,Bochum Ruhr-Universität,51.44763,7.258325
36,130354,Bochum Schauspielhaus,51.473324,7.216445
37,380976,Bochum Schauspielhaus,51.472645,7.216526
38,350418,Bochum Schwerinstr.,51.51628,7.275393
39,138535,Bochum Südring,51.478645,7.216328
40,186153,Bochum Südring,51.478695,7.217218
41,160718,Bochum West,51.48146,7.211223
42,159813,Bochum central station (Wittener Straße),51.47931,7.22485
43,112458,Bochum-Hamme,51.491486,7.200935
44,30107,Bochum-Riemke,51.5178,7.205275
45,15304,Herne Höhenweg,51.523754,7.248704
