layer_id,layer_name
0,Bologna - Castel San Pietro Terme - Imola
1,Bologna - Z.I. Ponte Rizzoli
2,Istituto R. Luxemburg / Bertalia / Arcoveggio - rot. Corelli / Ponticella
3,Mazzini - Ponticella
4,Ponticella - Ospedale Bellaria - San Lazzaro di Savena
5,Villaggio Martino - Ospedale Bellaria - San Lazzaro di Savena
6,Borgo Panigale - S. Ruffillo
7,Barca - Ospedale S. Orsola - Due Madonne / Pilastro
8,P.zza XX Settembre - S.Lazzaro Pertini
9,P.zza Cavour - P.zale Atleti Azzurri
10,Borgo Panigale - Istituto Belluzzi
11,P.zza Roosevelt / Marconi - Noce - (Trebbo di Reno)
12,Via Populonia - Istituto Aldini Valeriani
13,Via Marconi / Autostazione - Istituto Serpieri
14,Via Populonia - P.zza dell'Unita
15,Istituto Luxemburg - Istituto Belluzzi
16,Autostazione - Istituto Luxemburg
17,P.zza dei Martiri - Istituto Luxemburg
18,Autostazione - Via Marchetti
19,Stazione Centrale - Via Marchetti
20,Case Nuove - Fiera
21,Casteldebole - San Lazzaro di Savena / San Camillo
22,San Biagio - Casalecchio di Reno - Pilastro
23,Linea AGI: Medicina-Bologna
24,Linea AGI: Bologna - Castel Guelfo
25,Bologna - Sesto Imolese - Massa Lombarda - Lugo
26,Linea 206 AGI: Bologna - Sesto Imolese - Massa Lombarda - Lugo
27,Filanda - Stazione Centrale - San Donato
28,Linea AGI: Bologna - Budrio - Medicina
29,Linea AGI: Bologna - Budrio - Medicina (via San Donato)
30,Bologna - Alberino
31,Linea AGI: Bologna - Budrio - Molinella - Marmorta
32,Dozza - Stazione Centrale - Ospedale Malpighi - Due Madonne (Rot. Rivani)
33,Bologna - Argenta
34,Corticella - Mazzini
35,Linea AGI: Bologna - Budrio - Ospitale Monacale
36,Via dell'Indipendenza - Fiera
37,Noce / Parcheggio Tanari - Via di Roncrio
38,Linea 99 AGI: Bologna - Medicina - Lugo
39,Istituto Rizzoli - Stazione Centrale - Fioravanti - Sostegno
40,DIRETTA Mondonuovo - Bologna
41,Circolare esterna destra
42,Circolare esterna sinistra
43,Piazza dell' Unit� Opedale Maggiore
44,Facolt�di Ingegneria - Ospedale Maggiore - Stazione Centrale - Fiera - Facolt�di Agraria
45,Menarini - Ferrara Corso Isonzo
46,Bologna - Altedo - Gallo
47,Bologna - Altedo - Malalbergo - Ferrara
48,Bologna - Altedo - Passosegni
49,Centro Sportivo Barca - Stazione Centrale - Ospedale S. Orsola - Ospedale Bellaria
50,CNR - Stazione Centrale - Via Bombicci
51,Circolare periferica destra
52,Circolare periferica sinistra
53,Navetta A: Parcheggio Tanari - Poliambulatorio Rizzoli
54,Agelato - Trebbo di Reno
55,Navetta T2: Circolare P.za Maggiore - Parcheggio Tanari
56,Navetta T1: Due Torri - Ospedale Malpighi
57,Ospedale Bentivoglio - Funo - Castel Maggiore
58,(Bologna) - Funo - Centergross - Interporto - Bentivoglio - (Saletto)
59,Bologna - Bentivoglio - Saletto
60,Bologna - Z.I. Saliceto - Bentivoglio - Saletto
61,Bologna - Centergross - Interporto
62,DIRETTA Cento - Bologna
63,Navetta C: Via Castiglione - Stazione Centrale - Parcheggio Tanari
64,Sala Bolognese - Bologna
65,(P.zza Cavour) - Largo Lercaro - Monte Donato
66,P.zza Cavour - Cippo di Sabbiuno
67,Aeroporto - Villaggio Speranza
68,Facolt�di Agraria - San Rufillo
69,Cento - San Giovanni in Persiceto - Bologna
70,Z.I. rot. Negroni - Via Larga
71,Navetta D: Ravone - Stazione Centrale
72,Bologna - San Giovanni in Persiceto - Crevalcore
73,Villa Spada - Basilica di San Luca
74,P.zza Cavour - Villa Guastavillani
75,Ospedale S. Orsola - Centro Zanardi
76,Massarenti - Battindarno (Notturno)
77,Corticella - Due Madonne (Notturno)
78,Bologna - Anzola dell'Emilia - Spilamberto - Bazzano Stazione F.B.V.
79,Bologna autostazione - Bazzano stazione
80,Bologna - Bazzano Stazione F.B.V. - Vignola
81,Bologna - Casalecchio di Reno - Bazzano Stazione F.B.V. - Vignola
82,Zola Predosa - Rigosa
83,Bologna Porta Sant' Isaia - Casalecchio di Reno - via Lunga Stazione - Philip Morris
84,Bologna Stazione Centrale - Anzola Stazione - Philip Morris
85,Via dei Mille - Camping Citt�i Bologna
86,Bologna - Savigno
87,Bologna - Riale Stazione F.B.V. - Tole
88,Bologna - Vergato
89,P.zza San Francesco - Certosa
90,Navetta Stadio Marescalchi - Montefiorino
91,Barca - Z.I. Casalecchio di Reno
92,Borgo Panigale - Z.I. Zola Predosa
93,Stazione Centrale - Longara - Padulle - Bagno di Piano
94,Bologna - Castiglione dei Pepoli - San Giacomo
95,Bologna - Ospedale Maggiore - Calderino di Monte San Pietro
96,DIRETTA Castel dell'Alpi - Bologna
97,Bologna - San Benedetto Val di Sambro - Castel Dell'Alpi / Pian del Voglio
98,Pza Roosevelt / Marconi - Casalecchio di Reno
99,Bologna - Stazione Centrale - Ospedale Maggiore - Anzola dell'Emilia - Castelfranco Emilia
100,Bologna - Cadriano - Viadagola - Granarolo dell'Emilia
