node_id,stop_id,stop_name,stop_lat,stop_lon
0,27261,Bonn Am Nordpark,50.74504,7.084734
1,420299,Bonn Am Nordpark,50.74555,7.085516
2,55698,Bonn Am Nordpark,50.745872,7.085138
3,74651,Bonn Am Nordpark,50.745163,7.08539
4,351004,Bonn An Den Markthallen,50.73987,7.085228
5,270828,Bonn An Der Esche,50.743538,7.100428
6,281418,Bonn An Der Esche,50.743195,7.10041
7,140855,Bonn Arndtstr.,50.72491,7.107884
8,64596,Bonn Arndtstr.,50.724422,7.108432
9,251358,Bonn Auerberg Allensteiner Str.,50.757565,7.065438
10,266409,Bonn Auerberg Allensteiner Str.,50.757763,7.064935
11,208708,Bonn Auerberg An Der Josefshöhe,50.753307,7.081267
12,40555,Bonn Auerberg An Der Josefshöhe,50.753777,7.079326
13,422761,Bonn Auerberg An Der Josefshöhe,50.752613,7.080422
14,423872,Bonn Auerberg An Der Josefshöhe,50.753414,7.081536
15,6928,Bonn Auerberg An Der Josefshöhe,50.75334,7.081518
16,148410,Bonn Auerberg Auerberger Mitte,50.755238,7.076739
17,165672,Bonn Auerberg Auerberger Mitte,50.755352,7.076784
18,373474,Bonn Auerberg Auerberger Mitte,50.75536,7.076712
19,428331,Bonn Auerberg Auerberger Mitte,50.755093,7.076865
20,213775,Bonn Auerberg Bernhardkirche,50.759007,7.068843
21,235731,Bonn Auerberg Bernhardkirche,50.75933,7.068771
22,151691,Bonn Auerberg Friedrich-Wöhler-Str.,50.748955,7.072787
23,250806,Bonn Auerberg Friedrich-Wöhler-Str.,50.74912,7.071736
24,330265,Bonn Auerberg Friedrich-Wöhler-Str.,50.74845,7.071655
25,153838,Bonn Auerberg Georg-Von-Boeselager-Str.,50.750973,7.069544
26,411046,Bonn Auerberg Georg-Von-Boeselager-Str.,50.751244,7.069418
27,133426,Bonn Auerberg Hedwigschule,50.75121,7.077611
28,304142,Bonn Auerberg Hedwigschule,50.75137,7.078123
29,106332,Bonn Auerberg Insterburger Str.,50.75564,7.068852
30,238876,Bonn Auerberg Insterburger Str.,50.75623,7.068879
31,304665,Bonn Auerberg Insterburger Str.,50.756245,7.069112
32,356777,Bonn Auerberg Insterburger Str.,50.75539,7.068987
33,185341,Bonn Auerberg Josephinum,50.750225,7.079416
34,221544,Bonn Auerberg Josephinum,50.749935,7.078491
35,455044,Bonn Auerberg Josephinum,50.74959,7.078904
36,119770,Bonn Auerberg Kopenhagener Str.,50.757484,7.071619
37,171036,Bonn Auerberg Kopenhagener Str.,50.757,7.072643
38,204725,Bonn Auerberg Kopenhagener Str.,50.757435,7.070685
