node_id,stop_id,stop_name,stop_lat,stop_lon
0,368514,"BS, Alter Rautheimer Weg",52.222847,10.569838
1,63832,"BS, Alter Rautheimer Weg",52.222694,10.569084
2,232297,"BS, Bechtsbütteler Weg",52.32413,10.551513
3,294112,"BS, Bechtsbütteler Weg",52.324078,10.551584
4,307314,"BS, Broitzemer Steinberg",52.231697,10.47565
5,49051,"BS, Broitzemer Steinberg",52.231686,10.47556
6,154720,"BS, Ernst-Böhme-Straße",52.3103,10.490903
7,198440,"BS, Ernst-Böhme-Straße",52.310722,10.49473
8,13174,"BS, Grundschule Rüningen",52.222637,10.503246
9,300389,"BS, Grundschule Rüningen",52.222645,10.503336
10,400455,"BS, Hermann-Blenk-Straße",52.314034,10.534633
11,61425,"BS, Hermann-Blenk-Straße",52.31431,10.535549
12,109373,"BS, In den Rosenäckern",52.271233,10.48183
13,128287,"BS, In den Rosenäckern",52.27127,10.48174
14,422303,"BS, In den Springäckern",52.219948,10.562319
15,445645,"BS, In den Springäckern",52.220234,10.56293
16,153044,"BS, Leonhardplatz (Stadthalle)",52.258797,10.540751
17,16759,"BS, Leonhardplatz (Stadthalle)",52.259193,10.540373
18,224090,"BS, Leonhardplatz (Stadthalle)",52.25858,10.54049
19,225063,"BS, Leonhardplatz (Stadthalle)",52.259045,10.541326
20,357486,"BS, Leonhardplatz (Stadthalle)",52.259193,10.540373
21,362608,"BS, Leonhardplatz (Stadthalle)",52.259037,10.541326
22,61069,"BS, Leonhardplatz (Stadthalle)",52.259426,10.541002
23,212043,"BS, Luftfahrtbundesamt",52.314285,10.545341
24,262615,"BS, Luftfahrtbundesamt",52.314198,10.545269
25,25395,"BS, Messegelände Nordeingang",52.24946,10.518104
26,275901,"BS, Messegelände Nordeingang",52.24866,10.518437
27,340895,"BS, Messegelände Nordeingang",52.248413,10.517089
28,396669,"BS, Neunkirchener Straße",52.27392,10.472587
29,421270,"BS, Neunkirchener Straße",52.27392,10.472587
30,123393,"BS, Pappelbergsiedlung",52.28496,10.564179
31,152755,"BS, Pappelbergsiedlung",52.285583,10.564242
32,314311,"BS, Pappelbergsiedlung",52.285046,10.564529
33,206202,"BS, Saarbrückener Straße",52.277504,10.473844
34,401794,"BS, Saarbrückener Straße",52.277344,10.473979
35,136485,"BS, Veltenhöfer Straße",52.322598,10.508887
36,157029,"BS, Veltenhöfer Straße",52.322685,10.509094
37,47379,"BS, Veltenhöfer Straße",52.32255,10.509229
38,70445,"BS, Veltenhöfer Straße",52.3225,10.508968
39,183810,"BS, von Pawelsches Holz",52.280857,10.465625
40,19513,"BS, von Pawelsches Holz",52.28079,10.465517
41,19401,"Braunschweig , Am Bruchkamp",52.306503,10.459417
42,238481,"Braunschweig , Am Bruchkamp",52.306507,10.459291
43,20076,"Braunschweig , Am Forst",52.30132,10.568949
44,352100,"Braunschweig , Am Forst",52.301514,10.568733
45,143178,"Braunschweig , Am Kalkwerk",52.221786,10.5654
46,328201,"Braunschweig , Am Kalkwerk",52.22171,10.565589
47,53683,"Braunschweig , Am Kalkwerk",52.221786,10.5654
48,124795,"Braunschweig , Am Lehmanger",52.24097,10.489502
49,206650,"Braunschweig , Am Lehmanger",52.24194,10.488532
50,210747,"Braunschweig , Am Lehmanger",52.242203,10.48793
51,384407,"Braunschweig , Am Lehmanger",52.241104,10.489098
52,388199,"Braunschweig , Am Lehmanger",52.24194,10.488666
53,48666,"Braunschweig , Am Lehmanger",52.241943,10.488837
54,110009,"Braunschweig , Am Meerbusch",52.341484,10.576917
55,39911,"Braunschweig , Am Meerbusch",52.341476,10.577213
56,237515,"Braunschweig , Am Spieltore",52.236107,10.579513
57,269790,"Braunschweig , Am Spieltore",52.23589,10.579684
58,129341,"Braunschweig , Arndtstraße (Einwohnermeldeamt)",52.240574,10.501342
59,37985,"Braunschweig , Arndtstraße (Einwohnermeldeamt)",52.240406,10.500883
60,119567,"Braunschweig , Lammer Heide",52.266838,10.448027
61,227527,"Braunschweig , Lammer Heide",52.266544,10.449284
62,336665,"Braunschweig , Lammer Heide",52.266487,10.449482
63,410652,"Braunschweig , Lammer Heide",52.26702,10.448098
64,160356,"Braunschweig , Zum Wiesengrund",52.290092,10.492556
65,383546,Braunschweig Julius-Elster-Str,52.245846,10.565877
66,71745,Braunschweig Julius-Elster-Str,52.245502,10.56611
67,368658,"Braunschweig, A.d.Gärtnerhöfen",52.24556,10.496248
68,457201,"Braunschweig, A.d.Gärtnerhöfen",52.245502,10.496347
69,198374,"Braunschweig, Ackerstraße",52.256245,10.548907
70,215636,"Braunschweig, Ackerstraße",52.256462,10.548476
71,279418,"Braunschweig, Ackerstraße",52.25642,10.548602
72,96151,"Braunschweig, Ackerstraße",52.256245,10.548898
73,175869,"Braunschweig, Adam-Opel-Straße",52.312523,10.500542
74,205947,"Braunschweig, Adam-Opel-Straße",52.312763,10.499797
75,183886,"Braunschweig, Alsterplatz",52.24909,10.47856
76,287344,"Braunschweig, Alsterplatz",52.24915,10.47856
77,14540,"Braunschweig, Alte Dorfstraße",52.291027,10.60065
78,397340,"Braunschweig, Alte Dorfstraße",52.291077,10.600767
79,410287,"Braunschweig, Alte Waage",52.26655,10.519703
80,453017,"Braunschweig, Alte Waage",52.266533,10.520601
81,196229,"Braunschweig, Alter Postweg",52.32671,10.51381
82,78435,"Braunschweig, Alter Postweg",52.326206,10.513846
83,110025,"Braunschweig, Altstadtmarkt",52.262936,10.517718
84,30045,"Braunschweig, Altstadtmarkt",52.262974,10.517664
85,362246,"Braunschweig, Am Berge",52.32081,10.525183
86,99781,"Braunschweig, Am Berge",52.320892,10.524994
87,152955,"Braunschweig, Am Bülten",52.28057,10.536798
88,325545,"Braunschweig, Am Bülten",52.280422,10.536421
89,143342,"Braunschweig, Am Dorfplatz",52.30394,10.443149
90,294773,"Braunschweig, Am Dorfplatz",52.303707,10.442493
91,339438,"Braunschweig, Am Grasplatz",52.305435,10.466092
92,56054,"Braunschweig, Am Grasplatz",52.30539,10.466271
93,6604,"Braunschweig, Am Grasplatz",52.30507,10.465822
94,26365,"Braunschweig, Am Hafen",52.31005,10.486376
95,376843,"Braunschweig, Am Hafen",52.309963,10.486439
96,28709,"Braunschweig, Am Jödebrunnen",52.25379,10.496176
97,364307,"Braunschweig, Am Jödebrunnen",52.254032,10.496176
98,387362,"Braunschweig, Am Jödebrunnen",52.253944,10.496248
99,440009,"Braunschweig, Am Jödebrunnen",52.254032,10.495835
100,94574,"Braunschweig, Am Jödebrunnen",52.253937,10.496176
101,213036,"Braunschweig, Am Kanal",52.33248,10.510289
102,219010,"Braunschweig, Am Kanal",52.33321,10.510208
103,229035,"Braunschweig, Am Kanal",52.33256,10.510199
104,295664,"Braunschweig, Am Kanal",52.33325,10.510037
105,320483,"Braunschweig, Am Klei",52.33993,10.575363
106,455140,"Braunschweig, Am Klei",52.339886,10.575498
107,124944,"Braunschweig, Am Klosterkamp",52.245415,10.507711
108,395266,"Braunschweig, Am Klosterkamp",52.245472,10.507845
109,100430,"Braunschweig, Am Magnitor",52.261066,10.532962
110,171567,"Braunschweig, Am Magnitor",52.26117,10.53263
111,303543,"Braunschweig, Am Magnitor",52.26124,10.532711
112,421765,"Braunschweig, Am Magnitor",52.26125,10.532639
113,197910,"Braunschweig, Am Markt",52.299988,10.600363
114,443968,"Braunschweig, Am Markt",52.299927,10.600453
115,38094,"Braunschweig, Am Mühlengraben",52.28496,10.500982
116,393300,"Braunschweig, Am Mühlengraben",52.28486,10.501063
117,352740,"Braunschweig, Am Oberstiege",52.329895,10.564835
118,94245,"Braunschweig, Am Oberstiege",52.329857,10.564107
119,218908,"Braunschweig, Am Platz",52.321533,10.534373
120,343949,"Braunschweig, Am Platz",52.32147,10.53422
121,136477,"Braunschweig, Am Queckenberg",52.246056,10.489133
122,150714,"Braunschweig, Am Queckenberg",52.24597,10.489035
