layer_id,layer_name
0,1
1,10
2,101
3,102
4,10E
5,11
6,113
7,120
8,121
9,121
10,1E
11,1S
12,2
13,20
14,201
15,204
16,21
17,214
18,21E
19,22
20,226
21,227
22,22E
23,237
24,238
25,24
26,24E
27,25
28,26
29,27
30,27E
31,28
32,29
33,2E
34,3
35,31
36,33
37,33E
38,34
39,34E
40,37
41,37E
42,38
43,39
44,3E
45,4
46,40
47,41
48,41E
49,41S
50,42
51,44
52,4E
53,4S
54,5
55,512
56,52
57,55
58,57
59,58
60,6
61,61
62,62
63,63
64,630
65,63S
66,642
67,65
68,654
69,66
70,660
71,670
72,677
73,680
74,6E
75,730
76,739
77,740
78,750
79,8
80,80
81,81
82,82
83,8E
84,90
85,90E
86,91
87,92
88,93
89,94
90,95
91,96
92,98
93,E
94,E
95,N1
96,N10
97,N3
98,N4
99,N5
100,N6
101,N7
102,N9
103,N94
