node_id,stop_id,stop_name,stop_lat,stop_lon
0,451221,"Altchemnitz, Chemnitz",50.79093,12.925876
1,346203,Altenhain,50.78935,13.011953
2,356038,Altenhain,50.789417,13.012232
3,252130,"Altenhain, Am Erlenwald",50.78721,12.992397
4,328911,"Altenhain, Am Erlenwald",50.787083,12.993349
5,151211,"Altenhain, Am Winkel",50.784725,13.000446
6,263592,"Altenhain, Am Winkel",50.784775,13.000158
7,308661,"Altenhain, Gh Goldener Hahn",50.78244,12.99343
8,338598,"Altenhain, Gh Goldener Hahn",50.781464,12.993762
9,155534,"Altenhain, Rathaus Altenhain",50.786285,13.007426
10,212858,"Altenhain, Rathaus Altenhain",50.786297,13.007237
11,176520,"Am Steinberg, Chemnitz",50.78692,12.951676
12,14053,"Berbisdorf, Abzw Eibenberg",50.763054,12.942082
13,300267,"Berbisdorf, Abzw Eibenberg",50.762966,12.941965
14,178839,"Berbisdorf, Am Lehngericht",50.763115,12.937959
15,217226,"Berbisdorf, Am Lehngericht",50.762722,12.938516
16,185477,"Berbisdorf, Keglerheim",50.76437,12.94493
17,393051,"Berbisdorf, Keglerheim",50.764347,12.944696
18,135678,"Chemn.,Augustusburger/Walter-Klippel-Str",50.82482,12.983512
19,318532,"Chemn.,Augustusburger/Walter-Klippel-Str",50.82473,12.983638
20,304648,Chemnitz central bus station,50.84052,12.9264
21,281824,"Chemnitz, Abzw Kleinolbersdorf",50.793232,12.985588
22,80753,"Chemnitz, Abzw Kleinolbersdorf",50.793182,12.985543
23,314856,"Chemnitz, Adelsberg",50.812263,12.988633
24,317110,"Chemnitz, Adelsbergstr",50.822132,12.975374
25,377876,"Chemnitz, Adelsbergstr",50.822178,12.975239
26,278949,"Chemnitz, Albert-Jentzsch-Str",50.81768,12.958791
27,255309,"Chemnitz, Albert-Köhler-Str",50.792835,12.891875
28,257811,"Chemnitz, Albert-Köhler-Str",50.792908,12.891777
29,165625,"Chemnitz, Albert-Schweitzer-Str",50.8363,12.87682
30,434506,"Chemnitz, Albert-Schweitzer-Str",50.83637,12.877017
31,23710,"Chemnitz, Alfred-Neubert-Str",50.786087,12.895109
32,93603,"Chemnitz, Alfred-Neubert-Str",50.78553,12.895127
33,118711,"Chemnitz, Alt Chemnitz Center",50.796116,12.918358
34,198179,"Chemnitz, Alt Chemnitz Center",50.79606,12.918124
35,307391,"Chemnitz, Alt Chemnitz Center",50.7965,12.917756
36,48411,"Chemnitz, Alt Chemnitz Center",50.79606,12.918744
37,330527,"Chemnitz, Altchemnitz",50.79072,12.925742
38,370335,"Chemnitz, Altchemnitz",50.790813,12.925616
