layer_id,layer_name
0,106
1,112
2,138
3,289
4,289E
5,361
6,371
7,410
8,411
9,412
10,414
11,416
12,417
13,420
14,422
15,423
16,424
17,425
18,426
19,427
20,428
21,430
22,431
23,432
24,433
25,434
26,435
27,436
28,437
29,438
30,439
31,440
32,441
33,442
34,443
35,445
36,446
37,447
38,448
39,449
40,450
41,451
42,452
43,453
44,455
45,456
46,460
47,461
48,462
49,463
50,464
51,465
52,466
53,469
54,470
55,471
56,472
57,473
58,474
59,475
60,476
61,477
62,480
63,482
64,490
65,581
66,AST
67,Airport Express
68,C31
69,C4
70,C4/14
71,C5
72,E410
73,E422
74,E423
75,E424
76,E425
77,E430
78,E436
79,E437
80,E439
81,E440
82,E441
83,E442
84,E448
85,E450
86,E451
87,E452
88,E453
89,E455
90,E456
91,E460
92,E461
93,E462
94,E465
95,E469
96,E470
97,E471
98,E472
99,E475
100,E480
101,HB5
102,HB7
103,N10
104,N31
105,NE1
106,NE11
107,NE12
108,NE13
109,NE2
110,NE20
111,NE22
112,NE24
113,NE25
114,NE3
115,NE4
116,NE40
117,NE5
118,NE6
119,NE7
120,NE8
121,NE9
122,R50
123,R51
124,S30
125,SB24
126,SEV
127,T17
128,T31
129,T39
130,T51
131,U41
132,U42
133,U43
134,U44
135,U45
136,U46
137,U47
138,U49
