node_id,stop_id,stop_name,stop_lat,stop_lon
0,348541,"Berghofen, Nathe",51.470142,7.552146
1,60952,"Brechten, Brechtener Str./B54",51.5854,7.468782
2,76125,"Brechten, Brechtener Str./B54",51.585327,7.468701
3,370945,"Brechten, Essingloh",51.58983,7.475097
4,410931,"Brechten, Zentrum",51.57924,7.46297
5,345186,DO Allerstr/LWL-Klinik Dtmd.,51.506317,7.545498
6,439998,DO Allerstr/LWL-Klinik Dtmd.,51.50634,7.545606
7,279400,DO Bodelschwingh Feuerwache,51.550934,7.367111
8,95257,DO Bodelschwingh Feuerwache,51.55143,7.366832
9,331308,DO Feuerwache Scharnhorst,51.552322,7.538554
10,402040,DO Feuerwache Scharnhorst,51.551838,7.538491
11,25798,DO Reiterhof Groppenbruch,51.586594,7.398938
12,258247,DO Rodenbergstraße/Aplerbeck,51.49454,7.555667
13,327404,DO Rodenbergstraße/Aplerbeck,51.49395,7.555146
14,129296,DO Steinwache/DO-Hbf Nord,51.520103,7.460464
15,153776,DO Steinwache/DO-Hbf Nord,51.520027,7.459314
16,227257,DO Zentrum f. Prod.-Techno.,51.487896,7.483874
17,372534,DO Zentrum f. Prod.-Techno.,51.48769,7.483658
18,110494,DO Zollernstr./Kirchlinde Krh.,51.524075,7.369051
19,342294,DO Zollernstr./Kirchlinde Krh.,51.52457,7.369033
20,3367,"DO, Airport Parkhaus 4/5",51.511852,7.605838
21,61644,"DO, Airport Parkhaus 4/5",51.51185,7.605775
22,429844,"DO, Industriemuseum Zollern",51.52022,7.33284
23,449877,"DO, Industriemuseum Zollern",51.519997,7.333981
24,449746,"DO, Walzwerkstr./Logistikzentrum",51.54295,7.499765
25,179564,DO-Anne-Frank-Gesamtschule,51.53572,7.467012
26,25676,DO-Anne-Frank-Gesamtschule,51.535725,7.466869
27,190861,DO-Aplerbeck Gewerbegebiet,51.506653,7.570175
28,350618,DO-Aplerbeck Gewerbegebiet,51.50644,7.571289
29,207,DO-Aplerbecker Bahnhofstraße,51.491665,7.551696
30,396367,DO-Aplerbecker Bahnhofstraße,51.49155,7.551993
31,207684,DO-Brackel S/Westfälische Str.,51.52058,7.54963
32,4943,DO-Brackel S/Westfälische Str.,51.52057,7.549765
33,303533,DO-Brackeler Str./Logistikp. W.,51.528923,7.502199
34,419995,DO-Castroper Str./Mengede Bf,51.5687,7.374046
35,58240,DO-Castroper Str./Mengede Bf,51.56882,7.373489
36,362665,DO-Doldenweg/Kirchhörder Str.,51.462685,7.480388
37,271996,DO-Ewald-Görshop-Straße,51.47716,7.383163
38,82424,DO-Ewald-Görshop-Straße,51.477238,7.383101
39,283077,DO-G.-Heinemann-Gesamtschule,51.53379,7.404822
40,377298,DO-G.-Heinemann-Gesamtschule,51.533775,7.40484
41,383417,DO-Gerhart-Hauptmann-Straße,51.505352,7.494123
42,65684,DO-Gerhart-Hauptmann-Straße,51.505604,7.493557
43,330306,DO-Geschwister-Scholl-Straße,51.517624,7.474828
44,353182,DO-Geschwister-Scholl-Straße,51.51764,7.473992
45,363840,DO-Geschwister-Scholl-Straße,51.518333,7.474612
46,371775,DO-Geschwister-Scholl-Straße,51.51825,7.474603
47,65623,DO-Gewerbegebiet Germania,51.50516,7.367129
48,89987,DO-Gewerbegebiet Germania,51.505424,7.367605
49,312040,DO-Heinrich-Czerkus-Allee,51.536125,7.562503
50,56480,DO-Heinrich-Czerkus-Allee,51.536625,7.562853
51,164813,DO-Heinrich-Munsbeck-Straße,51.48467,7.386424
52,176205,DO-Heinrich-Munsbeck-Straße,51.484993,7.386272
53,323024,DO-Heinrich-Munsbeck-Straße,51.484993,7.386272
54,458426,DO-Heinrich-Munsbeck-Straße,51.48467,7.386424
55,408663,DO-Huckarde Bezirksfriedhof,51.519993,7.397366
56,203254,DO-Joseph-von-Fraunhofer-Str.,51.490273,7.405567
57,428658,DO-Joseph-von-Fraunhofer-Str.,51.490005,7.405505
58,202433,DO-Jungferntal Grundschule,51.52891,7.38302
59,70014,DO-Jungferntal Grundschule,51.528885,7.382786
60,344088,DO-Kemmingh. Bzfr/Nebeneingang,51.565865,7.481556
61,54760,DO-Kemmingh. Bzfr/Nebeneingang,51.56588,7.48161
62,177371,DO-Kemminghausen Bezirksfh.,51.563297,7.482095
63,346834,DO-Kemminghausen Bezirksfh.,51.563488,7.482023
64,136794,DO-Kortenstraße/Trauerhalle,51.485195,7.575771
65,250934,DO-Kortenstraße/Trauerhalle,51.4857,7.575376
66,445395,DO-Logistikpark Westfalenhütte,51.53055,7.500906
67,304303,DO-Mühlackerstraße/Kurl Bf,51.556824,7.582185
68,401370,DO-Mühlackerstraße/Kurl Bf,51.556915,7.582149
69,168052,DO-Münster-/Mallinckrodtstraße,51.52461,7.462628
70,305724,DO-Münster-/Mallinckrodtstraße,51.52469,7.462323
71,340498,DO-Scheidemannstraße,51.531544,7.549262
72,352924,DO-Scheidemannstraße,51.531494,7.549307
73,170003,DO-Schopenhauer Grundsschule,51.559334,7.384035
74,274870,DO-Schopenhauer Grundsschule,51.559303,7.384098
75,5382,DO-Schulte-Heuthaus-Straße,51.507877,7.382202
76,251780,DO-Sendstraße/Seniorenheim,51.525494,7.530766
77,458133,DO-Sendstraße/Seniorenheim,51.52551,7.531323
78,108259,DO-Siegfried-Drupp-Straße,51.544403,7.530236
79,422725,DO-Siegfried-Drupp-Straße,51.544464,7.530164
80,38545,DO-Süggelweg Seniorenheim,51.55854,7.471603
81,437205,DO-Süggelweg Seniorenheim,51.55858,7.471612
82,17418,DO-Walbertstraße/Schulmuseum,51.50947,7.386182
83,342198,DO-Walbertstraße/Schulmuseum,51.50956,7.386056
84,57789,DO-Walbertstraße/Schulmuseum,51.509678,7.38496
85,207877,DO-Walter-Schücking-Straße,51.560314,7.382804
86,322405,DO-Walter-Schücking-Straße,51.560337,7.382885
87,185597,DO-Weingartenschule am See,51.49322,7.506592
88,440051,DO-Weingartenschule am See,51.493355,7.506206
89,11615,DO-Willem-van-Vloten-Straße,51.495094,7.497196
90,17966,DO-Willem-van-Vloten-Straße,51.4942,7.498543
91,208936,DO-Willem-van-Vloten-Straße,51.495125,7.497357
92,26258,DO-Willem-van-Vloten-Straße,51.495804,7.497178
93,435204,DO-Willem-van-Vloten-Straße,51.49561,7.498049
94,453781,DO-Willem-van-Vloten-Straße,51.496037,7.497016
95,93428,DO-Willem-van-Vloten-Straße,51.49436,7.498929
96,90911,DO-Wohnstift A.d. Kronenburg,51.503136,7.479023
97,426634,DO-Wohnstift Augustinum Hauptein.,51.45711,7.473076
98,380999,"Derne, Auf dem Brink",51.572304,7.507823
99,151404,"Derne, Im Sperrfeld",51.57536,7.50679
