layer_id,layer_name
0,070
1,1
2,10
3,12
4,13
5,160
6,2
7,226
8,228
9,229
10,261
11,3
12,305
13,305
14,307
15,307
16,308
17,308
18,309
19,309
20,321
21,322
22,322
23,333
24,352
25,353
26,360
27,366
28,386
29,4
30,400
31,404
32,41
33,423
34,424
35,46
36,476
37,477
38,478
39,61
40,62
41,63
42,64
43,65
44,66
45,672
46,7
47,70
48,72
49,73
50,74
51,75
52,76
53,77
54,78
55,79
56,8
57,80
58,81
59,83
60,84
61,85
62,86
63,87
64,88
65,89
66,9
67,90
68,91
69,92
70,93
71,98A
72,98B
73,98B
74,98C
75,A (Freital)
76,B (Freital)
77,EV 11
78,EV 2
79,F (Freital)
80,F 14
81,F 16
82,F 17
83,H/S (Pirna)
84,P (Pirna)
85,RB31
86,S3
87,SEV
88,SEV
89,Schwebebahn
90,alita 63
91,alita 65
92,alita 66
93,alita 70
94,alita 72
95,alita 73
96,alita 74
97,alita 75
98,alita 76
99,alita 77
100,alita 79
101,alita 8
102,alita 81
103,alita 83
104,alita 84
105,alita 88
106,alita 89
107,alita 92
108,alita 95
109,alita 97
