node_id,stop_id,stop_name,stop_lat,stop_lon
0,161902,Altfranken Hohe Straße,51.03245,13.636219
1,373945,Altfranken Hohe Straße,51.03245,13.636219
2,159627,Borsberg Wendeplatz,51.012455,13.896964
3,317407,Boxdorf Baumwiese,51.111286,13.699946
4,337843,Boxdorf Baumwiese,51.111248,13.700197
5,428539,Boxdorf Baumwiese,51.11114,13.700224
6,68959,Boxdorf Baumwiese,51.11114,13.700251
7,108423,Brabschütz Dorfplatz,51.069534,13.621757
8,257536,Brabschütz Dorfplatz,51.06985,13.621164
9,240458,Cossebaude,51.085045,13.632124
10,407741,Cossebaude,51.085045,13.632124
11,439471,Cossebaude Albertplatz,51.08237,13.611659
12,179909,Cossebaude Alte Feuerwehr,51.08554,13.628539
13,300279,Cossebaude Alte Feuerwehr,51.084682,13.629563
14,159272,Cossebaude An den Winkelwiesen,51.089108,13.62296
15,69557,Cossebaude An den Winkelwiesen,51.089153,13.621837
16,249596,Cossebaude Bahnhof,51.085514,13.631395
17,266045,Cossebaude Bahnhof,51.085445,13.631746
18,390515,Cossebaude Bahnhof,51.085835,13.629446
19,439727,Cossebaude Bahnhof,51.085583,13.631018
20,154964,Cossebaude Erna-Berger-Straße,51.087532,13.628548
21,389407,Cossebaude Erna-Berger-Straße,51.088085,13.628593
22,256918,Cossebaude Friedhofsweg,51.080265,13.620301
23,248926,Cossebaude Gewerbegebiet,51.081886,13.638968
24,285242,Cossebaude Gewerbegebiet,51.081852,13.640154
25,213198,Cossebaude Gohliser Weg,51.08701,13.639031
26,294865,Cossebaude Gohliser Weg,51.08701,13.639031
27,132442,Cossebaude Ludwigstraße,51.087337,13.635339
28,296177,Cossebaude Ludwigstraße,51.087296,13.635833
29,42177,Cossebaude Ludwigstraße,51.086082,13.635995
30,136224,Cossebaude Parkweg,51.082893,13.615971
31,111991,Cossebaude Schulstraße,51.087837,13.631773
32,248833,Cossebaude Schulstraße,51.08795,13.631234
33,415657,Cossebaude Sonnenleite,51.08443,13.623302
34,335099,Cossebaude Talstraße,51.079132,13.613672
35,201037,Cossebaude Weinbergstraße,51.0836,13.625943
36,239037,Cossebaude Weinbergstraße,51.083607,13.625916
37,271858,Cunnersdorf Gasthaus,51.04259,13.87792
38,322236,Cunnersdorf Gasthaus,51.042778,13.877983
39,139254,DD Bautzner/Rothenburger Str.,51.06292,13.75283
40,27293,DD Bautzner/Rothenburger Str.,51.062603,13.751949
41,432973,DD Bautzner/Rothenburger Str.,51.06297,13.752506
42,55089,DD Bautzner/Rothenburger Str.,51.06247,13.751931
43,271102,DD Betriebshof Waltherstraße,51.060665,13.712082
44,272583,DD Betriebshof Waltherstraße,51.060696,13.712199
45,116442,DD Blasewitzer/Fetscherstraße,51.052914,13.778117
46,152620,DD Blasewitzer/Fetscherstraße,51.05278,13.776428
47,324463,DD Blasewitzer/Fetscherstraße,51.052944,13.778162
48,373591,DD Blasewitzer/Fetscherstraße,51.052944,13.778162
49,375511,DD Blasewitzer/Fetscherstraße,51.052914,13.778117
50,384373,DD Blasewitzer/Fetscherstraße,51.05236,13.777183
51,286623,DD C-D-Friedrich-Straße,51.026707,13.75539
52,304762,DD C-D-Friedrich-Straße,51.02671,13.755049
53,38452,DD C-D-Friedrich-Straße,51.026672,13.754581
54,75906,DD C-D-Friedrich-Straße,51.026566,13.756153
55,109217,DD Cossebauder Str (Hp Cotta),51.06163,13.680533
56,148202,DD Cossebauder Str (Hp Cotta),51.061653,13.680794
57,156425,DD Deutsches Hygiene-Museum,51.04779,13.749686
58,70485,DD Deutsches Hygiene-Museum,51.04755,13.750252
59,214906,DD Fraunhofer-Institutszentrum,51.02981,13.782798
60,252768,DD Fraunhofer-Institutszentrum,51.029774,13.78348
