node_id,stop_id,stop_name,stop_lat,stop_lon
0,141641,D-Aachener Platz,51.19637,6.769408
1,150128,D-Aachener Platz,51.19624,6.769111
2,171595,D-Aachener Platz,51.19631,6.769066
3,273444,D-Aachener Platz,51.195786,6.768276
4,295034,D-Aachener Platz,51.19606,6.769434
5,229062,D-Abteihofstraße,51.186928,6.76258
6,280047,D-Adam-Stegerwald-Straße,51.143,6.907191
7,370347,D-Adam-Stegerwald-Straße,51.142628,6.907128
8,273222,D-Aderkirchweg,51.199703,6.742404
9,304396,D-Aderkirchweg,51.199993,6.742584
10,433434,D-Adlerstraße,51.2314,6.789727
11,81280,D-Adlerstraße,51.231186,6.789799
12,32221,D-Adolf-Klarenbach-Straße,51.17322,6.83582
13,328793,D-Adolf-Klarenbach-Straße,51.173046,6.835811
14,382951,D-Adolf-Klarenbach-Straße,51.17312,6.835829
15,69696,D-Adolf-Klarenbach-Straße,51.17312,6.835829
16,284438,D-Aldekerkstraße,51.230682,6.707352
17,418363,D-Aldekerkstraße,51.23077,6.707568
18,6208,D-Aldekerkstraße,51.23079,6.707343
19,15708,D-Alice-Heye-Platz,51.18512,6.84112
20,385545,D-Alice-Heye-Platz,51.18511,6.841066
21,92169,D-Allmendenweg,51.185036,6.759266
22,177764,D-Alt Eller,51.199963,6.843231
23,213567,D-Alt Eller,51.199875,6.842548
24,430023,D-Alt Eller,51.199646,6.842198
25,80860,D-Alt Eller,51.200188,6.842288
26,283894,D-Alt Himmelgeist,51.16853,6.807056
27,454548,D-Alt Himmelgeist,51.168716,6.806966
28,135533,D-Alte Gasse,51.334656,6.792638
29,71141,D-Alte Gasse,51.334423,6.792701
30,179495,D-Alte Kalkumer Straße,51.29814,6.751917
31,299106,D-Alte Kalkumer Straße,51.298164,6.751845
32,169513,D-Alte Landstraße,51.288563,6.73935
33,66555,D-Alte Landstraße,51.289608,6.738856
34,140227,D-Altenbrückstraße,51.183933,6.869624
35,375530,D-Altenbrückstraße,51.183872,6.870351
36,406620,D-Altenbrückstraße,51.18392,6.869507
37,72903,D-Alter Hafen,51.224148,6.769641
38,162008,D-Alter Schlachthof,51.249496,6.789422
39,196283,D-Alter Schlachthof,51.248978,6.789611
40,245437,D-Am Ellerforst,51.206287,6.857236
41,274472,D-Am Ellerforst,51.20618,6.856805
42,457636,D-Am Farnacker,51.16592,6.825391
43,298056,D-Am Fettpott,51.332874,6.79041
44,302430,D-Am Fettpott,51.332848,6.79032
45,334201,D-Am Flugfeld,51.2973,6.756095
46,341711,D-Am Flugfeld,51.297356,6.755681
47,288909,D-Am Frohnhof,51.301434,6.752546
48,432932,D-Am Frohnhof,51.30061,6.752205
49,231590,D-Am Hackenbruch,51.206207,6.832685
50,23535,D-Am Hackenbruch,51.205635,6.833215
51,297824,D-Am Hackenbruch,51.206028,6.833224
52,214840,D-Am Hain,51.26128,6.759257
53,7774,D-Am Hain,51.261627,6.760362
54,118735,D-Am Kreuzweg,51.268543,6.924888
55,280281,D-Am Kreuzweg,51.26864,6.925068
56,124048,D-Am Lehn,51.239723,6.86091
57,53966,D-Am Lehn,51.239807,6.860838
58,203156,D-Am Mergelsberg,51.267746,6.875481
59,29065,D-Am Mergelsberg,51.26771,6.875328
60,187149,D-Am Mühlenacker,51.31304,6.74483
61,7827,D-Am Mühlenacker,51.312805,6.744937
62,54070,D-Am Pflanzkamp,51.192875,6.863129
63,400215,D-Am Püttkamp,51.26839,6.873603
64,134095,D-Am Quellenbusch,51.22354,6.857505
65,8828,D-Am Quellenbusch,51.223476,6.857802
66,177442,D-Am Roten Haus,51.269016,6.760415
67,26529,D-Am Roten Haus,51.268913,6.760415
68,109220,D-Am Röttchen,51.273308,6.780556
69,347530,D-Am Röttchen,51.273132,6.781634
70,397401,D-Am Röttchen,51.273743,6.781643
71,84266,D-Am Röttchen,51.27334,6.780771
72,410835,D-Am Scharfenstein,51.19379,6.76974
73,437686,D-Am Scharfenstein,51.19353,6.769785
74,188594,D-Am Schein,51.258457,6.806813
75,267758,D-Am Schein,51.25861,6.807002
76,266226,D-Am Scheitenweg,51.174465,6.807406
77,268649,D-Am Scheitenweg,51.17426,6.807334
78,225078,D-Am Schönenkamp,51.189175,6.860281
79,450738,D-Am Schönenkamp,51.188545,6.860865
80,158677,D-Am Seestern,51.24205,6.738658
81,180833,D-Am Seestern,51.241856,6.737715
82,265312,D-Am Seestern,51.242096,6.73882
83,314598,D-Am Seestern,51.241795,6.737796
84,343320,D-Am Seestern,51.241856,6.737715
85,411632,D-Am Seestern,51.241325,6.737904
86,433093,D-Am Steinberg,51.199875,6.780834
87,5507,D-Am Steinberg,51.199837,6.781328
88,56240,D-Am Steinberg,51.19986,6.781202
89,10329,D-Am Stufstock,51.20656,6.825813
90,123942,D-Am Stufstock,51.20655,6.826244
91,264669,D-Am Stufstock,51.206585,6.826145
92,311306,D-Am Stufstock,51.206657,6.826028
93,198504,D-Am Trippelsberg,51.165997,6.847112
94,253464,D-Am Trippelsberg,51.165382,6.848576
95,258125,D-Am Trippelsberg,51.165524,6.848019
96,335189,D-Am Trippelsberg,51.1655,6.848298
97,401739,D-Am Trippelsberg,51.16567,6.846645
98,414658,D-Am Trippelsberg,51.165657,6.84677
99,139157,D-Am Zault,51.20166,6.903993
100,379338,D-Am Zault,51.20173,6.903939
101,324652,D-An den Birken,51.26712,6.757128
102,459256,D-An den Birken,51.2672,6.75666
103,143297,D-An den Kämpen,51.32586,6.775552
104,276575,D-An den Kämpen,51.326054,6.775857
105,131457,D-An der Apfelweide,51.241005,6.749447
106,232320,D-An der Apfelweide,51.241364,6.749483
107,170833,D-An der Bausenheide,51.279137,6.725291
108,253446,D-An der Bausenheide,51.278797,6.726333
109,147975,D-An der Piwipp,51.26314,6.775813
110,219237,D-An der Piwipp,51.263012,6.775741
111,274239,D-An der Piwipp,51.263145,6.775633
112,154953,D-An der Schützenwiese,51.216152,6.827762
113,336622,D-An der Schützenwiese,51.216408,6.827331
114,269330,D-An der Vehlingshecke,51.195023,6.76453
115,382105,D-An der Vehlingshecke,51.195293,6.764458
116,124463,D-Angeraue,51.338863,6.787787
117,139941,D-Angermund S,51.330097,6.782424
118,265499,D-Anna-von-Krane-Straße,51.27326,6.739781
119,403254,D-Arnulfstraße,51.23344,6.749932
120,324141,D-Auf dem Rheindamm,51.187534,6.771177
121,405755,D-Auf dem Rheindamm,51.187164,6.77053
122,243756,D-Auf der Hardt/LVR-Klinikum,51.241226,6.844031
123,411760,D-Auf der Hardt/LVR-Klinikum,51.24029,6.844084
124,438014,D-Auf der Hardt/LVR-Klinikum,51.240154,6.844291
125,449913,D-Auf der Hardt/LVR-Klinikum,51.241173,6.844129
126,62879,D-Auf der Hardt/LVR-Klinikum,51.241364,6.844543
127,291114,D-Auf der Krone,51.328465,6.779127
128,85158,D-Auf der Krone,51.32844,6.779037
129,198255,D-Auf der Lausward,51.222393,6.740087
130,194034,D-Auf'm Hennekamp,51.203983,6.784724
131,272541,D-Auf'm Hennekamp,51.202557,6.783817
132,34950,D-Auf'm Hennekamp,51.204014,6.784975
133,449819,D-Auf'm Hennekamp,51.202713,6.783664
134,324212,D-Auf'm Winkel,51.16886,6.814072
135,387318,D-Auf'm Winkel,51.16866,6.813057
136,402142,D-Bachstraße,51.206207,6.765078
137,51978,D-Bachstraße,51.206276,6.765123
138,341535,D-Bankstraße,51.244884,6.780017
139,354863,D-Bankstraße,51.245228,6.779756
140,192639,D-Barbarossaplatz,51.231533,6.755663
141,305865,D-Barbarossaplatz,51.231567,6.754325
142,370870,D-Barbarossaplatz,51.23164,6.754963
143,402260,D-Barbarossaplatz,51.23146,6.754882
144,154405,D-Barmer Straße,51.228664,6.748908
145,213808,D-Barmer Straße,51.229053,6.747192
146,110102,D-Belsenplatz,51.23158,6.748019
147,1780,D-Belsenplatz,51.2317,6.747408
148,211305,D-Belsenplatz,51.23159,6.747489
149,251079,D-Belsenplatz,51.23158,6.748019
150,35015,D-Belsenplatz,51.23184,6.748567
151,406461,D-Belsenplatz,51.23134,6.747596
152,419912,D-Belsenplatz,51.231377,6.747381
153,456041,D-Belsenplatz,51.231842,6.747354
154,53572,D-Belsenplatz,51.23179,6.747192
155,56850,D-Belsenplatz,51.23151,6.747102
156,85544,D-Belsenplatz,51.23158,6.748019
157,92976,D-Belsenplatz,51.231354,6.747543
158,236256,D-Benediktusstraße,51.234978,6.715572
159,363926,D-Benediktusstraße,51.234978,6.715572
160,428275,D-Benediktusstraße,51.2349,6.715661
161,291901,D-Benninghauser Straße,51.18761,6.828346
162,296991,D-Benninghauser Straße,51.187634,6.828463
163,101484,D-Benrath Btf,51.161015,6.883116
164,135363,D-Benrath Btf,51.16085,6.884077
165,254709,D-Benrath Btf,51.160915,6.884787
166,359527,D-Benrath Btf,51.16111,6.885739
167,409163,D-Benrath Btf,51.16111,6.885739
168,56446,D-Benrath Btf,51.161015,6.883116
169,141105,D-Benrath S,51.16165,6.878328
170,157789,D-Benrath S,51.16167,6.877996
171,158415,D-Benrath S,51.161777,6.878382
172,16366,D-Benrath S,51.161358,6.878095
173,164429,D-Benrath S,51.16129,6.8784
174,179688,D-Benrath S,51.161606,6.878382
175,204931,D-Benrath S,51.16177,6.878176
176,208459,D-Benrath S,51.161488,6.877565
177,25128,D-Benrath S,51.161713,6.878283
178,27924,D-Benrath S,51.16129,6.8784
179,284268,D-Benrath S,51.161522,6.877807
180,287821,D-Benrath S,51.161537,6.87893
181,305374,D-Benrath S,51.161777,6.878382
182,342773,D-Benrath S,51.161617,6.87761
183,343389,D-Benrath S,51.16177,6.878176
184,395030,D-Benrath S,51.161945,6.878194
185,399853,D-Benrath S,51.161522,6.877807
186,405679,D-Benrath S,51.161537,6.87893
187,423052,D-Benrath S,51.161945,6.878194
188,73918,D-Benrath S,51.16167,6.877996
189,86170,D-Benrath S,51.161617,6.87761
190,162625,"D-Benrath, Krankenhaus",51.152416,6.869273
191,28045,"D-Benrath, Krankenhaus",51.152416,6.869273
192,57407,"D-Benrath, Krankenhaus",51.152744,6.869471
193,84873,"D-Benrath, Krankenhaus",51.152744,6.869471
194,412939,"D-Benrath, Rathaus",51.163586,6.865976
195,53344,"D-Benrath, Rathaus",51.163586,6.865976
196,72253,"D-Benrath, Rathaus",51.163563,6.865707
197,151618,D-Benrather Marktplatz,51.163967,6.871824
198,264967,D-Benrather Marktplatz,51.163967,6.871824
199,387349,D-Benrather Marktplatz,51.163776,6.871726
200,422355,D-Benrather Marktplatz,51.163826,6.873019
201,137409,D-Benrather Straße U,51.222763,6.775633
202,279377,D-Benrather Straße U,51.2241,6.777079
203,335622,D-Benrather Straße U,51.22276,6.775525
204,364282,D-Benrather Straße U,51.223827,6.775606
205,133543,D-Benrodestraße,51.163685,6.860847
206,197180,D-Benrodestraße,51.163685,6.860847
207,54294,D-Benrodestraße,51.163696,6.860964
208,244176,D-Berliner Allee,51.21889,6.781364
209,342186,D-Berliner Allee,51.218533,6.781795
210,405274,D-Berliner Allee,51.219276,6.781939
211,408882,D-Berliner Allee,51.21885,6.782604
212,444058,D-Berliner Allee,51.218548,6.781966
213,69258,D-Berliner Allee,51.218365,6.782092
214,143016,D-Bernburger Straße,51.198486,6.839153
215,160417,D-Bernburger Straße,51.198376,6.839045
216,212471,D-Bernburger Straße,51.19834,6.839683
217,287826,D-Bernburger Straße,51.19846,6.839862
218,146856,D-Bertastraße,51.22956,6.847067
219,300739,D-Bertastraße,51.229336,6.846663
220,144183,D-Berzeliusstraße,51.237385,6.710963
221,209630,D-Berzeliusstraße,51.237484,6.710828
222,348265,D-Berzeliusstraße,51.237385,6.710963
223,205968,D-Betriebshof Stadtwerke,51.221905,6.816668
224,259354,D-Betriebshof Stadtwerke,51.22203,6.816336
225,136291,D-Bilk S,51.208622,6.776747
226,156159,D-Bilk S,51.20861,6.77698
227,372196,D-Bilk S,51.20857,6.777151
228,3919,D-Bilk S,51.208584,6.777358
229,18252,D-Bilker Allee/Friedrichstraße,51.21073,6.776154
230,222584,D-Bilker Allee/Friedrichstraße,51.21068,6.774735
231,302723,D-Bilker Allee/Friedrichstraße,51.21082,6.777007
232,215103,D-Bilker Kirche,51.21184,6.763407
233,272817,D-Bilker Kirche,51.21107,6.763047
234,301443,D-Bilker Kirche,51.21185,6.763344
235,456288,D-Bilker Kirche,51.21159,6.762778
236,74704,D-Bilker Kirche,51.21142,6.763622
237,2404,D-Bingener Weg,51.204155,6.817135
238,342608,D-Bingener Weg,51.204124,6.817602
239,258137,D-Birkenstraße,51.22744,6.801163
240,399132,D-Birkenstraße,51.22775,6.801792
241,84708,D-Birkenstraße,51.227013,6.800202
242,18896,D-Birkhahnweg,51.26281,6.76267
243,455456,D-Birkhahnweg,51.261993,6.762985
244,219620,D-Blanckertzstraße,51.254753,6.864863
245,87332,D-Blanckertzstraße,51.25549,6.866012
246,116709,D-Bocholter Straße,51.26304,6.780672
247,426388,D-Bocholter Straße,51.263046,6.78175
248,157302,D-Brands Hof,51.208427,6.855439
249,348318,D-Brands Hof,51.208527,6.855906
250,115307,D-Brehmplatz,51.238537,6.801397
251,356413,D-Brehmplatz,51.237972,6.802304
252,208535,D-Bremer Straße,51.219814,6.743294
253,293587,D-Bremer Straße,51.220737,6.744767
254,432234,D-Bremer Straße,51.21977,6.743294
255,395123,D-Breslauer Straße,51.211784,6.836682
256,45462,D-Breslauer Straße,51.212227,6.836521
257,361563,D-Briedestraße,51.17441,6.8602
258,368784,D-Briedestraße,51.174484,6.860218
259,85331,D-Briedestraße,51.17441,6.8602
260,213466,D-Brockenstraße,51.16107,6.893725
261,410334,D-Brockenstraße,51.161037,6.893824
262,203378,D-Brückerbach,51.178448,6.801971
263,243928,D-Brückerbach,51.179,6.801415
264,335342,D-Bunzlauer Weg,51.21442,6.843411
265,378214,D-Bunzlauer Weg,51.21422,6.843779
266,225083,D-Burgenlandweg,51.182728,6.836467
267,304157,D-Burgenlandweg,51.182693,6.836449
268,106028,D-Buschgasser Weg,51.312702,6.755241
269,421513,D-Buschgasser Weg,51.312927,6.754864
270,333525,D-Böhlerstraße,51.240887,6.712562
271,359722,D-Böhlerstraße,51.240814,6.71267
272,18866,D-Börchemstraße,51.165394,6.873226
273,418117,D-Börchemstraße,51.16531,6.87319
274,442195,D-Börchemstraße,51.16531,6.87319
275,96096,D-Börchemstraße,51.165394,6.873226
276,131080,D-Büttgenweg,51.24727,6.722498
277,40301,D-Büttgenweg,51.24698,6.722453
278,32614,D-Carl-Severing-Straße,51.141365,6.904721
279,416876,D-Carl-Severing-Straße,51.141277,6.904343
280,54784,D-Carl-Sonnenschein-Straße,51.265457,6.761727
281,86369,D-Carl-Sonnenschein-Straße,51.265373,6.761754
282,72213,D-Carlsplatz,51.22308,6.774447
283,143887,D-Charlottenstr./Oststraße,51.222725,6.790347
284,280169,D-Charlottenstr./Oststraße,51.222477,6.790536
285,414390,D-Charlottenstr./Oststraße,51.222538,6.790123
286,440061,D-Charlottenstr./Oststraße,51.222633,6.790257
287,357714,D-Chlodwigstraße,51.19624,6.783565
288,9343,D-Chlodwigstraße,51.195766,6.783745
289,290866,D-Clara-Viebig-Straße,51.242714,6.813299
290,313768,D-Clara-Viebig-Straße,51.24347,6.814081
291,93207,D-Clara-Viebig-Straße,51.24269,6.813596
292,25267,D-Clarissenstraße,51.2279,6.708699
293,92815,D-Clarissenstraße,51.22788,6.708825
294,154175,D-Comenius-Gymnasium,51.23546,6.742539
295,280685,D-Comenius-Gymnasium,51.235535,6.741964
296,72604,D-Comenius-Gymnasium,51.235336,6.74244
297,89769,D-Comenius-Gymnasium,51.234825,6.74341
298,355107,D-Comeniusplatz,51.23582,6.750318
299,144453,D-Corellistraße,51.154175,6.880242
300,170829,D-Corellistraße,51.154175,6.880242
301,336743,D-Corellistraße,51.15433,6.880646
302,439020,D-Corellistraße,51.15433,6.880646
303,169328,D-Corneliusstraße,51.21389,6.783233
304,353903,D-Corneliusstraße,51.213936,6.782092
305,413779,D-Corneliusstraße,51.214222,6.782721
306,98513,D-Corneliusstraße,51.2135,6.782667
307,251937,D-Curt-Beckmann-Straße,51.2869,6.727959
308,73045,D-Curt-Beckmann-Straße,51.286804,6.727878
309,108705,D-DOME/Am Hülserhof,51.273544,6.807173
310,124035,D-DOME/Am Hülserhof,51.274734,6.807182
311,187864,D-DOME/Am Hülserhof,51.2748,6.807272
312,225634,D-DOME/Am Hülserhof,51.27409,6.806661
313,237174,D-DOME/Am Hülserhof,51.27466,6.806391
314,260488,D-DOME/Am Hülserhof,51.274128,6.808439
315,203399,D-Daelenstraße,51.233177,6.822929
316,447733,D-Daelenstraße,51.23324,6.823028
317,437676,D-Daimlerstraße,51.22972,6.823702
318,449439,D-Daimlerstraße,51.229836,6.823908
319,194195,D-Dechenweg,51.182796,6.81806
320,395258,D-Dechenweg,51.183014,6.818339
321,337736,D-Dellestraße,51.203777,6.898298
322,432437,D-Dellestraße,51.20372,6.898226
323,113985,D-Demagstraße,51.17147,6.882002
324,20824,D-Demagstraße,51.17147,6.882002
325,383335,D-Demagstraße,51.171413,6.88202
326,412749,D-Demagstraße,51.171413,6.88202
327,196617,D-Derendorf S,51.24716,6.793958
328,23271,D-Derendorf S,51.24737,6.79465
329,255617,D-Derendorf S,51.2474,6.794758
330,310148,D-Derendorf S,51.2474,6.794758
331,324013,D-Derendorf S,51.24765,6.795369
332,335048,D-Derendorf S,51.24737,6.79465
333,165548,D-Derfflingerstraße,51.258457,6.817387
334,425062,D-Derfflingerstraße,51.25837,6.817602
335,113736,D-Deutzer Straße,51.193703,6.857047
336,190093,D-Deutzer Straße,51.19315,6.856472
337,415637,D-Deutzer Straße,51.193634,6.856832
338,60985,D-Deutzer Straße,51.192307,6.857487
339,219,D-Dieselstraße,51.227882,6.828418
340,283019,D-Dieselstraße,51.227814,6.828283
341,233094,D-Dillenburger Weg,51.194664,6.823217
342,3687,D-Dillenburger Weg,51.19451,6.826702
343,385255,D-Dillenburger Weg,51.194496,6.826792
344,54840,D-Dillenburger Weg,51.19437,6.825489
345,336754,D-Dirschauer Weg,51.177406,6.882658
346,409721,D-Dirschauer Weg,51.17769,6.881742
347,121401,D-Dormagener Straße,51.19978,6.762598
348,274150,D-Dormagener Straße,51.19942,6.762706
349,200074,D-Dreherstraße,51.234894,6.85605
350,291123,D-Dreherstraße,51.234802,6.857074
351,310491,D-Dreherstraße,51.23486,6.85667
352,369578,D-Dreherstraße,51.235195,6.856697
353,1037,D-Dreieck,51.240337,6.782451
354,284876,D-Dreieck,51.239925,6.781211
355,442148,D-Dreieck,51.240425,6.781822
356,239264,D-Dresdener Straße,51.13559,6.907164
357,391342,D-Dresdener Straße,51.136562,6.906446
358,454250,D-Dresdener Straße,51.13559,6.907164
359,72546,D-Dresdener Straße,51.136562,6.906446
360,167981,D-Drususstraße,51.230976,6.738766
361,433117,D-Drususstraße,51.230877,6.739107
362,371412,D-Dörpfeldstraße,51.23113,6.86003
363,9617,D-Dörpfeldstraße,51.23095,6.859913
364,189145,D-Eckenerstraße,51.272133,6.774851
365,220235,D-Eckenerstraße,51.271694,6.773809
366,60405,D-Eckenerstraße,51.27218,6.77442
367,93710,D-Eckenerstraße,51.2721,6.774312
368,315478,D-Edmund-Bertrams-Straße,51.298008,6.75949
369,81192,D-Edmund-Bertrams-Straße,51.298046,6.759508
370,270739,D-Eichelstraße,51.17418,6.85384
371,378354,D-Eichelstraße,51.174442,6.853625
372,261758,D-Eichsfelder Straße,51.132442,6.913551
373,81206,D-Eichsfelder Straße,51.132442,6.913551
374,116365,D-Einbrunger Straße,51.312218,6.761152
375,206756,D-Einbrunger Straße,51.311405,6.7602
376,389554,D-Einbrunger Straße,51.31096,6.760667
377,378854,D-Eisenacher Weg,51.216568,6.860074
378,75755,D-Eisenacher Weg,51.21651,6.860272
379,220455,D-Elbinger Weg,51.282646,6.72539
380,48338,D-Elbinger Weg,51.282413,6.725219
381,107268,D-Elbruchstraße,51.178955,6.828193
382,162389,D-Elbruchstraße,51.179302,6.827618
383,351491,D-Elbruchstraße,51.179466,6.827502
384,433955,D-Elbruchstraße,51.179195,6.827672
385,224239,D-Elisabethkirche,51.22682,6.799869
386,3638,D-Elisabethkirche,51.226505,6.798863
387,410971,D-Elisabethkirche,51.226696,6.799582
388,73131,D-Elisabethkirche,51.226254,6.799142
389,106166,D-Eller Kamp,51.20734,6.851406
390,385534,D-Eller Kamp,51.206547,6.849942
391,202499,D-Eller Mitte S,51.20168,6.837248
