node_id,stop_id,stop_name,stop_lat,stop_lon
0,155628,- Obermeiderich Bf,51.468315,6.820962
1,338810,- Obermeiderich Bf,51.468315,6.820962
2,376264,- Obermeiderich Bf,51.468315,6.820962
3,253134,Betr. Am Unkelstein,51.444126,6.771078
4,91743,Betr. Am Unkelstein,51.44412,6.771411
5,304556,DU - Bissingheim Dorfplatz,51.392357,6.812033
6,16455,DU- Hbf Westeingang,51.430756,6.770144
7,180609,DU- Hbf Westeingang,51.43042,6.771123
8,333302,DU- Hbf Westeingang,51.43042,6.771123
9,429516,DU- Hbf Westeingang,51.430756,6.770144
10,111939,DU-Friedrich-Ebert-Straße,51.407608,6.712652
11,18513,DU-Friedrich-Ebert-Straße,51.407776,6.712966
12,25456,DU-Friedrich-Ebert-Straße,51.407608,6.712652
13,359685,DU-Friedrich-Ebert-Straße,51.407776,6.712966
14,370019,DU-Friedrich-Ebert-Straße,51.407608,6.712652
15,80845,DU-Friedrich-Ebert-Straße,51.407776,6.712966
16,139234,DU-Hbf Osteingang,51.429882,6.778481
17,293547,DU-Hbf Osteingang,51.42992,6.777277
18,312916,DU-Hbf Osteingang,51.429882,6.778481
19,385117,DU-Hbf Osteingang,51.42992,6.777277
20,396470,DU-Hbf Osteingang,51.42992,6.777277
21,68309,DU-Hbf Osteingang,51.42992,6.777277
22,78456,DU-Hbf Osteingang,51.429844,6.778274
23,10692,DU-Landschaftspark Nord,51.479332,6.792629
24,323656,DU-Landschaftspark Nord,51.47927,6.792863
25,41945,DU-Landschaftspark Nord,51.479454,6.794165
26,48382,DU-Landschaftspark Nord,51.479523,6.793249
27,90747,DU-Landschaftspark Nord,51.47955,6.792872
28,143654,DU-Obermarxloh Schleife,51.507,6.785766
29,394690,DU-Obermarxloh Schleife,51.50676,6.785874
30,403977,DU-Obermarxloh Schleife,51.50711,6.78573
31,41727,DU-Obermarxloh Schleife,51.5067,6.786287
32,335906,DU-St.Johannes Hospital,51.489265,6.763649
33,70077,DU-St.Johannes Hospital,51.488995,6.762868
34,129949,Duis. Großenbaum Bf West,51.36541,6.776441
35,66406,Duis. Großenbaum Bf West,51.365112,6.776343
36,193449,Duisb. Friedrich-Wilhelm-Platz,51.43187,6.761179
37,284702,Duisb. Friedrich-Wilhelm-Platz,51.43187,6.761179
38,351011,Duisb. Friedrich-Wilhelm-Platz,51.432037,6.761502
39,437730,Duisb. Friedrich-Wilhelm-Platz,51.432037,6.761502
40,166798,Duisbg. Am Ungelsheimer Graben,51.35273,6.728786
41,96861,Duisbg. Am Ungelsheimer Graben,51.352676,6.729433
42,152040,Duisburg Abzw. Krefelder Str.,51.353725,6.783304
43,399429,Duisburg Abzw. Krefelder Str.,51.353546,6.783484
44,132806,Duisburg Adamstraße,51.508823,6.794093
45,163754,Duisburg Adamstraße,51.508774,6.794551
46,443279,Duisburg Adamstraße,51.508774,6.794551
47,50044,Duisburg Adamstraße,51.508823,6.794093
48,57345,Duisburg Adamstraße,51.508774,6.794551
49,86256,Duisburg Adamstraße,51.508823,6.794093
50,126202,Duisburg Albert-Einstein-Str.,51.497265,6.807793
51,296287,Duisburg Albert-Einstein-Str.,51.497265,6.807793
52,399018,Duisburg Albert-Einstein-Str.,51.497265,6.807793
53,435414,Duisburg Albert-Einstein-Str.,51.497337,6.808332
54,81236,Duisburg Albert-Einstein-Str.,51.497337,6.808332
55,99456,Duisburg Albert-Einstein-Str.,51.497337,6.808332
56,300672,Duisburg Albert-Hahn-Straße,51.36034,6.779541
57,316523,Duisburg Albert-Hahn-Straße,51.3609,6.779532
58,320178,Duisburg Albertstr.,51.443,6.7473
59,327997,Duisburg Albertstr.,51.44277,6.74774
60,175912,Duisburg Albertus-Magnus-Str.,51.36337,6.749986
61,48772,Duisburg Albertus-Magnus-Str.,51.363194,6.749797
62,165713,Duisburg Albrechtstr.,51.471897,6.807487
63,369353,Duisburg Albrechtstr.,51.47209,6.807254
64,142716,Duisburg Alexanderstraße,51.476795,6.806813
65,93870,Duisburg Alexanderstraße,51.477123,6.807047
66,141491,Duisburg Alt-Walsum-Friedhof,51.533257,6.71011
67,30488,Duisburg Alt-Walsum-Friedhof,51.533195,6.709679
68,342712,Duisburg Alte Schanze,51.423958,6.779981
69,4247,Duisburg Alte Schanze,51.424248,6.779621
70,362280,Duisburg Alter Friedhof,51.41816,6.781014
71,412396,Duisburg Alter Friedhof,51.418125,6.780708
72,211260,Duisburg Altersheim,51.508812,6.777519
73,25763,Duisburg Altersheim,51.508804,6.77734
74,317242,Duisburg Altersheim,51.509087,6.776846
75,419755,Duisburg Altersheim,51.508804,6.77734
76,5370,Duisburg Altersheim,51.508812,6.777519
