layer_id,layer_name
0,101
1,103
2,104
3,105
4,106
5,107
6,108
7,109
8,130
9,136
10,138
11,140
12,141
13,142
14,143
15,143
16,146
17,151
18,155
19,159
20,160
21,162
22,164
23,169
24,172
25,173
26,174
27,175
28,177
29,180
30,182
31,183
32,184
33,185
34,186
35,189
36,192
37,194
38,263
39,772
40,774
41,NE 4
42,NE1
43,NE10
44,NE11
45,NE12
46,NE13
47,NE14
48,NE15
49,NE16
50,NE2
51,NE3
52,NE4
53,NE5
54,NE51
55,NE6
56,NE7
57,NE8
58,NE8
59,NE9
60,SB15
61,SB16
62,SB16
63,SB19
64,SB19
65,SB94
66,SEV
67,T1.1
68,T1.2
69,T10.1
70,T10.2
71,T11.1
72,T11.2
73,T11.3
74,T12.1
75,T15.1
76,T2.1
77,T3.1
78,T4.1
79,T5
80,T5.1
81,T6.1
82,T6.2
83,T6.3
84,T7.1
85,T7.2
86,T8.1
87,T8.2
88,U11
89,U17
90,U18
