node_id,stop_id,stop_name,stop_lat,stop_lon
0,155008,E-Marienbergstr. Schl,51.396526,7.095343
1,360096,E-Marienbergstr. Schl,51.396526,7.095343
2,37944,E-Stadion Mathias Stinnes,51.518196,6.997472
3,450769,E-Stadion Mathias Stinnes,51.518192,6.99749
4,225927,Essen Aalto-Theater,51.447033,7.013462
5,320783,Essen Aalto-Theater,51.447704,7.013094
6,84457,Essen Aalto-Theater,51.447056,7.013498
7,96821,Essen Aalto-Theater,51.447525,7.013309
8,241883,Essen Abzw Katernberg Schleife,51.491024,7.050868
9,390735,Essen Abzw Katernberg Schleife,51.490963,7.050922
10,120824,Essen Abzweig Aktienstr.,51.462635,6.934015
11,123530,Essen Abzweig Aktienstr.,51.462723,6.932928
12,130696,Essen Abzweig Aktienstr.,51.46249,6.93335
13,297529,Essen Abzweig Aktienstr.,51.462635,6.934015
14,301071,Essen Abzweig Aktienstr.,51.46249,6.93335
15,320112,Essen Abzweig Aktienstr.,51.462624,6.933108
16,345253,Essen Abzweig Aktienstr.,51.462723,6.932928
17,359812,Essen Abzweig Aktienstr.,51.462624,6.933108
18,338107,Essen Abzweig Dahlhausen,51.437435,7.110462
19,420026,Essen Abzweig Flughafen,51.399414,6.953975
20,45767,Essen Abzweig Flughafen,51.399696,6.95455
21,114142,Essen Abzweig Katernberg,51.48995,7.050293
22,261912,Essen Abzweig Katernberg,51.490856,7.050481
23,295897,Essen Abzweig Katernberg,51.489704,7.050185
24,310825,Essen Abzweig Katernberg,51.489487,7.049942
25,338365,Essen Abzweig Katernberg,51.490776,7.050697
26,367750,Essen Abzweig Katernberg,51.489323,7.050041
27,128209,Essen Achthausen,51.46096,7.048011
28,334099,Essen Achthausen,51.46128,7.047858
29,21356,Essen Ackerstr.,51.47926,6.938111
30,217151,Essen Ackerstr.,51.479378,6.93812
31,23194,Essen Ackerstr.,51.479378,6.93812
32,298292,Essen Ackerstr.,51.479378,6.93812
33,32242,Essen Ackerstr.,51.47926,6.938111
34,379109,Essen Ackerstr.,51.479378,6.93812
35,319117,Essen Ahestr.,51.44768,7.077027
36,177530,Essen Ahrfeldstr.,51.438126,7.041507
37,53439,Essen Ahrfeldstr.,51.43778,7.04192
38,412579,Essen Akademiestr.,51.367245,6.938785
39,451012,Essen Akademiestr.,51.367245,6.938785
40,197100,Essen Albert-Schweitzer-Str.,51.44645,7.10942
41,86489,Essen Albert-Schweitzer-Str.,51.446423,7.109429
42,171134,Essen Aldenhofweg,51.49321,7.058827
43,188672,Essen Aldenhofweg,51.49321,7.058836
44,144948,Essen Alfred-Krupp-Schule,51.449844,6.984383
45,205244,Essen Alfred-Krupp-Schule,51.44964,6.983781
46,226262,Essen Alfred-Krupp-Schule,51.449657,6.984258
47,258701,Essen Alfred-Krupp-Schule,51.44992,6.984267
48,377467,Essen Alfred-Krupp-Schule,51.44963,6.983853
49,57042,Essen Alfred-Krupp-Schule,51.44963,6.984231
50,398539,Essen Alfredbrücke,51.43119,7.001245
51,7094,Essen Alfredbrücke,51.43066,7.001299
52,217120,Essen Alfredusbad,51.42125,7.000832
53,26700,Essen Alfredusbad,51.421234,7.000787
54,338956,Essen Alfredusbad,51.421238,7.000805
55,346276,Essen Alfredusbad,51.421238,7.000805
56,416289,Essen Alfredusbad,51.42125,7.000841
57,47322,Essen Alfredusbad,51.42125,7.000841
58,103040,Essen Alte Landstr.,51.528175,7.010165
59,199492,Essen Alte Landstr.,51.52826,7.009967
60,325207,Essen Alte Landstr.,51.528416,7.010237
61,418914,Essen Alte Landstr.,51.528355,7.01012
62,106519,Essen Altenberg,51.477592,6.969094
63,204879,Essen Altenberg,51.477722,6.969319
64,289006,Essen Altenberg,51.477592,6.969103
65,389494,Essen Altenberg,51.477722,6.969319
66,113414,Essen Altenessen Bf,51.48412,7.008997
67,144226,Essen Altenessen Bf,51.484245,7.007362
68,196597,Essen Altenessen Bf,51.485077,7.007605
