node_id,stop_id,stop_name,stop_lat,stop_lon
0,153310,F Achenbachstraße NBurnitzstraße,50.097466,8.676643
1,276546,F Achenbachstraße NHolbein-Schule,50.097466,8.676643
2,135371,F Adalbert-/Schloßstr. Bus NBockenh. W,50.119045,8.643569
3,68590,F Adalbert-/Schloßstr. Bus VBockenh. W.,50.119045,8.643569
4,395953,F Adalbert-/Schloßstr. Bus VKurfNWebf,50.119045,8.643569
5,104755,F Adalbert-/Schloßstr. Strab NGinnh/West,50.119045,8.643569
6,251377,F Adalbert-/Schloßstr. Strab NMesse/West,50.119045,8.643569
7,423907,F Adam-Opel-Straße Bus NC.-Benz-Str.,50.12381,8.755474
8,188865,F Adam-Opel-Straße Bus NH.-Junkers-S,50.12381,8.755474
9,128153,F Adlerflychtplatz Bus NBornwiesenwg,50.12414,8.681428
10,8573,F Adlerflychtplatz Bus NHynspergstr.,50.12414,8.681428
11,236263,F Adolph-Prior-Straße Bus NH-Hopf-Str,50.12801,8.579871
12,230862,F Adolph-Prior-Straße Bus NW-Fay-Str.N.,50.12801,8.579871
13,175781,F Affentorplatz Bus NElisabethens,50.104668,8.689846
14,388822,F Affentorplatz Bus NLokalbahnhof,50.104668,8.689846
15,129882,F Alemannenweg Engelsruhe,50.11368,8.54029
16,323609,F Alemannenweg Rugierstraße,50.11368,8.54029
17,153171,F Alkmenestraße Strab NGravenst.P,50.151775,8.699854
18,243931,F Alkmenestraße Strab VGravenst.P,50.151775,8.699854
19,182381,F Alleehaus Gotenstraße,50.11264,8.538273
20,212425,F Alleehaus Königsteiner Str.,50.11264,8.538273
21,419569,"F Allerheiligentor Strab NBörne,hGei",50.113316,8.693663
22,70145,F Allerheiligentor Strab NOstendstr.,50.113316,8.693663
23,151940,F Allerheiligentor nBus NKonstablerw,50.113316,8.693663
24,200171,F Allerheiligentor nBus NOstend/Zoo,50.113316,8.693663
25,86850,F Allesinastraße NFarbenstr/Friedh,50.078217,8.512199
26,170795,F Allesinastraße NWestenbergerstr,50.078217,8.512199
27,24361,F Alt-Bonames Bus NBonam. Hains,50.180634,8.664029
28,132646,F Alt-Bonames Bus NNordpark,50.180634,8.664029
29,187486,F Alt-Fechenheim Bus NJakobsbrunne,50.12831,8.767492
