node_id,stop_id,stop_name,stop_lat,stop_lon
0,350963,Ebnet (Frbg) Dreisamhalle,47.985058,7.90445
1,369743,Ebnet (Frbg) Langmatten,47.98964,7.9155
2,40440,Ebnet (Frbg) Pfarrheim,47.988235,7.90595
3,38341,Ebnet (Frbg) Rathaus,47.98669,7.904241
4,185084,Ebnet (Frbg.) Hirschen,47.986195,7.905738
5,396101,FR - St. Georgen Reiterhof,47.974167,7.784081
6,278855,Frbg Haslach Fichtestraße,47.98538,7.826835
7,158545,Frbg Landwasser Moosweiher,48.028343,7.809409
8,367089,Frbg Schwabentorbrücke Nord,47.990852,7.853347
9,284251,Frbg Schwabentorbrücke Süd,47.990295,7.853359
10,176786,Freiburg (Brsg) ZOB,47.996616,7.840449
11,31547,Freiburg (im Breisgau) central station,47.99569,7.840469
12,400266,Freiburg Albertstraße,48.002075,7.846143
13,151021,Freiburg Almendweg,48.015373,7.823367
14,261338,Freiburg Bauhöferstraße,47.985012,7.822758
15,255960,Freiburg CVUA Freiburg,48.032524,7.804204
16,229230,Freiburg Christ,48.038193,7.796791
17,340323,Freiburg Ebneter Straße,47.98273,7.898243
18,334395,Freiburg Engesserstraße,48.02175,7.850075
19,349356,Freiburg Falkenbergerstraße,48.013786,7.825749
20,437654,Freiburg Gundelfinger Straße,48.03509,7.863
21,15618,Freiburg Hans-Bunte-Str. Mitte,48.028736,7.854438
22,390637,Freiburg Hans-Bunte-Str. Nord,48.03101,7.858866
23,114446,Freiburg Heinrich v. Stephan S,47.986633,7.836051
24,121831,Freiburg Hofackerstraße,48.018154,7.818398
25,409255,Freiburg Im Gänderle,47.98901,7.909846
26,9386,Freiburg Industriepark Ost,48.020203,7.84535
27,391218,Freiburg Kreuzstraße,48.001656,7.84173
28,65924,Freiburg Lassbergstr.,47.98454,7.893783
29,152486,Freiburg Max-Planck-Institut,48.025387,7.849404
30,217086,Freiburg Moosackerweg,47.98413,7.795797
31,189557,Freiburg Mooswaldallee,48.03328,7.860117
32,225903,Freiburg Munzinger Straße,47.988403,7.794948
33,235990,Freiburg Nordstr.,48.01097,7.853987
34,441656,Freiburg Offenburger Str.,48.01961,7.854828
35,333175,Freiburg Paduaallee,48.013683,7.80783
36,76309,Freiburg Paula-Modersohn-Platz,47.974384,7.828437
37,383265,Freiburg Pressehaus,47.98624,7.829294
38,366745,Freiburg R.-Schneider-Straße,47.981476,7.901525
39,25653,Freiburg Rabenkopfstraße,47.99201,7.87299
40,278472,Freiburg Rabenkopfstraße,47.9921,7.873082
41,363980,Freiburg Rehlingstrasse,47.9904,7.837668
42,84392,Freiburg Robert-Grumbach-Platz,48.01101,7.830396
43,446974,Freiburg Robert-Koch-Straße,48.003838,7.836991
44,171312,Freiburg Schopfheimer Straße,47.98201,7.820026
45,169552,Freiburg Siemensstraße,48.02142,7.851919
46,174980,Freiburg Sonnenstraße,48.00536,7.849688
47,332827,Freiburg Strandbad,47.987556,7.894188
48,3137,Freiburg Stübeweg,48.02703,7.851875
49,275247,Freiburg Technische Fakultät,48.012154,7.835584
50,338314,Freiburg Tullastraße,48.019344,7.856858
51,214270,Freiburg Weddigenstraße,47.984127,7.836523
52,324695,Freiburg Zenlinweg,47.980797,7.904982
53,373048,"Freiburg, Albertstraße",48.001305,7.845263
54,420199,"Freiburg, Albertstraße",48.001995,7.846078
55,377362,"Freiburg, Almendweg",48.015408,7.823165
56,39015,"Freiburg, Almendweg",48.015835,7.822646
57,193266,"Freiburg, Alter Messplatz",47.988472,7.869879
58,244251,"Freiburg, Alter Messplatz",47.98855,7.869502
59,26481,"Freiburg, Am Bannwald",47.962807,7.909312
60,431877,"Freiburg, Am Bannwald",47.962715,7.909234
61,190594,"Freiburg, Am Bischofskreuz",48.007008,7.818089
62,275434,"Freiburg, Am Bischofskreuz",48.00682,7.818321
63,458056,"Freiburg, Am Flughafen",48.022816,7.839822
64,93166,"Freiburg, Am Flughafen",48.022697,7.839623
65,250218,"Freiburg, Am Hörchersberg",47.977165,7.90676
