layer_id,layer_name
0,1
1,1
2,10
3,10a
4,10b
5,11
6,11
7,12
8,13
9,14A
10,14B
11,16
12,18
13,2
14,2
15,20
16,20
17,26
18,27
19,3
20,3
21,3
22,3
23,30
24,32
25,4
26,4A
27,5
28,5
29,50
30,50
31,59
32,6
33,6
34,6
35,61
36,62
37,65
38,66
39,67
40,69
41,71
42,72
43,73
44,73
45,741
46,768
47,78
48,79
49,81
50,82
51,83
52,84
53,89
54,90
55,91
56,93
57,A1
58,A11
59,A14
60,A2
61,A22
62,A3
63,A31
64,A311
65,A312
66,A50
67,A51
68,A60
69,A601
70,A61
71,A91
72,AIR
73,BB09
74,C11
75,C13
76,C14
77,C15
78,CB37
79,CB523
80,CB92
81,DPF
82,DPN
83,E
84,FEX
85,HSB
86,IRE
87,IRE1
88,IRE6
89,KBM
90,KJ1
91,L7
92,MEX16
93,NL1
94,NL2
95,PE
96,R
97,RB
98,RB1
99,RB10
100,RB11
101,RB110
102,RB113
103,RB12
104,RB13
105,RB14
106,RB15
107,RB16
108,RB17
109,RB18
110,RB19
111,RB2
112,RB20
113,RB21
114,RB22
115,RB23
116,RB24
117,RB25
118,RB26
119,RB27
120,RB28
121,RB29
122,RB3
123,RB30
124,RB31
125,RB32
126,RB33
127,RB34
128,RB35
129,RB36
130,RB37
131,RB38
132,RB39
133,RB4
134,RB40
135,RB41
136,RB42
137,RB42a
138,RB43
139,RB44
140,RB45
141,RB46
142,RB46
143,RB47
144,RB47
145,RB48
146,RB49
147,RB5
148,RB50
149,RB51
150,RB52
151,RB53
152,RB54
153,RB55
154,RB56
155,RB57
156,RB58
157,RB59
158,RB6
159,RB60
160,RB61
161,RB61
162,RB62
163,RB63
164,RB64
165,RB65
166,RB65
167,RB66
168,RB67
169,RB68
170,RB68a
171,RB69
172,RB7
173,RB70
174,RB71
175,RB72
176,RB73
177,RB74
178,RB75
179,RB76
180,RB77
181,RB78
182,RB79
183,RB8
184,RB80
185,RB81
186,RB82
187,RB83
188,RB84
189,RB85
190,RB86
191,RB87
192,RB88
193,RB89
194,RB90
195,RB91
196,RB92
197,RB93
198,RB94
199,RB95
200,RB96
201,RB97
202,RB98
203,RB99
204,RE
205,RE1
206,RE10
207,RE11
208,RE12
209,RE13
210,RE14
211,RE15
212,RE16
213,RE17
214,RE18
215,RE19
216,RE2
217,RE20
218,RE21
219,RE22
220,RE23
221,RE24
222,RE25
223,RE27
224,RE28
225,RE3
226,RE30
227,RE31
228,RE32
229,RE33
230,RE34
231,RE35
232,RE38
233,RE39
234,RE4
235,RE40
236,RE41
237,RE42
238,RE43
239,RE44
240,RE45
241,RE47
242,RE49
243,RE5
244,RE50
245,RE51
246,RE54
247,RE55
248,RE56
249,RE57
250,RE59
251,RE6
252,RE60
253,RE61
254,RE62
255,RE65
256,RE66
257,RE67
258,RE7
259,RE70
260,RE71
261,RE72
262,RE73
263,RE74
264,RE75
265,RE76
266,RE77
267,RE79
268,RE8
269,RE80
270,RE83
271,RE84
272,RE85
273,RE87
274,RE89
275,RE9
276,RE90
277,RE91
278,RE97
279,RE98
280,RE99
281,RS1
282,RS2
283,RS3
284,RS4
285,RS7
286,RS71
287,RT1
288,RT4
289,RT5
290,S
291,S1
292,S1
293,S10
294,S11
295,S12
296,S19
297,S2
298,S2
299,S2
300,S20
301,S21
302,S23
303,S25
304,S26
305,S28
306,S3
307,S3
308,S30
309,S31
310,S33
311,S39
312,S4
313,S41
314,S42
315,S45
316,S46
317,S47
318,S5
319,S5
320,S5
321,S51
322,S5X
323,S6
324,S60
325,S68
326,S7
327,S7
328,S75
329,S8
330,S8
331,S85
332,S9
333,S9
334,SEV
335,U28
336,VBGRB1
337,VBGRB5
