node_id,stop_id,stop_name,stop_lat,stop_lon
0,12753,Aachen Hbf,50.7678,6.091499
1,13341,Aachen Hbf,50.7678,6.091499
2,4366,Aachen Hbf,50.7678,6.091499
3,5704,Aachen Hbf,50.7678,6.091499
4,6899,Aachen Hbf,50.7678,6.091499
5,8887,Aachen Hbf,50.7678,6.091499
6,9308,Aachen Hbf,50.7678,6.091499
7,9603,Aachen Hbf,50.7678,6.091499
8,10289,Aachen Schanz,50.769863,6.07384
9,13205,Aachen Schanz,50.769863,6.07384
10,6883,Aachen Schanz,50.769863,6.07384
11,6700,Aachen Süd(Gr),50.731915,6.04541
12,14115,Aachen West,50.78036,6.070715
13,2497,Aachen West,50.78036,6.070715
14,741,Aachen West,50.78036,6.070715
15,1672,Aachen-Rothe Erde,50.770203,6.116475
16,317,Aachen-Rothe Erde,50.770203,6.116475
17,4595,Aachen-Rothe Erde,50.770203,6.116475
18,12892,Aalen Hbf,48.841015,10.096271
19,1374,Aalen Hbf,48.841015,10.096271
20,16060,Aalen Hbf,48.841015,10.096271
21,5133,Aalen Hbf,48.841015,10.096271
22,7529,Aalen Hbf,48.841015,10.096271
23,9714,Aalen Hbf,48.841015,10.096271
24,14154,Abenden,50.671085,6.476459
25,12742,Abensberg,48.819454,11.84662
26,15663,Abensberg,48.819454,11.84662
27,1642,Abensberg,48.819454,11.84662
28,7328,Abzw. Einthal,48.952934,12.168058
29,10232,Achern,48.63399,8.065324
30,5619,Achern,48.63399,8.065324
31,6192,Achern,48.63399,8.065324
32,7210,Achern,48.63399,8.065324
33,11115,Achern Bahnhof,48.633778,8.065353
34,8386,Achern Stadt,48.625736,8.067706
35,9464,Achern Stadt,48.62553,8.068048
36,1026,Achim,53.01599,9.030447
37,10835,Achim,53.01599,9.030447
38,7975,Achim,53.01599,9.030447
39,15020,Achkarren,48.06009,7.60787
40,4413,Achkarren Bahnhof,48.05957,7.608039
41,13255,Achmer,52.39048,7.94216
42,4587,Achmer,52.39048,7.94216
43,549,Achmer,52.39048,7.94216
44,15011,Achterwehr,54.314915,9.964024
45,6955,Achterwehr,54.314915,9.964024
46,1354,Adelebsen,51.57769,9.760044
47,707,Adelebsen,51.57769,9.760044
48,12049,Adelschlag,48.84076,11.211443
49,7997,Adelschlag,48.84076,11.211443
50,11042,Adelsdorf(Mittelfr),49.474945,10.687041
51,12529,Adelsheim Nord,49.42149,9.392754
52,8207,Adelsheim Nord,49.42149,9.392754
53,8466,Adelsheim Nord,49.42149,9.392754
54,10841,Adelsheim Ost,49.403122,9.395127
55,10869,Adelsheim Ost,49.403122,9.395127
56,11217,Adelsheim Ost,49.403122,9.395127
57,2328,Adorf(Erzgeb),50.76385,12.873666
58,12788,Adorf(Vogtl),50.324394,12.260678
59,13810,Adorf(Vogtl),50.324394,12.260678
60,6724,Adorf(Vogtl),50.324394,12.260678
61,6027,Agatharied,47.765606,11.824472
62,10732,Agathenburg,53.56411,9.531244
63,4089,Agathenburg,53.56411,9.531244
64,9470,Agathenburg,53.56411,9.531244
65,7822,Aglasterhausen,49.350098,8.990838
66,3077,Aha,47.833225,8.134349
67,9872,Aha,47.833225,8.134349
68,4295,Ahaus,52.08168,7.016453
69,8912,Ahlbeck Grenze,53.921967,14.215549
70,10934,Ahlbeck Ostseetherme,53.944427,14.177287
71,14348,Ahlen(Westf),51.761063,7.895488
72,4390,Ahlen(Westf),51.761063,7.895488
73,7707,Ahlen(Westf),51.761063,7.895488
74,14384,Ahlhorn,52.899323,8.209429
75,15161,Ahlhorn,52.899323,8.209429
76,5640,Ahlhorn,52.899323,8.209429
77,13168,Ahlten,52.37606,9.904613
78,1637,Ahlten,52.37606,9.904613
79,15945,Ahnatal-Casselbreite Gl.1 Ri. Kassel,51.36284,9.433889
80,7484,Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,51.36284,9.433889
81,12917,Ahnatal-Heckershausen Gl.1 Ri. Kassel,51.362988,9.422978
82,9884,Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,51.362988,9.422978
83,4689,Ahnatal-Weimar,51.36363,9.391588
84,12224,Ahnatal-Weimar Gl.1 Ri. Kassel,51.363632,9.392114
85,13738,Ahnatal-Weimar Gl.1 Ri.Wolfhagen,51.363632,9.392114
86,13453,Ahrensburg,53.66917,10.236206
87,14556,Ahrensburg,53.66917,10.236206
88,15253,Ahrensburg,53.66917,10.236206
89,2901,Ahrensburg,53.66917,10.236206
90,4215,Ahrensburg,53.66917,10.236206
91,10740,Ahrensburg-Gartenholz,53.68848,10.251786
92,11734,Ahrensburg-Gartenholz,53.68848,10.251786
93,5628,Ahrensburg-Gartenholz,53.68848,10.251786
94,9530,Ahrensfelde,52.571377,13.565154
95,15687,Ahrensfelde Friedhof,52.580883,13.573316
96,1734,Ahrensfelde Nord,52.590687,13.581985
97,8163,Ahrweiler,50.546543,7.107071
98,14832,Aich(Niederbay),48.417316,12.398163
99,5007,Aich(Niederbay),48.417316,12.398163
100,10150,Aichach,48.461117,11.122721
101,6790,Aichach,48.461117,11.122721
102,12005,Aichstetten,47.887882,10.07494
103,9319,Aichstetten,47.887882,10.07494
104,16180,Albbruck,47.592236,8.131774
105,4308,Albbruck,47.592236,8.131774
106,12444,Albersdorf,54.14632,9.292151
107,202,Albersweiler(Pfalz),49.21847,8.024464
108,14474,Albig,49.771374,8.116579
109,3378,Albig,49.771374,8.116579
110,10822,Albrechtshof,52.549397,13.128917
111,11302,Albrechtshof,52.549397,13.128917
112,158,Albrechtshof,52.549397,13.128917
113,1425,Albshausen,50.545715,8.434869
114,16198,Albshausen,50.545715,8.434869
115,470,Albsheim(Eis),49.58075,8.179166
116,14850,Albstadt-Ebingen,48.21029,9.026962
117,170,Albstadt-Ebingen,48.21029,9.026962
118,2662,Albstadt-Ebingen,48.21029,9.026962
119,15148,Albstadt-Ebingen West,48.21139,8.99698
120,16175,Albstadt-Ebingen West,48.21139,8.99698
121,2123,Albstadt-Ebingen West,48.21139,8.99698
122,13774,Albstadt-Laufen Ort,48.22286,8.917316
123,577,Albstadt-Laufen Ort,48.22286,8.917316
124,2679,Albstadt-Lautlingen,48.21364,8.95462
125,3593,Albstadt-Lautlingen,48.21364,8.95462
126,16224,Aldekerk,51.43576,6.412542
127,2578,Aldekerk,51.43576,6.412542
128,6155,Aldekerk,51.43576,6.412542
129,1663,Aldingen(b Spaichingen),48.095844,8.713033
130,5831,Aldingen(b Spaichingen),48.095844,8.713033
131,6328,Aletshausen,48.201313,10.383631
132,562,Alfeld(Leine),51.98142,9.817779
133,7176,Alfeld(Leine),51.98142,9.817779
134,8924,Alfeld(Leine),51.98142,9.817779
135,12026,Alfter-Impekoven,50.711018,7.019831
136,13175,Alfter-Impekoven,50.711018,7.019831
137,2818,Alfter-Impekoven,50.711018,7.019831
