node_id,stop_id,stop_name,stop_lat,stop_lon
0,362176,Adolfstraße,51.49738,11.964546
1,130641,Albert-Einstein-Straße,51.481678,11.926103
2,347399,Albert-Einstein-Straße,51.4817,11.925485
3,121352,Alfred-Oelßner-Straße,51.50779,11.882423
4,337500,Alfred-Oelßner-Straße,51.50841,11.882015
5,7343,Alfred-Oelßner-Straße,51.50807,11.881634
6,183662,Alfred-Reinhardt-Straße,51.42515,11.990167
7,382867,Alfred-Reinhardt-Straße,51.42484,11.989715
8,155424,Alfred-Schneider-Straße,51.47858,12.019005
9,365230,Alfred-Schneider-Straße,51.47854,12.019031
10,378617,Alte Heerstraße,51.429768,11.974906
11,50760,Alte Heerstraße,51.429886,11.974784
12,100145,Altenburger Straße,51.477318,12.041123
13,103376,Altenburger Straße,51.47788,12.03998
14,285341,Am Breiten Pfuhl,51.453228,11.972936
15,95744,Am Breiten Pfuhl,51.45322,11.972906
16,106888,Am Bruchsee,51.481274,11.92062
17,117627,Am Bruchsee,51.481594,11.918913
18,125348,Am Bruchsee,51.481346,11.920308
19,165054,Am Bruchsee,51.481808,11.920078
20,150522,Am Grünen Feld,51.456753,11.977943
21,318872,Am Grünen Feld,51.456825,11.97825
22,429042,Am Grünen Feld,51.456768,11.977944
23,131628,Am Hechtgraben,51.5135,11.909988
24,178324,Am Hechtgraben,51.513504,11.909902
25,288399,Am Hechtgraben,51.513878,11.910459
26,299025,Am Heidebad,51.482147,11.891863
27,323403,Am Heidebad,51.482323,11.891111
28,386752,Am Heiderand,51.49921,11.928192
29,89728,Am Heiderand,51.499046,11.927994
30,265493,Am Heidesee,51.489758,11.903837
31,341865,Am Heidesee,51.489723,11.903749
32,115884,Am Klausberg,51.50875,11.961784
33,52222,Am Klausberg,51.50872,11.96184
34,130059,Am Leipziger Turm,51.478462,11.976997
35,245359,Am Leipziger Turm,51.477757,11.977843
36,290550,Am Leipziger Turm,51.478535,11.977016
37,345608,Am Leipziger Turm,51.478443,11.976967
38,115517,Am Sommerbad,51.43494,11.984291
39,252825,Am Sommerbad,51.434986,11.984164
40,434302,Am Sommerbad,51.434086,11.983961
41,9634,Am Sommerbad,51.43407,11.984119
42,190870,Am Stadion,51.48129,11.911405
43,30721,Am Stadion,51.481213,11.911616
44,319820,Am Steintor,51.488018,11.977432
45,36640,Am Steintor,51.488327,11.978662
46,395652,Am Steintor,51.4876,11.977564
47,445980,Am Steintor,51.487984,11.977286
48,451997,Am Steintor,51.48886,11.978553
49,57452,Am Steintor,51.48833,11.978576
50,71626,Am Steintor,51.488422,11.978467
51,96765,Am Steintor,51.488094,11.977495
52,119244,Am Waldrand,51.51111,11.897026
53,88680,Am Waldrand,51.51104,11.897267
54,183153,Am Wasserturm,51.493225,11.981848
55,410263,Am Wasserturm,51.493217,11.98179
56,116267,Ammendorf,51.42489,11.986756
57,316086,Ammendorf,51.424496,11.98663
58,348517,Ammendorf,51.42455,11.986619
59,364820,Ammendorf,51.424686,11.986613
60,313798,Ammendorfer Weg,51.462715,11.95546
61,149891,An der Eselsmühle,51.47893,11.904603
62,297012,An der Eselsmühle,51.47905,11.904078
63,407889,An der Eselsmühle,51.479023,11.904091
64,451122,An der Eselsmühle,51.479168,11.905137
65,128534,An der Feuerwache,51.480885,11.936204
66,211766,An der Feuerwache,51.480972,11.934107
67,301280,An der Feuerwache,51.480843,11.934257
68,362182,An der Feuerwache,51.480385,11.935034
69,416772,An der Feuerwache,51.48081,11.934269
70,285088,Anhalter Platz,51.437542,11.966061
71,380035,Anhalter Platz,51.437447,11.965997
72,382261,Ankerstraße,51.482494,11.963753
73,63315,Ankerstraße,51.482216,11.963274
74,197515,Apoldaer Str./Birkhahnweg,51.494766,12.007371
75,243636,Apoldaer Str./Birkhahnweg,51.494736,12.007585
76,166887,Apoldaer Straße,51.490208,12.005659
77,429741,Apoldaer Straße,51.49021,12.005588
78,308561,Auenblick,51.473034,12.030256
79,75523,Auenblick,51.473145,12.030134
80,115299,BB1 (Hof),51.485023,11.996016
81,25245,BB1 (Hof),51.487846,11.997554
82,176362,BB3 (Hof),51.44237,11.987681
83,211875,BB3 (Hof),51.44254,11.987736
84,207582,BG Klinikum Bergmannstrost,51.460297,11.983787
85,295868,BG Klinikum Bergmannstrost,51.459694,11.983834
86,119302,Beesen,51.432415,11.966506
87,211119,Beesen,51.432804,11.967135
88,352910,Beesen,51.43276,11.967175
89,55831,Beesen,51.43283,11.967122
90,281856,Begonienstraße,51.48535,11.938464
91,74566,Begonienstraße,51.484783,11.938456
92,139923,Berliner Brücke,51.488106,11.994331
93,184509,Berliner Brücke,51.48819,11.994236
94,255914,Berliner Brücke,51.489807,11.995753
95,355309,Berliner Brücke,51.48947,11.995486
96,304554,Bertha-von-Suttner-Platz,51.491188,11.927951
97,394861,Bertha-von-Suttner-Platz,51.491436,11.927391
98,207038,Bertolt-Brecht-Weg,51.438538,11.952344
99,281192,Bertolt-Brecht-Weg,51.43854,11.952431
100,152982,Betriebshof Freiimfelder Str.,51.484432,11.994609
101,226256,Betriebshof Freiimfelder Str.,51.485023,11.994734
102,261376,Betriebshof Freiimfelder Str.,51.484795,11.995151
103,379751,Betriebshof Freiimfelder Str.,51.484795,11.994488
104,221881,Betriebshof Rosengarten,51.438934,11.983415
105,378125,Betriebshof Rosengarten,51.439945,11.984085
106,387370,Betriebshof Rosengarten,51.438084,11.984078
107,405196,Betriebshof Rosengarten,51.43899,11.98513
108,59891,Betriebshof Rosengarten,51.43743,11.983949
109,400416,Bhf. Kossmann Ausfahrt,51.49234,11.999347
110,143335,Bhf. Kossmann Einfahrt,51.492355,11.999406
111,189823,Bhf. OBS Ausfahrt,51.4699,11.901107
112,240879,Bhf. OBS Einfahrt,51.469948,11.90098
113,109520,Binnenhafenstraße,51.524654,11.942149
114,359290,Binnenhafenstraße,51.524952,11.942845
115,89122,Binnenhafenstraße,51.524364,11.942966
116,95962,Bitterfelder Straße,51.478615,12.0254
117,9677,Bitterfelder Straße,51.478603,12.025428
118,259615,Blumenau,51.51587,11.909793
119,299004,Blumenau,51.515285,11.909742
120,211183,Blücherstraße,51.48947,11.942243
121,73740,Blücherstraße,51.489574,11.942437
122,171000,Braunschweiger Bogen,51.480015,11.898653
123,269868,Braunschweiger Bogen,51.48006,11.898556
124,424818,Braunschweiger Bogen,51.4801,11.8985
125,125366,Bremer Straße,51.443817,11.945089
126,168987,Bremer Straße,51.444695,11.944469
127,290760,Bremer Straße,51.444714,11.944556
128,365488,Bremer Straße,51.443794,11.945245
129,135982,Bruckdorf,51.44644,12.027228
130,15178,Bruckdorf,51.446404,12.027312
131,271512,Brühlstraße,51.433372,11.963892
132,61804,Brühlstraße,51.433704,11.963842
133,105657,Burg Giebichenstein,51.501667,11.954971
134,380161,Burg Giebichenstein,51.50217,11.954557
135,92828,Burg Giebichenstein,51.502403,11.955667
136,208262,Busabstellfl. Ausfahrt,51.484856,11.999086
137,118002,Busabstellfl. Einfahrt,51.48494,12.000071
138,396080,Böllberg,51.4669,11.955961
