node_id,stop_id,stop_name,stop_lat,stop_lon
0,160221,AIRBUS,53.536648,9.847925
1,363182,AIRBUS,53.536556,9.848024
2,163118,AIRBUS (Fähranleger/Haus 25),53.54321,9.841089
3,366514,AIRBUS (Fähranleger/Haus 25),53.54314,9.840873
4,238580,AIRBUS (Kehre),53.53694,9.847206
5,53682,AIRBUS (Kehre),53.536842,9.847215
6,244785,AIRBUS (Osttor/Einfahrt),53.537598,9.847117
7,28721,AIRBUS (Osttor/Einfahrt),53.53761,9.846649
8,83412,AIRBUS (Schiffsanleger),53.54472,9.841089
9,126367,AIRBUS (Werkgelände),53.54108,9.840155
10,135367,AIRBUS (Werkgelände),53.54131,9.83949
11,205378,AIRBUS (Werkgelände),53.541267,9.840622
12,207215,AIRBUS (Werkgelände),53.541256,9.839148
13,207262,AIRBUS (Werkgelände),53.541016,9.840676
14,256287,AIRBUS (Werkgelände),53.541176,9.839535
15,291069,AIRBUS (Werkgelände),53.541313,9.840397
16,304179,AIRBUS (Werkgelände),53.541405,9.838286
17,313114,AIRBUS (Werkgelände),53.541252,9.839023
18,314181,AIRBUS (Werkgelände),53.54115,9.839598
19,340120,AIRBUS (Werkgelände),53.54123,9.839193
20,34302,AIRBUS (Werkgelände),53.54166,9.836561
21,367636,AIRBUS (Werkgelände),53.541412,9.83799
22,395077,AIRBUS (Werkgelände),53.541252,9.838969
23,398275,AIRBUS (Werkgelände),53.541164,9.83975
24,409074,AIRBUS (Werkgelände),53.541313,9.840101
25,420231,AIRBUS (Werkgelände),53.541218,9.839328
26,421685,AIRBUS (Werkgelände),53.54131,9.839643
27,144713,AK Altona (Eingang),53.55515,9.898617
28,216592,AK Altona (Eingang),53.55507,9.898312
29,148556,AK Barmbek,53.60492,10.040057
30,180710,AK Barmbek,53.6054,10.039688
31,154589,AK Harburg,53.459305,9.951456
32,193484,AK Harburg,53.45921,9.95133
33,453165,AK Harburg,53.459267,9.95133
34,139338,AK St.Georg,53.56008,10.014509
35,235657,AK St.Georg,53.560047,10.01476
36,457228,AK Wandsbek,53.568733,10.090865
37,95715,AK Wandsbek,53.568653,10.091629
38,273657,Achter de Höf,53.579456,9.761471
39,147320,Achterdeich,53.408375,10.246418
40,274690,Achterdeich,53.408424,10.246445
41,445658,Achterdeich,53.408787,10.245843
42,159423,Achterdiekbrücke,53.427063,10.203424
43,306833,Achterdiekbrücke,53.427147,10.20329
44,105934,Achterkamp,53.43813,10.007834
45,157507,Achtern Born (Kindermuseum),53.588196,9.852111
46,340272,Achtern Born (Kindermuseum),53.587585,9.851707
47,216005,Achtern Brack (Ost),53.508003,9.849255
48,35048,Achtern Brack (Ost),53.508125,9.849596
49,105438,Achtern Brack (West),53.50698,9.844062
50,75115,Achtern Brack (West),53.507263,9.843173
51,106410,Achtern Sand,53.58432,9.770688
52,174560,Achtern Styg,53.582016,9.866727
53,67644,Achtern Styg,53.581814,9.866646
54,151503,Achterschlag,53.467396,10.237255
55,191125,Achterschlag,53.467648,10.237336
56,258904,Achterschlag,53.468487,10.236967
57,310893,Adebarweg,53.58357,9.74584
58,129163,Adolf-Köster-Damm,53.48543,10.147208
59,285,Adolf-Köster-Damm,53.4854,10.147145
60,205498,Afrikastraße,53.527706,9.988862
61,60416,Afrikastraße,53.52739,9.990604
62,199045,Agathe-Lasch-Weg,53.552483,9.893479
63,418284,Agathe-Lasch-Weg,53.552677,9.893937
64,181098,Ahrensburger Platz,53.655823,10.1759
65,294390,Alaskaweg,53.6282,10.150972
66,40022,Alaskaweg,53.628418,10.150145
67,258475,Albert-Schweitzer-Ring,53.579422,10.123106
68,237510,Albertstraße,53.54882,10.018973
69,63099,Albertstraße,53.54898,10.019054
70,223285,Alfred-Mahlau-Weg,53.60943,10.054124
71,416374,Alfred-Mahlau-Weg,53.60994,10.053666
72,93213,Alfred-Mahlau-Weg,53.609707,10.055103
73,332671,Alfredstraße,53.557293,10.031343
74,87885,Alfredstraße,53.55745,10.03314
75,172711,Algermissenstraße,53.497482,10.012101
76,284368,Algermissenstraße,53.49688,10.011212
77,260228,Allermöher Deich 187,53.476097,10.140587
78,407583,Allermöher Deich 187,53.476097,10.140587
79,349777,Allermöher Deich 75,53.48287,10.124561
80,354341,Allermöher Deich 75,53.48292,10.124615
81,264252,Allermöher Kirche,53.482082,10.1297
82,282543,Allermöher Kirche,53.482143,10.128532
83,265129,Allermöher Werftstegel,53.471928,10.171983
84,351185,Allermöher Werftstegel,53.471424,10.17281
85,356208,Alsenplatz,53.56589,9.951429
86,435666,Alsenplatz,53.56661,9.951519
87,135253,Alsterblick,53.69918,10.124184
88,52938,Alsterblick,53.69929,10.123672
89,216531,Alsterchaussee,53.572563,9.993883
90,228715,Alsterchaussee,53.57232,9.994225
91,292482,Alsterchaussee,53.573013,9.993892
92,400182,Alsterchaussee,53.572777,9.993102
93,155586,Alsterdorfer Damm,53.613483,9.999192
94,436224,Alsterdorfer Damm,53.613426,9.999435
95,103804,Alsterdorfer Straße/Überseekolleg,53.616837,10.02572
96,376750,Alsterdorfer Straße/Überseekolleg,53.617214,10.026681
97,279748,Alsterkrugchaussee (Mitte),53.617912,10.005355
98,9876,Alsterkrugchaussee (Mitte),53.61789,10.005256
99,34619,Alsterkrugchaussee 244,53.61038,9.995734
100,47470,Alsterkrugchaussee 244,53.609882,9.994602
101,126196,Alsterredder,53.659077,10.096255
102,34191,Alsterredder,53.65887,10.09542
103,128934,Alstertal-Einkaufszentrum,53.654137,10.092312
104,174660,Alstertal-Einkaufszentrum,53.65441,10.092653
105,244143,Alstertal-Einkaufszentrum,53.654125,10.092312
106,288643,Alstertal-Einkaufszentrum,53.654785,10.092878
107,441914,Alstertal-Einkaufszentrum,53.656265,10.094423
108,91568,Alte Holstenstraße,53.490536,10.208176
109,106873,Alte Horster Schule,53.45525,10.28359
110,191062,Alte Horster Schule,53.45545,10.283141
111,146076,Alte Landstraße (Nord),53.65309,10.076636
112,312799,Alte Landstraße (Nord),53.653255,10.077966
113,392429,Alte Landstraße (Nord),53.65375,10.077148
114,140315,Alte Schule Moorburg,53.494793,9.927812
115,353348,Alte Schule Moorburg,53.494926,9.928019
116,189873,Alte Schule Neuland,53.470463,10.027094
117,334488,Alte Schule Neuland,53.470497,10.027624
118,124074,Alte Schule Reitbrook,53.468094,10.148897
119,294705,Alte Schule Reitbrook,53.468178,10.148959
