layer_id,layer_name
0,City Moda - Centro
1,Tempi Nuovi - Centro
2,167B - Centro - Ospedale
3,167A - Centro - Ospedale
4,Villa Convento - Centro
5,P. Napoli - Ekotecne - Centro
6,Borgo Pace - Centro
7,Stazione FF.SS - Viale Leopardi - Porta Napoli
8,Stazione FF.SS. - Porta Napoli - Viale Leopardi
9,Lecce - S. Cataldo
10,Stazione FF.SS. - S.Rosa - 167
11,Stazione FF.SS. - 167 - S.Rosa
12,Lecce - Frigole -T. Chianca - T. Rinalda
13,Stazione-Giorgilorio-Casa circondariale-Centro
14,Porta Napoli - Ecotekne
15,Borgo Pace - Centro - City Moda
16,Tempi Nuovi - Centro - Salesiani
17,Centro - V. Monteroni - Villa Convento
18,San Cataldo - Frigole - Centro
19,167 - Centro - Ospedale
20,Centro - Santa Rosa - Salesiani
21,CENTRO-CASA CIRCONDARIALE
22,P.Napoli - Ecotekne - City Terminal
23,P.Napoli - Centro - Ferrovia
24,Villa Convento-Lecce-Ist. Tec. Agrario
25,Frigole-Lecce (scuole)-Frigole
