layer_id,layer_name
0,023
1,065
2,1
3,10
4,105
5,106
6,107
7,108
8,11
9,12
10,120
11,130
12,131
13,131
14,14
15,141
16,143
17,15
18,16
19,161
20,162
21,172
22,175
23,176
24,19
25,192
26,2
27,3
28,35
29,399
30,4
31,412
32,60
33,61
34,62
35,63
36,65
37,66
38,67
39,690
40,691
41,7
42,70
43,72
44,73
45,74
46,75
47,76
48,77
49,79
50,8
51,80
52,81
53,82
54,83
55,85
56,86
57,87
58,88
59,89
60,9
61,90
62,91
63,E
64,N1
65,N17
66,N2
67,N3
68,N4
69,N5
70,N6
71,N7
72,N8
73,N9
74,PP1
75,SEV15
76,SEV22
77,SEV4
78,SEV7
79,SEV8
