node_id,stop_id,stop_name,stop_lat,stop_lon
0,248584,Achatweg,53.867607,10.740632
1,379711,Achatweg,53.868225,10.74011
2,404985,Adlerstraße,53.869995,10.669927
3,448569,Adlerstraße,53.87092,10.668793
4,334372,Adolfstraße,53.880085,10.697303
5,388054,Adolfstraße,53.88034,10.698227
6,195169,Alexander-Fleming-Str.,53.831577,10.691497
7,349462,Alexander-Fleming-Str.,53.831543,10.691571
8,265864,Am Behnckenhof,53.897984,10.681926
9,419067,Am Behnckenhof,53.897606,10.682641
10,36463,Am Bertramshof,53.86407,10.716502
11,438065,Am Bertramshof,53.86392,10.714579
12,162371,Am Dreworp,53.89058,10.677824
13,218563,Am Dreworp,53.890587,10.678007
14,397077,Am Dreworp,53.890186,10.678767
15,417690,Am Dreworp,53.890133,10.678826
16,196929,Am Grenzwall,53.878407,10.649374
17,58117,Am Grenzwall,53.878223,10.64885
18,114906,Am Lotsenberg,53.9595,10.874757
19,142116,Am Mailand,53.876373,10.640365
20,410208,Am Mailand,53.87627,10.63998
21,40771,Am Rittbrook,53.87338,10.725584
22,419646,Am Rittbrook,53.873386,10.726284
23,267527,Am Schwarzen Berg,53.888313,10.674051
24,46966,Am Schwarzen Berg,53.88856,10.674213
25,138102,Am Stau,53.898983,10.763261
26,452143,Am Stau,53.89869,10.763507
27,265457,Am Teufelsmoor,53.840183,10.744616
28,180607,Amselweg,53.849075,10.705915
29,6123,Amselweg,53.84921,10.706012
30,13039,An den Schießständen,53.861893,10.747892
31,373031,An den Schießständen,53.861786,10.747842
32,254672,An der Falkenwiese,53.86907,10.698956
33,370227,An der Falkenwiese,53.869156,10.699066
34,311915,An der Hansehalle,53.87971,10.671273
35,377727,An der Hansehalle,53.879837,10.671263
36,2616,An der Hülshorst,53.894447,10.70685
37,307797,An der Hülshorst,53.894802,10.706697
38,15225,An der Hülshorst Mitte,53.895195,10.712481
39,357950,An der Hülshorst Mitte,53.895195,10.712481
40,326014,An der Stadtfreiheit,53.870327,10.66559
41,275579,Andersenring,53.842243,10.624939
42,37703,Andersenring,53.841915,10.625185
43,189668,Artlenburger Straße,53.87356,10.658539
44,421121,Artlenburger Straße,53.873234,10.659499
45,166753,Aschenputtelweg,53.844563,10.62889
46,352307,Aschenputtelweg,53.844677,10.628469
47,293114,Auf der Heide,53.853264,10.635629
48,180310,Auf der Reihe,53.877247,10.645571
49,294210,Auf der Reihe,53.87731,10.645817
50,105867,August-Bebel-Straße,53.844154,10.641643
51,187690,August-Bebel-Straße,53.8443,10.641618
52,213823,Aussenallee,53.9634,10.879232
53,391174,Aussenallee,53.961693,10.877569
54,114221,Bahnhof Kücknitz,53.925034,10.819798
55,255021,Bahnhof Kücknitz,53.925053,10.819753
56,227932,Bartelsholz,53.820576,10.57342
57,347675,Bartelsholz,53.8202,10.571051
58,224233,Bauernweg,53.870785,10.622228
59,270393,Bauernweg,53.870804,10.622198
60,410553,Bauernweg,53.870693,10.622346
61,297802,Beckergrube,53.86925,10.679966
62,96784,Beckergrube,53.869244,10.680057
63,120460,Beethovenstraße,53.871166,10.651478
64,93090,Beethovenstraße,53.87105,10.650849
65,26677,Bei der Gasanstalt,53.84911,10.678734
66,312740,Bei der Gasanstalt,53.84887,10.678496
67,458075,Bei der Gasanstalt,53.849083,10.677927
68,107428,Beidendorf,53.787926,10.677519
69,288081,Beidendorf,53.78769,10.677525
70,250875,Beim Meilenstein,53.88804,10.79013
71,429564,Beim Meilenstein,53.888077,10.789538
72,310545,Berliner Allee,53.84595,10.684034
73,335074,Berliner Allee,53.8463,10.6842
74,384133,Berliner Platz,53.851704,10.68349
75,391766,Berliner Platz,53.85164,10.683548
76,389256,Bessemer Straße,53.834927,10.696388
77,95552,Bessemer Straße,53.83497,10.696557
78,102468,Blanckstraße,53.86377,10.697266
79,89427,Blanckstraße,53.863537,10.697242
80,412793,Blankenseer Dorfplatz,53.79623,10.714428
81,449145,Blankenseer Dorfplatz,53.79626,10.714338
82,266705,Bogenstraße,53.89435,10.684565
83,407640,Bogenstraße,53.895287,10.68442
84,298726,Bornhövedstraße,53.884583,10.659066
85,405380,Bornhövedstraße,53.884933,10.659111
86,132500,Bornkamp,53.825424,10.683545
87,293824,Bornkamp,53.825424,10.683545
88,128842,Brandenbaumer Tannen,53.849045,10.743525
89,177166,Brandenbaumer Tannen,53.849,10.74363
90,101558,Breite Straße,53.87065,10.688069
91,376758,Breite Straße,53.870613,10.688219
92,112199,Brinkweg,53.88613,10.7916
93,37007,Brinkweg,53.885815,10.790537
94,372401,Brodten,53.987682,10.862066
95,93689,Brodten,53.98739,10.861824
96,232586,Brodtener Kirchsteig,53.962917,10.86305
97,37091,Brodtener Kirchsteig,53.962753,10.862159
98,134080,Bruchweg,53.844006,10.634843
99,143118,Bruchweg,53.844395,10.63469
100,448543,Brunshorster Weg,53.844196,10.745741
101,323690,Buchenstücken,53.82882,10.604317
102,83534,Buchenstücken,53.828224,10.603792
103,122705,Buchenweg,53.897232,10.737845
104,367572,Buchenweg,53.897568,10.738057
105,384616,Bunsenweg,53.89234,10.710964
106,442134,Bunsenweg,53.893196,10.71071
107,301551,Buntekuh,53.856056,10.639676
108,47309,Buntekuh,53.85579,10.640715
109,66260,Buntekuh,53.85592,10.640705
110,6709,Buntekuh,53.856045,10.63998
111,161336,Burckhardt-Gymnasium,53.86684,10.656874
112,24698,Burckhardt-Gymnasium,53.866146,10.655827
113,15752,Burgtorfriedhof,53.882744,10.703862
114,23327,Burgtorfriedhof,53.883087,10.704241
115,152190,Butenhof,53.81655,10.639637
116,22738,Butenhof,53.81707,10.640311
117,10366,Buurdiekstraße,53.912407,10.820832
118,120186,Buurdiekstraße,53.91242,10.820574
119,173312,Campingplatz,53.953655,10.889111
120,400421,Campingplatz,53.95365,10.889309
121,266272,Carl-Gauß-Straße,53.838078,10.687214
122,401923,Carl-Gauß-Straße,53.838238,10.687099
123,266758,Citti-Park Herrenholz,53.858036,10.626372
124,329390,Citti-Park Herrenholz,53.85927,10.627089
125,334229,Clara-Schumann-Straße,53.872288,10.654533
126,38521,Clara-Schumann-Straße,53.872517,10.655486
127,20099,Dieselstraße,53.85475,10.735795
128,449695,Dieselstraße,53.855347,10.735485
129,219590,Distelkrog,53.97232,10.868304
130,339745,Distelkrog,53.97244,10.868263
131,145006,Dorfstraße,53.84595,10.692365
132,16167,Dornestraße,53.863594,10.673869
133,145883,Dorothea-Erxleben-Str.,53.831764,10.695653
134,275768,Dorothea-Erxleben-Str.,53.83159,10.695874
135,142263,Drechslerstraße,53.861065,10.609656
136,261144,Drechslerstraße,53.860996,10.609608
137,193641,Dreeblöcken,53.97449,10.874256
138,233334,Dreeblöcken,53.974483,10.874225
139,227792,Dreifelderweg,53.859253,10.730948
140,254785,Dreifelderweg,53.858826,10.731889
141,283095,Drägerpark,53.87179,10.710977
142,306675,Drägerpark,53.870712,10.711587
143,282418,Drägerwerk,53.85775,10.670184
144,377416,Drägerwerk,53.85782,10.6704
145,106173,Drögeneck,53.87938,10.619366
146,113118,Drögeneck,53.879246,10.618706
147,299589,Drögestraße,53.87624,10.67801
148,310923,Drögestraße,53.875572,10.677421
149,103613,Dummersdorfer Scheide,53.912766,10.811895
150,226497,Dummersdorfer Scheide,53.912815,10.811745
151,319964,Dummersdorfer Straße,53.912537,10.816986
152,412157,Dummersdorfer Straße,53.91258,10.816698
153,227169,Dänemarkstraße,53.96597,10.865656
154,11562,Ehrenfriedhof,53.88434,10.707959
155,155166,Ehrenfriedhof,53.88523,10.708285
156,439320,Ehrenfriedhof,53.884644,10.707926
157,115996,Eichenweg,53.900726,10.742968
158,162959,Eichenweg,53.900803,10.743214
159,151324,Eichholz,53.84693,10.747953
160,390734,Eichholz,53.846703,10.748399
161,44314,Eichholz Teich,53.84913,10.742723
162,68953,Eichholz Teich,53.849506,10.741523
163,188264,Einsiedelstraße,53.87961,10.683896
164,258752,Einsiedelstraße,53.87995,10.684427
165,191086,Eisenstraße,53.9049,10.802938
166,203959,Eisenstraße,53.905514,10.803543
167,395037,Eisenstraße,53.90584,10.803253
168,246121,Elbingstraße,53.924297,10.822035
169,60851,Elbingstraße,53.924427,10.821858
170,159293,Eric-Warburg-Brücke,53.883198,10.688681
171,35469,Eric-Warburg-Brücke,53.883423,10.689299
172,215077,Ernst-Deecke-Weg,53.898685,10.747388
173,404399,Ernst-Deecke-Weg,53.898724,10.7471
174,149348,Ernst-Ruska-Straße,53.838707,10.706755
175,382535,Ernst-Ruska-Straße,53.838745,10.70668
176,125611,Eutiner Straße,53.888374,10.66194
177,241100,Eutiner Straße,53.888134,10.661566
178,206241,Fabrikstraße,53.88812,10.785994
179,225710,Fabrikstraße,53.888115,10.785127
180,260034,Fackenburger Allee,53.869526,10.672098
181,276991,Fahlenkampsweg,53.85157,10.702444
182,296732,Fahlenkampsweg,53.85138,10.70239
183,51437,Fahlenkampsweg,53.850613,10.703347
184,328432,Falkendamm,53.871887,10.697854
185,443789,Falkendamm,53.872044,10.697647
186,149160,Fasanenweg,53.838833,10.63651
187,337815,Fasanenweg,53.838726,10.635002
188,225733,Fegefeuer,53.86288,10.686996
189,72916,Fegefeuer,53.86271,10.687065
190,177490,Feldstraße,53.843906,10.680912
191,269129,Feldstraße,53.84434,10.681431
192,411576,Fleischhauerstraße,53.867348,10.687662
193,213555,Flughafen,53.80672,10.702433
194,413572,Flughafen,53.80668,10.702401
195,17172,Forstmeisterweg,53.893906,10.720236
196,210603,Forstmeisterweg,53.893887,10.720478
197,324305,Fregattenstraße,53.86103,10.648569
198,327301,Fregattenstraße,53.86101,10.648736
199,291690,Friedenstraße,53.874165,10.675782
200,81615,Friedenstraße,53.87403,10.675853
201,389535,Friedhof Waldhusen,53.9133,10.800909
202,59326,Friedhof Waldhusen,53.91386,10.80072
203,277604,Friedrichstraße,53.846287,10.685735
204,203656,Försterei,53.873505,10.75586
205,8547,Försterei,53.87334,10.754971
206,19795,G.-Kerschensteiner-Str.,53.883373,10.678889
207,245170,G.-Kerschensteiner-Str.,53.882835,10.678777
208,24651,Genin,53.841766,10.649864
209,59902,Genin,53.84198,10.649568
210,135962,Germanenweg,53.903076,10.750738
211,444287,Germanenweg,53.90254,10.750456
212,184153,Geschwister-Scholl-Weg,53.881924,10.708971
213,375287,Geschwister-Scholl-Weg,53.882217,10.70912
214,106160,Gewerbeg. Gneversd. Weg,53.96282,10.857863
215,20029,Gewerbeg. Gneversd. Weg,53.96283,10.857818
216,167578,Ginsterweg,53.852814,10.640264
217,181436,Ginsterweg,53.853203,10.640051
218,309667,Glashüttenweg,53.892418,10.707391
219,58304,Glashüttenweg,53.892582,10.707306
220,119440,Gleisdreieck,53.86388,10.744112
221,199567,Gleisdreieck,53.863914,10.744174
222,126273,Gneisenaustraße,53.86742,10.713688
223,138088,Gneisenaustraße,53.86697,10.714233
224,227494,Gneversdorf,53.968903,10.856136
225,97946,Gneversdorf,53.968903,10.856136
226,322669,Goebenstraße,53.868008,10.721515
227,34616,Goebenstraße,53.86804,10.721333
228,296213,Grace-Hopper-Straße,53.835068,10.690254
229,58508,Grace-Hopper-Straße,53.83583,10.689601
230,292000,Grapengießerstr. Mitte,53.861168,10.634766
231,395570,Grapengießerstr. Mitte,53.86064,10.635081
232,226446,Grapengießerstraße,53.858776,10.637973
233,370549,Grapengießerstraße,53.85867,10.638045
234,250260,Grenzweg,53.913616,10.738526
235,383294,Grenzweg,53.91345,10.738991
236,220473,Grillenweg,53.827488,10.731933
237,313013,Grillenweg,53.827488,10.731933
238,11301,Grootkoppel 1,53.87034,10.742586
239,164600,Grootkoppel 1,53.869644,10.74277
240,330367,Grootkoppel 2,53.86588,10.743921
241,380305,Grootkoppel 2,53.867104,10.743744
242,247450,Grote Bleeken,53.82078,10.591658
243,56364,Grote Bleeken,53.820564,10.591224
244,361027,"Groß Grönau, Waldschule",53.8129,10.746375
245,348508,"Groß Steinrade, Bauernweg",53.87018,10.622255
246,252775,"Groß Steinrade, Breden",53.87285,10.596976
247,85063,"Groß Steinrade, Drögeneck",53.879276,10.618895
248,230412,"Groß Steinrade, Morier Straße",53.882576,10.627869
249,232962,"Groß Steinrade, Morierhof",53.883034,10.632684
250,445137,"Groß Steinrade, Steinrader Damm",53.87575,10.614996
251,322187,"Groß Steinrade, Steinrader Teich",53.880947,10.62239
252,269942,"Groß Steinrade, Suterland",53.876526,10.612472
253,114268,Groß Steinrade/Teich,53.88096,10.622378
254,82079,Groß Steinrade/Teich,53.880905,10.622407
255,425177,Große Burgstraße,53.873283,10.690761
256,912,Große Burgstraße,53.872578,10.690474
257,145586,Grönauer Baum,53.83434,10.714784
258,211278,Grönauer Baum,53.83453,10.714761
259,378246,Grüner Jäger,53.9414,10.844432
260,405763,Grüner Jäger,53.94161,10.844685
261,231773,Guerickestraße,53.85129,10.738678
262,260018,Guerickestraße,53.85145,10.738334
263,223105,Gustav-Adolf-Straße,53.87817,10.708605
264,238299,Gustav-Adolf-Straße,53.877537,10.708473
265,133717,Gustav-Falke-Straße,53.843487,10.708181
266,425601,Gustav-Falke-Straße,53.84331,10.70793
267,111900,Gustav-Radbruch-Platz,53.876003,10.693457
268,133970,Gustav-Radbruch-Platz,53.876163,10.693509
269,232421,Gustav-Radbruch-Platz,53.876175,10.693388
270,309956,Gustav-Radbruch-Platz,53.87599,10.694338
271,385485,Gustav-Radbruch-Platz,53.875923,10.693347
272,392243,Gustav-Radbruch-Platz,53.87617,10.693722
273,54238,Gustav-Radbruch-Platz,53.875854,10.693162
274,334171,H. d. Kirschkaten Mitte,53.845486,10.67304
275,65160,H. d. Kirschkaten Mitte,53.84551,10.673178
276,325063,Hafenbahnhof,53.958344,10.86466
277,43453,Hagebuttenweg,53.86566,10.748977
278,447313,Hagebuttenweg,53.865303,10.748825
279,128807,Hagelsteinstraße,53.972954,10.880088
280,93485,Hagelsteinstraße,53.972973,10.880165
281,222047,Hagenstraße,53.83185,10.721916
282,389173,Hagenstraße,53.83168,10.722243
283,247160,Hahnenkamp,53.872852,10.616999
284,63019,Hahnenkamp,53.873066,10.616475
285,260668,Hamburger Straße,53.84999,10.636915
286,331985,Hamburger Straße,53.849945,10.63699
287,423960,Hanse Residenz,53.88637,10.706673
288,447061,Hanse Residenz,53.886326,10.706686
289,387842,Hansemuseum,53.87396,10.687928
290,420862,Hansemuseum,53.874317,10.689905
291,181618,Hansering,53.855774,10.668053
292,447333,Hansering,53.855312,10.66697
293,303648,Haselnußweg,53.868584,10.748825
294,308564,Haselnußweg,53.868217,10.748825
295,283116,Heinrichstraße,53.87453,10.711682
296,411983,Heinrichstraße,53.874565,10.712307
297,111150,Heiweg,53.861267,10.741433
298,39029,Heiweg,53.861267,10.741433
299,25802,Hellkamp,53.82441,10.598177
300,428200,Hellkamp,53.824574,10.598609
301,288563,Helmholtzstraße,53.846256,10.687832
302,14996,Herbartweg,53.865158,10.729032
303,246166,Herbartweg,53.865013,10.727353
304,196191,Herrenwyk,53.902866,10.802576
305,236919,Herrenwyk,53.902874,10.802653
306,131269,Herrnburger Weg,53.8463,10.747105
307,245093,Hinter den Kirschkaten,53.843266,10.659211
308,286443,Hinter den Kirschkaten,53.84318,10.658918
309,139511,Hirtenbergweg,53.911816,10.823669
310,376660,Hirtenbergweg,53.91197,10.8236
311,18113,Hochschulstadtteil,53.83019,10.699586
312,42001,Hochschulstadtteil,53.830143,10.69966
313,297236,Hochstraße,53.88692,10.684129
314,367817,Hochstraße,53.887157,10.684534
315,110966,Hofland,53.868874,10.618093
316,124844,Hofland,53.868607,10.617657
317,164058,Holderbusch,53.822094,10.593759
318,237244,Holderbusch,53.822598,10.59437
319,125695,Holstentorplatz,53.866497,10.67835
320,352739,Holstentorplatz,53.866016,10.679259
321,149670,Holzkoppel,53.825676,10.600975
322,189332,Holzkoppel,53.825684,10.60093
323,322632,Howingsbrook,53.969524,10.859
324,441532,Howingsbrook,53.96945,10.858997
325,424735,Hudekamp,53.85192,10.633889
326,45225,Hudekamp,53.85255,10.634355
327,55485,Hudekamp,53.852657,10.633218
328,383430,Hugo-Distler-Straße,53.869762,10.646585
329,75645,Hugo-Distler-Straße,53.869762,10.645764
330,448884,Hutmacherring,53.86514,10.602969
331,87215,Hutmacherring,53.865116,10.602451
332,407522,Hüxtertorallee,53.86133,10.6944
333,437493,Hüxtertorallee,53.86118,10.694074
334,212603,IKEA LUV SHOPPING,53.91408,10.735119
335,355757,IKEA LUV SHOPPING,53.91408,10.735119
336,310657,Ilsebillweg,53.84248,10.633263
337,78060,Ilsebillweg,53.842545,10.63325
338,125201,Im Block,53.832073,10.609714
339,128814,Im Block,53.8325,10.609624
340,24397,Im Gleisdreieck,53.871994,10.74305
341,329812,Im Gleisdreieck,53.872032,10.742763
342,65023,Im Schlag,53.83624,10.614965
343,90962,Im Schlag,53.836098,10.614701
344,415078,Israelsdorf,53.893387,10.737138
345,66990,Israelsdorf,53.893524,10.736839
346,237201,Ivendorfer Landstraße,53.933857,10.836589
347,48202,Ivendorfer Landstraße,53.934017,10.83684
348,260427,Josephinenstraße,53.88352,10.680615
349,32022,Josephinenstraße,53.884556,10.681584
350,108377,Jungborn,53.890266,10.726538
351,135178,Jungborn,53.890297,10.726159
352,221601,Kahlhorststraße,53.85054,10.700167
353,319835,Kahlhorststraße,53.849922,10.698728
354,387082,Kalkbrennerstraße,53.847878,10.698964
355,412281,Kalkbrennerstraße,53.84755,10.698845
356,189583,Kalkhorster Weg,53.842793,10.744694
357,329254,Karavellenstraße,53.85491,10.648526
358,380856,Karavellenstraße,53.854794,10.648613
359,22927,Karlstraße,53.879925,10.678629
360,348225,Karlstraße,53.87912,10.678217
361,368907,Karlstraße,53.880726,10.677992
362,396946,Karlstraße,53.880264,10.67738
363,168664,Kastanienallee,53.844364,10.699597
364,425891,Kastanienallee,53.843903,10.700339
365,50341,Katharineum,53.869144,10.688966
366,258864,Kaufhof,53.86442,10.720242
367,65484,Kaufhof,53.86432,10.719356
368,101264,Kieselgrund,53.905476,10.780173
369,130043,Kieselgrund,53.905476,10.780173
370,165230,Kirchplatz,53.913494,10.805273
371,72843,Kirchplatz,53.913425,10.805666
372,158021,Kirchweg,53.90786,10.77079
373,213151,Kirchweg,53.90805,10.770676
374,381457,Kirschenallee,53.872364,10.746716
375,46811,Kirschenallee,53.872578,10.747501
376,449904,Koberg,53.870853,10.689583
377,96211,Kohlmarkt,53.866222,10.684423
378,332650,Kolberger Platz,53.855618,10.660535
379,94885,Kolberger Platz,53.8555,10.661124
380,344872,Kornweg,53.915184,10.811893
381,76873,Kornweg,53.915028,10.810288
382,180588,Korvettenstraße,53.85407,10.653495
383,265498,Korvettenstraße,53.853996,10.653553
384,198519,Kowitzberg,53.97483,10.877901
385,288509,Kowitzberg,53.97484,10.877901
386,124700,Kreuzwegbrücke,53.897186,10.75008
387,153166,Kreuzwegbrücke,53.89754,10.748649
388,264287,Kreuzwegbrücke,53.897396,10.750043
389,294902,Kreuzwegbrücke,53.89624,10.749584
390,111752,"Kronsforde, Forstamt Stadtwald",53.790054,10.619668
391,122316,"Kronsforde, Forstamt Stadtwald",53.790054,10.619641
392,12222,"Kronsforde, Kirche",53.802624,10.622569
393,371581,"Kronsforde, Kirche",53.802624,10.622569
394,132258,"Kronsforde, Kronsforder Koppel",53.804413,10.623827
395,413798,"Kronsforde, Kronsforder Koppel",53.804424,10.623836
396,381147,Krummesse/Moorweg,53.78391,10.64096
397,113120,Krummesser Baum,53.807495,10.635958
398,171824,Krummesser Baum,53.80595,10.635806
399,150775,Kruppstraße,53.842678,10.667259
400,242456,Kruppstraße,53.842457,10.667007
401,111160,Krähenstraße,53.864613,10.69105
402,126624,Krähenstraße,53.864483,10.691227
403,158435,Krämerwende,53.867092,10.607241
404,353050,Krämerwende,53.866817,10.606364
405,74987,Kurgartenstraße,53.958103,10.870198
406,111439,Kurzer Weg,53.880424,10.658917
407,123087,Kurzer Weg,53.880516,10.658631
408,403135,Königsberg,53.888645,10.777845
409,423612,Königsberg,53.888676,10.778105
410,168819,Königstraße,53.86516,10.68654
411,159184,Kücknitzer Scheide,53.91169,10.791522
412,213756,Kücknitzer Scheide,53.91169,10.791522
413,64290,Kücknitzer Scheide,53.911316,10.791171
414,169981,Labradorweg,53.96709,10.860599
415,406396,Labradorweg,53.966972,10.860609
416,160322,Lachswehrallee,53.860245,10.672473
417,164268,Lachswehrallee,53.861164,10.672784
418,47020,Langenreem,53.91225,10.748457
419,94969,Langenreem,53.912228,10.748837
420,130191,Langer Bogen,53.958466,10.845749
421,232571,Lauerhofstraße,53.8744,10.717031
422,390617,Lauerhofstraße,53.874332,10.717546
423,110121,Leegerwall,53.96986,10.874491
424,298208,Leegerwall,53.969135,10.875266
425,452320,Lehmannkai,53.909103,10.767448
426,57357,Lehmannkai,53.90918,10.767344
427,134293,Leinweberstraße,53.862408,10.632017
428,290850,Leinweberstraße,53.862404,10.631758
429,41231,Lembkestraße,53.971275,10.87986
430,445963,Lembkestraße,53.971134,10.879778
431,421126,Lenardweg,53.896976,10.706085
432,360516,Libellenweg,53.83033,10.725561
433,392444,Libellenweg,53.830803,10.724517
434,363122,LindenArcaden,53.867615,10.673102
435,98738,LindenArcaden,53.867218,10.671839
436,324765,Lohgerberstraße,53.86152,10.629351
437,90050,Lohgerberstraße,53.861557,10.629231
438,115716,Lohmühlenplatz,53.8778,10.668473
439,286237,Lohmühlenplatz,53.877773,10.668503
440,161748,Luisenstraße,53.88748,10.707418
441,250892,Luisenstraße,53.88784,10.708209
442,66552,Lutherkirche,53.85362,10.662798
443,78723,Lutherkirche,53.85354,10.662749
444,407756,Lübeck Breite Str./Theater,53.869633,10.686147
445,276596,Lübeck G.-Radbruch-Platz,53.875874,10.692816
446,319271,Lübeck Kirschenallee,53.872475,10.746885
447,64613,Lübeck Untertrave,53.86667,10.680905
448,93263,Lübeck ZOB,53.866188,10.670958
449,359347,Lübeck central train station,53.86618,10.669183
450,30132,"Lübeck, Adlerstraße",53.87095,10.668626
451,61062,"Lübeck, Adlerstraße, Mast 1l",53.86997,10.670048
452,317291,"Lübeck, Adlerstraße, Mast 6r",53.870735,10.668953
453,302481,"Lübeck, Buntekuh",53.856075,10.639925
454,74219,"Lübeck, Burckhardt-Gymnasium",53.86687,10.656804
455,4460,"Lübeck, Drägerwerke",53.857784,10.670396
456,198237,"Lübeck, Fackenburger Allee, Mast 1r",53.869347,10.671924
457,277338,"Lübeck, Fackenburger Allee, Mast 6l",53.869846,10.672187
458,183648,"Lübeck, Fahlenkampsweg",53.851376,10.702385
459,209957,"Lübeck, Fegefeuer",53.86269,10.687158
460,160122,"Lübeck, Friedenstraße, Mast 1r",53.87405,10.675823
461,315687,"Lübeck, Friedenstraße, Mast 6l",53.874153,10.675934
462,235339,"Lübeck, Hohenstiege",53.850376,10.628381
463,103353,"Lübeck, Josephinenstraße, Mast 1r",53.88359,10.680602
464,62738,"Lübeck, Josephinenstraße, Mast 6l",53.88459,10.681753
465,447543,"Lübeck, Karavellenstraße",53.854828,10.648665
466,150915,"Lübeck, Kohlmarkt",53.86622,10.68431
467,392733,"Lübeck, Kurzer Weg",53.880074,10.659149
468,423846,"Lübeck, Königstraße",53.8651,10.686511
469,67624,"Lübeck, Lutherkirche",53.853535,10.662751
470,161351,"Lübeck, Malmöstraße",53.836903,10.66903
471,8917,"Lübeck, Moislinger Baum",53.849968,10.641623
472,83114,"Lübeck, Oderstraße, Mast 1r",53.891716,10.687213
473,144254,"Lübeck, Oderstraße, Mast 6l",53.891277,10.686952
474,291191,"Lübeck, Reinsbeker Straße",53.88534,10.653292
475,800,"Lübeck, Reinsbeker Straße, Mast 1l",53.885338,10.653269
476,92660,"Lübeck, Reinsbeker Straße, Mast 6r",53.885468,10.653091
477,453125,"Lübeck, Sana Kliniken",53.84885,10.686089
478,197660,"Lübeck, Sandstraße",53.864468,10.685469
479,67570,"Lübeck, St. Hubertus",53.82458,10.721384
480,117113,"Lübeck, Stresemannstraße",53.857964,10.692791
481,425707,"Lübeck, Tremser Teich, Mast 1r",53.898922,10.69
