node_id,stop_id,stop_name,stop_lat,stop_lon
0,340494,"B'heim, Colonel-Kleinmann-Weg",49.992123,8.242923
1,305425,"B'heim, Hanns-Dieter-Hüsch-Weg",49.991264,8.23889
2,160439,"B'heim, Johannes-v.-Müller-Weg",49.993076,8.245483
3,218651,"Bretzenheim (Mz),H.v.-B.-Str.",49.9842,8.234165
4,433342,"Bretzenheim (Mz),H.v.-B.-Str.",49.984154,8.234165
5,110490,"Bretzenheim(Mz),H.-Böckler-S.",49.976055,8.239312
6,263366,"Bretzenheim(Mz),H.-Böckler-S.",49.976055,8.239204
7,330286,"Bretzenheim(Mz),H.-Böckler-S.",49.976063,8.239366
8,324175,"Bretzenheim, A.-Mumbächer-Str.",49.97987,8.25806
9,236789,"Bretzenheim, Albert-Stohr-Str.",49.97765,8.24949
10,282965,"Bretzenheim, Albert-Stohr-Str.",49.977512,8.249616
11,389406,"Bretzenheim, Albert-Stohr-Str.",49.97628,8.249346
12,76842,"Bretzenheim, Albert-Stohr-Str.",49.976562,8.249723
13,247320,"Bretzenheim, Alte Ziegelei",49.97628,8.253317
14,153034,"Bretzenheim, Backhaushohl",49.98878,8.244019
15,277943,"Bretzenheim, Backhaushohl",49.989212,8.244289
16,141599,"Bretzenheim, Bahnstraße",49.981983,8.245672
17,52681,"Bretzenheim, Draiser Straße",49.98524,8.241396
18,86444,"Bretzenheim, Draiser Weg",49.983753,8.231937
19,125400,"Bretzenheim, Duesbergweg",49.988937,8.232494
20,236730,"Bretzenheim, Gutenb-Center-Ost",49.96835,8.2297
21,248178,"Bretzenheim, Gutenb.-Center N.",49.97015,8.227939
22,283497,"Bretzenheim, Gutenb.-Center N.",49.97107,8.229448
23,321445,"Bretzenheim, Gutenb.-Center S.",49.966892,8.233796
24,185690,"Bretzenheim, Gutenberg-Center",49.96871,8.227337
25,338922,"Bretzenheim, Hahn-Meitner-Weg",49.990685,8.231002
26,36298,"Bretzenheim, Hinkelsteinerstr.",49.973957,8.246355
27,206515,"Bretzenheim, Hochschule Mainz",49.987476,8.228613
