layer_id,layer_name
0,606
1,625
2,626
3,710
4,711
5,98
6,99
7,9902
8,RNV 1
9,RNV 1003
10,RNV 15
11,RNV 2
12,RNV 2
13,RNV 3
14,RNV 3
15,RNV 4
16,RNV 40
17,RNV 42
18,RNV 43
19,RNV 43/46
20,RNV 44
21,RNV 45
22,RNV 46
23,RNV 47
24,RNV 48
25,RNV 4A
26,RNV 5
27,RNV 5
28,RNV 50
29,RNV 51
30,RNV 52
31,RNV 53
32,RNV 54
33,RNV 55
34,RNV 56
35,RNV 57
36,RNV 57E
37,RNV 58
38,RNV 59
39,RNV 5A
40,RNV 6
41,RNV 6
42,RNV 60
43,RNV 61
44,RNV 62
45,RNV 63
46,RNV 64
47,RNV 65
48,RNV 66
49,RNV 67
50,RNV 6A
51,RNV 6E
52,RNV 7
53,RNV 7
54,RNV 8
55,RNV 83
56,RNV 9
57,RNV 9
