node_id,stop_id,stop_name,stop_lat,stop_lon
0,173743,"Blumenau, Blumenau",49.561592,8.478866
1,342376,"Blumenau, Brockenweg",49.557137,8.479845
2,191613,"Blumenau, Eugen-Neter-Schule",49.56597,8.493158
3,295816,"Feudenheim, A.-Damaschke-Ring",49.49342,8.520997
4,390439,"Feudenheim, A.-Damaschke-Ring",49.49363,8.520988
5,408301,"Feudenheim, A.-Damaschke-Ring",49.49324,8.521194
6,409572,"Feudenheim, A.-Damaschke-Ring",49.493202,8.520952
7,339666,"Feudenheim, Am Aubuckel",49.488625,8.518158
8,433087,"Feudenheim, Am Aubuckel",49.488514,8.519326
9,423210,"Feudenheim, Andreas-Hofer-Str.",49.490486,8.525488
10,172022,"Feudenheim, Blücherstraße",49.487335,8.527563
11,45796,"Feudenheim, Blücherstraße",49.48728,8.527644
12,138001,"Feudenheim, Endstelle",49.484108,8.537984
13,173051,"Feudenheim, Endstelle",49.484108,8.538262
14,251258,"Feudenheim, Endstelle",49.48411,8.537705
15,277403,"Feudenheim, Endstelle",49.483967,8.53766
16,163257,"Feudenheim, Feldstraße",49.488472,8.543778
17,218063,"Feudenheim, Hölderlinstraße",49.496403,8.530204
18,346623,"Feudenheim, Hölderlinstraße",49.496315,8.529791
19,370971,"Feudenheim, Hölderlinstraße",49.496525,8.530097
20,438743,"Feudenheim, Hölderlinstraße",49.49638,8.529638
21,15405,"Feudenheim, Kirche",49.486588,8.531381
22,238663,"Feudenheim, Kirche",49.48673,8.530671
23,380581,"Feudenheim, Kirche",49.4863,8.530465
24,415990,"Feudenheim, Kirche",49.48651,8.530743
25,188095,"Feudenheim, Kreuz",49.485928,8.53696
26,170530,"Feudenheim, Liebfrauenstraße",49.48843,8.523449
27,362911,"Feudenheim, Liebfrauenstraße",49.48839,8.52353
28,369993,"Feudenheim, Liebfrauenstraße",49.488342,8.523629
29,111324,"Feudenheim, Neckarplatt",49.48885,8.511897
30,181933,"Feudenheim, Neckarplatt",49.489044,8.512525
31,401527,"Feudenheim, Neckarplatt",49.488937,8.512723
32,405840,"Feudenheim, Neckarplatt",49.488934,8.512184
33,142485,"Feudenheim, Neckarstraße",49.484253,8.53201
34,178111,"Feudenheim, Neckarstraße",49.484234,8.532818
35,429340,"Feudenheim, Neckarstraße",49.484283,8.533402
36,186657,"Feudenheim, Talstraße",49.495327,8.524671
37,431521,"Feudenheim, Talstraße",49.495205,8.524796
38,93254,"Feudenheim, Talstraße",49.49537,8.525138
39,190005,"Feudenheim, Ziethenstraße",49.490124,8.518904
40,198839,"Feudenheim, Ziethenstraße",49.490368,8.518912
41,234465,"Feudenheim, Ziethenstraße",49.490356,8.519029
42,276367,"Feudenheim, Ziethenstraße",49.490467,8.519281
43,86705,"Friedrichsfeld (MA), Elsa-Brändström-Straße",49.450195,8.565445
44,283949,"Friedrichsfeld, Alteichwalds.",49.432255,8.57203
45,421333,"Friedrichsfeld, Friedr. Kreuz",49.446766,8.57653
46,208015,"Friedrichsfeld, Gebweilerstr.",49.437847,8.571482
47,266863,"Friedrichsfeld, Holzweg",49.451725,8.561295
48,434600,"Friedrichsfeld, L-Gräber-Halle",49.442497,8.5692
49,274049,"Friedrichsfeld, Langlachweg",49.446285,8.571922
50,119433,"Friedrichsfeld, Mülhauser Str",49.438164,8.578102
51,214322,"Friedrichsfeld, Neudorfstraße",49.440247,8.575938
52,257996,"Friedrichsfeld, Pfalzb. Straße",49.443123,8.573305
53,198422,"Friedrichsfeld, Saarburger Ring",49.446346,8.575839
54,140365,"Friedrichsfeld, Steinzeugstr.",49.44694,8.567457
55,267276,"Friedrichsfeld, Vogesenstraße",49.442566,8.579046
56,305389,"Friedrichsfeld, Vogesenstraße",49.442474,8.579019
57,53285,"Fries. Insel, BASF Fries.Insel",49.521706,8.44658
58,314466,"Fries. Insel, Dürstelschlag",49.510757,8.452356
59,382793,"Fries. Insel, Heizkraftwerk No",49.524067,8.454171
60,183907,"Fries. Insel, Hombuschstraße",49.51618,8.460711
61,350336,"Fries. Insel, Kammerschleuse",49.508087,8.448215
62,326581,"Fries. Insel, Max-Born-Straße",49.52104,8.455096
63,403258,"Fries. Insel, Max-Born-Straße",49.52129,8.453812
64,45332,"Fries. Insel, Max-Planck-Str.",49.51915,8.45692
65,200231,"Fries. Insel, Muskatormühle",49.531605,8.449607
66,18746,"Fries. Insel, Niederweid",49.51316,8.456471
67,104334,"Fries. Insel, Otto-Hahn-Straße",49.525967,8.454782
68,89312,"Fries. Insel, Rheinrottstraße",49.511772,8.45453
69,321074,"Fries. Insel, W.-Heisenberg-S.",49.528725,8.450856
70,113517,"Fries. Insel, Weidenwörth",49.518494,8.46328
71,157722,"Fries. Insel, Weidenwörth",49.517784,8.462965
72,81976,"Fries. Insel, Weidenwörth",49.518772,8.461968
73,177169,"Fries. Insel, Öllager",49.52985,8.447101
74,5576,"Friesen. Insel, Einsteinstraße",49.519337,8.459785
75,235845,"Friesenh. Insel, Gh. Dehus",49.53528,8.436681
76,3907,"Friesenh. Insel, Ölhafenstraße",49.523083,8.450012
77,274245,"Friesenheimer Insel, Bastion",49.517727,8.466002
78,252955,"Friesenheimer Insel, Ölhafen",49.52518,8.449131
79,26418,"Käfertal, ABB Tor 8",49.508945,8.496958
80,428667,"Käfertal, ABB Tor 8",49.50942,8.496473
81,272479,"Käfertal, Am Kuhbuckel",49.525906,8.511052
82,248832,"Käfertal, Bahnhof (RNV)",49.509663,8.518131
83,415862,"Käfertal, Bahnhof (RNV)",49.50973,8.51823
84,427472,"Käfertal, Bahnhof (RNV)",49.509556,8.517879
85,389305,"Käfertal, Bensheimer Straße",49.513557,8.5268
86,78815,"Käfertal, Bensheimer Straße",49.513943,8.527761
87,140941,"Käfertal, Boveristraße",49.50549,8.502626
88,173419,"Käfertal, Boveristraße",49.5046,8.502078
89,446226,"Käfertal, Boveristraße",49.505196,8.50197
90,158688,"Käfertal, Carl-Benz-Bad",49.526398,8.505294
91,164564,"Käfertal, Carl-Benz-Bad",49.526714,8.505788
92,11391,"Käfertal, Feuerwache Nord",49.51712,8.509417
93,400723,"Käfertal, Feuerwache Nord",49.51746,8.508519
94,457591,"Käfertal, Franklin Mitte",49.518948,8.531237
95,243153,"Käfertal, Friedhof",49.515396,8.519047
96,256924,"Käfertal, Friedhof",49.51608,8.51973
97,290358,"Käfertal, Funaristraße",49.515488,8.525452
