node_id,stop_id,stop_name,stop_lat,stop_lon
0,323014,Abzw. Woof/Bau,51.151176,6.322715
1,114063,Bozener Straße,51.203506,6.4517
2,435990,Bozener Straße,51.203423,6.451817
3,244874,Buchholz Wendeplatz,51.119392,6.362354
4,81948,Buchholz Wendeplatz,51.11937,6.362156
5,230712,Dahlener Str./Friedhof,51.16625,6.427643
6,391664,Dahlener Str./Friedhof,51.166527,6.42756
7,193390,Geneicken Bahnhof,51.169907,6.455558
8,453385,Geneicken Bahnhof,51.16984,6.456001
9,128511,Hilderather Straße,51.14677,6.359291
10,202813,Hilderather Straße,51.147205,6.359273
11,398723,Hilderather Straße,51.14694,6.35956
12,437989,Hilderather Straße,51.147243,6.358931
13,51280,Hilderather Straße,51.14698,6.359102
14,363954,Jüchen Roggenweg,51.131863,6.468184
15,277491,Kabelwerk,51.175606,6.455843
16,430243,Kabelwerk,51.175148,6.455739
17,124120,MG - Bismarckplatz,51.194206,6.443496
18,457195,MG - Bismarckplatz,51.19425,6.443768
19,187767,MG - Fliethstr.,51.19188,6.442643
20,89775,MG - Fliethstr.,51.190464,6.442043
21,410902,MG Flughafen Terminal,51.228104,6.502626
22,16858,MG Hbf /Europaplatz,51.19741,6.444622
23,263806,MG Hbf /Europaplatz,51.197266,6.444963
24,289209,MG Hbf /Europaplatz,51.19753,6.444828
25,29765,MG Hbf /Europaplatz,51.19715,6.444316
26,298105,MG Hbf /Europaplatz,51.19746,6.44472
27,310342,MG Hbf /Europaplatz,51.19735,6.44525
28,327971,MG Hbf /Europaplatz,51.1971,6.444819
29,355350,MG Hbf /Europaplatz,51.19759,6.444936
30,362744,MG Hbf /Europaplatz,51.197258,6.444496
31,412686,MG Hbf /Europaplatz,51.197075,6.444217
32,417673,MG Hbf /Europaplatz,51.197197,6.444424
33,75662,MG Hbf /Europaplatz,51.19715,6.444316
34,84408,MG Hbf /Europaplatz,51.196983,6.444487
35,1008,MG Neuwerk Verw.-Stelle,51.22427,6.468589
36,135711,MG Neuwerk Verw.-Stelle,51.22459,6.468598
37,179391,MG Neuwerk Verw.-Stelle,51.224457,6.468526
38,43045,MG Neuwerk Verw.-Stelle,51.22454,6.468337
39,124883,MG Odenkirchen Bf,51.136936,6.446373
40,146172,MG Odenkirchen Bf,51.13697,6.44631
41,283009,MG Odenkirchen Bf,51.13716,6.446391
