node_id,stop_id,stop_name,stop_lat,stop_lon
0,125829,"Münster (Westf), Mauritz-Mitte",51.967106,7.657707
1,159263,"Münster (Westf), Mauritz-Mitte",51.967255,7.65768
2,172776,"Münster (Westf), Pumpenhaus",51.97199,7.63612
3,375607,"Münster (Westf), Wilhelmstraße",51.967422,7.611515
4,395059,"Münster (Westf), Wilhelmstraße",51.967266,7.612926
5,154248,Münster A.v.Droste Hülshoff,51.920635,7.680677
6,182606,Münster Abzw. Wilkinghege,51.98375,7.588977
7,360269,Münster Abzw. Wilkinghege,51.984615,7.587854
8,269648,Münster Abzweig Angelmodde,51.932552,7.718011
9,395614,Münster Abzweig Angelmodde,51.93284,7.717768
10,422461,Münster Abzweig Sprakel,52.032368,7.620813
11,328429,Münster Ackermann,51.95273,7.552047
12,59022,Münster Ackermann,51.95271,7.551822
13,343206,Münster Aegidiimarkt,51.960857,7.623382
14,365613,Münster Aegidiimarkt,51.960983,7.623005
15,137861,Münster Alba. Sendener Stiege,51.9178,7.528223
16,222957,Münster Alba. Sendener Stiege,51.917606,7.528412
17,121747,Münster Albachten Kirche,51.92454,7.52764
18,232400,Münster Albachten Kirche,51.924675,7.527397
19,179545,Münster Albertstraße,51.966606,7.654509
20,362124,Münster Alexianer Werkstätten,51.87774,7.561758
21,171623,Münster Alexianer-Campus,51.876728,7.566258
22,421624,Münster Alexianer-Campus,51.876755,7.566555
23,187286,Münster Alte Reitbahn,51.926514,7.62888
24,279674,Münster Alte Reitbahn,51.926758,7.629032
25,126490,Münster Alte Viehstraße,51.89896,7.522995
26,162581,Münster Alte Viehstraße,51.898956,7.522618
27,272671,Münster Alter Mühlenweg.,51.976254,7.704257
28,353895,Münster Alter Mühlenweg.,51.976814,7.706449
29,248984,Münster Alter Schützenhof,51.945908,7.623463
30,69141,Münster Alter Schützenhof,51.946014,7.623301
31,356125,Münster Altstadt / Bült,51.96388,7.630658
32,60343,Münster Altstadt / Bült,51.9641,7.630335
33,319046,Münster Alvingheide,51.931293,7.513159
34,383266,Münster Alvingheide,51.93122,7.513329
35,258496,Münster Am Blaukreuzwäldchen,51.915577,7.681512
36,440432,Münster Am Blaukreuzwäldchen,51.91612,7.681207
37,10605,Münster Am Burloh,51.993942,7.612521
38,156020,Münster Am Burloh,51.99315,7.612099
39,253811,Münster Am Knapp,52.007862,7.615028
40,259796,Münster Am Knapp,52.00789,7.614848
