layer_id,layer_name
0,112
1,122
2,122
3,128
4,129
5,136
6,143
7,143
8,185
9,26
10,263
11,263E
12,906
13,907
14,908
15,917
16,918
17,935
18,935
19,935
20,939
21,939
22,952
23,953
24,954
25,955
26,956
27,957
28,960
29,961
30,962
31,966
32,976
33,979
34,979
35,995
36,995
37,E-401
38,E-402
39,E-403
40,E-404
41,E-405
42,E-406
43,E-407
44,E-408
45,E-409
46,E-410
47,E-411
48,E-412
49,E-413
50,E-414
51,E-415
52,E-416
53,E-417
54,E-421
55,E-422
56,E-423
57,E-424
58,E-425
59,E-426
60,E-427
61,E-428
62,E-429
63,E-431
64,E-432
65,E-433
66,E-434
67,E-440
68,NE 10
69,NE 12
70,NE1
71,NE10
72,NE11
73,NE2
74,NE3
75,NE4
76,NE5
77,NE6
78,NE7
79,Pendel Impfzentrum
80,SB90
81,SB91
82,SB91
83,SB92
84,SB93
85,SB94
86,SB97
87,SB98
