node_id,stop_id,stop_name,stop_lat,stop_lon
0,222320,- Obermeiderich Bf,51.46796,6.820405
1,327922,- Obermeiderich Bf,51.46796,6.820405
2,71392,- Obermeiderich Bf,51.46796,6.820405
3,199011,Anne-Frank-RS,51.467216,6.851855
4,399994,Anne-Frank-RS,51.46712,6.851882
5,45310,Anne-Frank-RS,51.46708,6.851801
6,61544,Anne-Frank-RS,51.467216,6.851855
7,66562,Anne-Frank-RS,51.46712,6.851882
8,298169,Duisburg Biggestraße,51.464855,6.81638
9,331867,Duisburg Biggestraße,51.464855,6.81638
10,192757,Duisburg Brunostr.,51.506535,6.820423
11,72669,Duisburg Brunostr.,51.506535,6.820423
12,75136,Duisburg Brunostr.,51.506535,6.820423
13,258358,Duisburg Sassenstr.,51.525425,6.780816
14,317388,Lebenshilfe Königshardt,51.553608,6.854352
15,160821,OB Bero-Zentrum,51.475983,6.8428
16,32538,OB Bero-Zentrum,51.47613,6.841758
17,351844,OB Bero-Zentrum,51.476048,6.842899
18,370764,OB Bero-Zentrum,51.475983,6.8428
19,372619,OB Bero-Zentrum,51.476048,6.842899
20,43981,OB Bero-Zentrum,51.476048,6.842899
21,44348,OB Bero-Zentrum,51.47613,6.841758
22,69318,OB Bero-Zentrum,51.475983,6.8428
23,71456,OB Bero-Zentrum,51.475983,6.8428
24,231423,OB Buschhausen Mitte,51.502495,6.831104
25,246779,OB Buschhausen Mitte,51.502556,6.833017
26,411687,OB Buschhausen Mitte,51.502476,6.83131
27,6806,OB Buschhausen Mitte,51.502476,6.83131
28,74800,OB Buschhausen Mitte,51.502495,6.831104
29,98787,OB Buschhausen Mitte,51.502316,6.833799
30,292447,OB E.-Heuss-Knapp-Str.,51.51485,6.862707
31,325699,OB E.-Heuss-Knapp-Str.,51.51485,6.862707
32,61928,OB E.-Heuss-Knapp-Str.,51.514973,6.862347
33,96834,OB E.-Heuss-Knapp-Str.,51.514973,6.862347
34,363632,OB Freizeitpark Weierheide,51.520927,6.829909
35,400288,OB Freizeitpark Weierheide,51.520897,6.829855
36,184181,OB Fröbelplatz,51.46062,6.821537
37,444316,OB Fröbelplatz,51.46062,6.821537
38,446850,OB Fröbelplatz,51.460876,6.822139
39,47906,OB Fröbelplatz,51.46062,6.821537
40,120359,OB Hbf./Rhein. Industriemuseum,51.47497,6.849627
41,46109,OB Hbf./Rhein. Industriemuseum,51.47486,6.849331
42,149908,OB Heinr. Böll GS,51.544334,6.820225
43,261074,OB Heinr. Böll GS,51.544476,6.820351
44,80457,OB Heinr. Böll GS,51.544384,6.820315
45,142885,OB Holten Markt,51.524105,6.788039
46,294312,OB Holten Markt,51.524414,6.788146
47,380926,OB Holten Markt,51.524307,6.78803
48,65565,OB Holten Markt,51.524414,6.788146
49,187820,OB Johanniter Krankenhaus,51.508755,6.853077
50,338175,OB Johanniter Krankenhaus,51.509212,6.852726
51,351791,OB Johanniter Krankenhaus,51.508755,6.853077
52,361686,OB Johanniter Krankenhaus,51.509212,6.852726
53,16016,OB Kleekamp/ Fernewaldstr.,51.538197,6.875103
54,250073,OB Kleekamp/ Fernewaldstr.,51.538204,6.875076
55,166987,OB Louise-Schroeder- Heim,51.511948,6.893267
56,206593,OB Louise-Schroeder- Heim,51.511932,6.893222
57,11859,OB Mercure Hotel,51.486477,6.856544
58,220025,OB Mercure Hotel,51.48642,6.856607
59,282644,OB Osterfeld Mitte,51.50144,6.882784
60,33560,OB Osterfeld Mitte,51.501705,6.882308
61,211250,OB Rathaus Sterkrade,51.513733,6.850157
62,262767,OB Rathaus Sterkrade,51.51352,6.849627
63,279186,OB Rathaus Sterkrade,51.51352,6.849627
64,397253,OB Rathaus Sterkrade,51.513733,6.850157
65,56966,OB Rathaus Sterkrade,51.513733,6.850157
66,355835,OB Revierpark Vonderort,51.508804,6.90331
67,368702,OB Revierpark Vonderort,51.50893,6.903876
68,414004,OB Revierpark Vonderort,51.508804,6.90331
69,390783,OB Schmachtendorf Mitte,51.54224,6.8193
70,58307,OB Schmachtendorf Mitte,51.54207,6.819156
71,344690,OB St.-Marien- Hospital,51.502747,6.890869
72,444563,OB St.-Marien- Hospital,51.502823,6.890842
73,118392,OB Sterkrade Bf.,51.511578,6.844731
74,156572,OB Sterkrade Bf.,51.512005,6.844327
75,169809,OB Sterkrade Bf.,51.511578,6.844731
76,189629,OB Sterkrade Bf.,51.5115,6.84448
77,210109,OB Sterkrade Bf.,51.512005,6.844327
78,256009,OB Sterkrade Bf.,51.512005,6.844327
79,292242,OB Sterkrade Bf.,51.511578,6.844731
80,336265,OB Sterkrade Bf.,51.512466,6.844156
81,355690,OB Sterkrade Bf.,51.511578,6.844731
82,362232,OB Sterkrade Bf.,51.51201,6.84457
83,382734,OB Sterkrade Bf.,51.512005,6.844327
84,389303,OB Sterkrade Bf.,51.511654,6.844399
85,400334,OB Sterkrade Bf.,51.5115,6.84448
86,442003,OB Sterkrade Bf.,51.511578,6.844731
87,66842,OB Sterkrade Bf.,51.511692,6.844219
88,254330,OB Tackenbergstr.,51.525436,6.872516
89,320898,OB Tackenbergstr.,51.525883,6.872795
90,355552,OB Tackenbergstr.,51.525497,6.872453
91,161413,OB Teutob./ Rothebuschstr.,51.51889,6.888614
92,199671,OB Teutob./ Rothebuschstr.,51.518867,6.88777
93,266776,OB Teutob./ Rothebuschstr.,51.51889,6.888614
94,428961,OB Teutob./ Rothebuschstr.,51.518867,6.88777
95,267522,OB. Am Leitgraben,51.538944,6.816641
96,44061,OB. Am Leitgraben,51.538666,6.816542
97,227773,Oberh. Sterkrade Bf. Westseite,51.51174,6.842252
98,234692,Oberh. Sterkrade Bf. Westseite,51.51177,6.842189
99,307993,Oberh. Sterkrade Bf. Westseite,51.51174,6.842252
100,31475,Oberh. Sterkrade Bf. Westseite,51.51177,6.842189
101,331506,Oberh. Sterkrade Bf. Westseite,51.51177,6.842189
102,75339,Oberh. Sterkrade Bf. Westseite,51.51174,6.842252
103,262289,Oberh.Friedhof Klosterh.,51.52329,6.874151
104,437039,Oberh.Friedhof Klosterh.,51.5233,6.874151
105,306844,Oberhausen Akazienstr.,51.460083,6.851262
106,308701,Oberhausen Akazienstr.,51.460217,6.851424
107,423842,Oberhausen Akazienstr.,51.460083,6.851262
108,81978,Oberhausen Akazienstr.,51.460217,6.851424
109,418817,Oberhausen Alleestr.,51.469727,6.844839
110,9046,Oberhausen Alleestr.,51.469715,6.844767
111,205584,Oberhausen Alsbachtal,51.535446,6.852906
112,322340,Oberhausen Alsbachtal,51.535484,6.852987
113,126360,Oberhausen Alsenstr.,51.46648,6.863012
114,430143,Oberhausen Alsenstr.,51.466522,6.863021
115,36573,Oberhausen Alsfeldstr.,51.531105,6.841192
116,415357,Oberhausen Alsfeldstr.,51.531082,6.841246
117,106090,Oberhausen Alstadener Str.,51.466206,6.837096
118,142062,Oberhausen Alstadener Str.,51.465443,6.837069
119,168182,Oberhausen Alstadener Str.,51.465977,6.837087
120,349571,Oberhausen Alstadener Str.,51.466,6.837626
121,382935,Oberhausen Alstadener Str.,51.465977,6.837087
122,4857,Oberhausen Alstadener Str.,51.466206,6.835865
123,198468,Oberhausen Alsterfeld,51.45752,6.831993
124,293640,Oberhausen Alsterfeld,51.45746,6.831885
125,150303,Oberhausen Alte Heid,51.477413,6.881383
126,297184,Oberhausen Alte Heid,51.477413,6.881383
127,49200,Oberhausen Alte Heid,51.477413,6.881383
128,175978,Oberhausen Altenberger Str.,51.474346,6.846124
129,182686,Oberhausen Altenberger Str.,51.474346,6.846124
130,72085,Oberhausen Altenberger Str.,51.474346,6.846124
131,171747,Oberhausen Am Dicken Stein,51.52468,6.866039
132,204225,Oberhausen Am Dicken Stein,51.52529,6.866201
133,216849,Oberhausen Am Dicken Stein,51.52529,6.866201
134,278717,Oberhausen Am Dicken Stein,51.52468,6.866039
135,335629,Oberhausen Am Mühlenbach,51.509075,6.892782
136,85279,Oberhausen Am Mühlenbach,51.50899,6.8928
137,124258,Oberhausen Am Sandberg,51.495937,6.824762
138,155046,Oberhausen Am Sandberg,51.495945,6.824789
139,256158,Oberhausen Am Sandberg,51.495937,6.824762
140,379687,Oberhausen Am Sandberg,51.495945,6.824789
141,270196,Oberhausen Amboßstr.,51.458824,6.830816
142,82785,Oberhausen Amboßstr.,51.45878,6.830727
143,384748,Oberhausen Annastr.,51.470184,6.830978
144,8771,Oberhausen Annastr.,51.470245,6.830906
145,201471,Oberhausen Anne-Frank-RS,51.46713,6.852511
146,225957,Oberhausen Anne-Frank-RS,51.467216,6.851855
147,251461,Oberhausen Anne-Frank-RS,51.467106,6.852843
148,443836,Oberhausen Anne-Frank-RS,51.467106,6.852843
149,58306,Oberhausen Anne-Frank-RS,51.467106,6.852843
150,282790,Oberhausen Antoniestr.,51.515682,6.869246
151,295026,Oberhausen Antoniestr.,51.515682,6.869246
152,315048,Oberhausen Antoniestr.,51.515827,6.869399
153,325796,Oberhausen Antoniestr.,51.515827,6.869399
154,179348,Oberhausen Aquapark,51.49422,6.888964
155,251482,Oberhausen Aquapark,51.493412,6.888084
156,32787,Oberhausen Aquapark,51.493797,6.889009
157,159937,Oberhausen Arminstr.,51.499493,6.890276
158,276913,Oberhausen Arminstr.,51.499367,6.890357
159,351871,Oberhausen Arminstr.,51.4997,6.89068
160,84712,Oberhausen Arminstr.,51.49964,6.89077
161,128039,Oberhausen Babcock Werk 1,51.473854,6.831598
162,16806,Oberhausen Babcock Werk 1,51.473904,6.832164
163,415197,Oberhausen Babcock Werk 1,51.473854,6.831598
164,43905,Oberhausen Babcock Werk 1,51.47407,6.8322
165,65193,Oberhausen Babcock Werk 1,51.47407,6.8322
166,108909,Oberhausen Bachstr.,51.499817,6.831346
167,168717,Oberhausen Bachstr.,51.499794,6.831346
168,197175,Oberhausen Bachstr.,51.499786,6.831292
169,372288,Oberhausen Bachstr.,51.499817,6.831275
170,137080,Oberhausen Badenstr.,51.510334,6.834625
171,177952,Oberhausen Badenstr.,51.510063,6.834158
172,19454,Oberhausen Badenstr.,51.510334,6.834625
173,354112,Oberhausen Badenstr.,51.510063,6.834158
174,412041,Oberhausen Badenstr.,51.510334,6.834625
175,41550,Oberhausen Badenstr.,51.510063,6.834158
176,352515,Oberhausen Baumstr.,51.517147,6.894022
177,48981,Oberhausen Baumstr.,51.517143,6.894067
178,202034,Oberhausen Bebelstr.,51.470173,6.83785
179,2579,Oberhausen Bebelstr.,51.46988,6.837042
180,300906,Oberhausen Bebelstr.,51.469566,6.837572
181,423840,Oberhausen Bebelstr.,51.46988,6.83803
182,290630,Oberhausen Beckerstr.,51.473804,6.884167
183,383682,Oberhausen Beckerstr.,51.47395,6.883592
184,217793,Oberhausen Beeckstr.,51.50753,6.823073
185,314168,Oberhausen Beeckstr.,51.50747,6.823118
186,119874,Oberhausen Beethovenstr.,51.535156,6.861682
187,309275,Oberhausen Beethovenstr.,51.53522,6.86188
188,453700,Oberhausen Beethovenstr.,51.53547,6.861997
189,106960,Oberhausen Bermensfeld,51.475952,6.887051
190,157910,Oberhausen Bermensfeld,51.475937,6.887069
191,252729,Oberhausen Bermensfeld,51.475952,6.887051
192,33224,Oberhausen Bermensfeld,51.475937,6.887069
193,204610,Oberhausen Bernarduskirche,51.517544,6.857038
194,348173,Oberhausen Bernarduskirche,51.517544,6.857038
195,366700,Oberhausen Bernarduskirche,51.517197,6.856014
196,65290,Oberhausen Bernarduskirche,51.517197,6.856014
197,124175,Oberhausen Bero-Zentrum-Süd,51.472958,6.843204
198,272956,Oberhausen Bero-Zentrum-Süd,51.472958,6.843204
199,358643,Oberhausen Bero-Zentrum-Süd,51.472954,6.84324
200,24083,Oberhausen Bertha v.S. Gymn.,51.477703,6.870755
201,311823,Oberhausen Bertha v.S. Gymn.,51.4777,6.870764
202,444355,Oberhausen Bertha v.S. Gymn.,51.477703,6.870755
203,84488,Oberhausen Bertha v.S. Gymn.,51.4777,6.870764
204,248408,Oberhausen Bertholdstr.,51.51367,6.89006
205,328607,Oberhausen Bertholdstr.,51.51359,6.889979
206,203337,Oberhausen Biefangstr.,51.514454,6.825166
207,306433,Oberhausen Biefangstr.,51.514454,6.825094
208,103470,Oberhausen Blattstr.,51.467678,6.825786
209,123099,Oberhausen Blattstr.,51.467678,6.825786
