node_id,stop_id,stop_name,stop_lat,stop_lon
0,135086,Abzw. Betriebshof ViP,52.373314,13.111493
1,311151,Abzw. Betriebshof ViP,52.37351,13.111168
2,46466,Abzw. Betriebshof ViP,52.373863,13.112981
3,66726,Abzweig nach Eiche,52.40628,13.014934
4,70245,Abzweig nach Eiche,52.405197,13.014172
5,20624,Abzweig nach Nedlitz,52.432087,13.008381
6,252688,Abzweig nach Nedlitz,52.432735,13.008725
7,378044,Abzweig nach Nedlitz,52.43262,13.009293
8,194935,Alt Nowawes,52.393192,13.087083
9,409335,Alt Nowawes,52.39308,13.086541
10,75288,Alt Nowawes,52.393383,13.084955
11,84955,Alt Nowawes,52.393593,13.084102
12,24913,Alt-Golm,52.405087,12.960668
13,384949,Alt-Golm,52.405087,12.960669
14,117283,Alter Markt/Landtag,52.395138,13.059236
15,128829,Alter Markt/Landtag,52.394753,13.059265
16,275262,Alter Markt/Landtag,52.394302,13.061172
17,394266,Alter Markt/Landtag,52.394276,13.060943
18,426299,Alter Markt/Landtag,52.395138,13.059236
19,19778,Alter Tornow,52.383022,13.044689
20,345382,Alter Tornow,52.382828,13.045753
21,200622,Am Alten Mörtelwerk,52.405293,12.996269
22,314763,Am Alten Mörtelwerk,52.405354,12.996355
23,260891,Am Anger,52.466225,13.107101
24,287376,Am Anger,52.466057,13.107054
25,293756,Am Fenn,52.367874,13.09924
26,325603,Am Fenn,52.368237,13.098637
27,191711,Am Findling/Willi-Frohwein-Platz,52.38737,13.102364
28,399405,Am Findling/Willi-Frohwein-Platz,52.38739,13.101999
29,300618,Am Gehölz,52.38688,13.133526
30,313926,Am Gehölz,52.386852,13.133557
31,335992,Am Gehölz,52.386887,13.133787
32,435920,Am Gehölz,52.386868,13.133777
33,153420,Am Grünen Weg,52.405434,13.000779
34,160813,Am Grünen Weg,52.405506,13.001244
35,114929,Am Havelblick,52.386612,13.065305
36,357438,Am Havelblick,52.386555,13.065361
37,103450,Am Hirtengraben,52.361816,13.137127
38,270724,Am Hirtengraben,52.361843,13.137086
39,295180,Am Hirtengraben,52.362106,13.137115
40,331538,Am Hirtengraben,52.36208,13.137188
41,250207,Am Hämphorn,52.432865,13.101431
42,44750,Am Hämphorn,52.43304,13.101837
43,323333,Am Küssel,52.430824,12.965449
