node_id,stop_id,stop_name,stop_lat,stop_lon
0,04963,Umanesimo/S. Eugenio (H),41.822685,12.472128
1,04974,S.m. Battaglia (MB),41.905787,12.504955
2,04975,Lucrezia Romana/Pellaro,41.834268,12.576397
3,05000,Piazza Dei Cinquecento,41.901297,12.50042
4,10001,Conca D'oro (MB1),41.93855,12.525922
5,10002,Borgo Sant'angelo,41.90322,12.463745
6,10003,Cimitero Laurentino,41.76088,12.494693
7,10004,San Giovanni (ma - Mc),41.88602,12.510527
8,10010,Staz.ne Tiburtina (MB),41.90987,12.528813
9,10011,Staz.ne Tiburtina  (MB),41.909828,12.528752
10,10012,Staz.ne Tiburtina (MB),41.909788,12.52868
11,10013,Staz.ne Tiburtina  Mb,41.90976,12.528565
12,10014,Staz.ne Tiburtina (MB),41.909735,12.52844
13,10015,Staz.ne Tiburtina (MB),41.910415,12.529677
14,10016,Tiburtina/Castro Laurenziano,41.903943,12.520808
15,10017,Umanesimo/Urali,41.823178,12.469965
16,10018,Staz.ne Tiburtina (MB),41.910188,12.529195
17,10037,Brunetti,41.787812,12.49019
18,20003,Rocca Cencia/Gioiosa Jonica,41.867588,12.689112
19,20006,Castel Porziano/Mariani,41.737617,12.3725
20,20014,Gordiani/Amalfi,41.886405,12.554405
21,20018,Cimitero Laurentino,41.760575,12.48906
22,20022,Selva Candida/Rosso E.,41.937267,12.378068
23,20027,Tradate/Bareggio,41.79145,12.329547
24,20028,Tiburtina/Lino Da Parma,41.932145,12.581155
25,20029,Tiburtina/Tor Cervara,41.932735,12.588337
26,20030,Tiburtina/Tivoli,41.932957,12.591
27,20033,Cimitero/V.le Uffici,42.008468,12.493493
28,20037,Selva Candida/Basaluzzo,41.932185,12.376708
29,20038,Selva Candida/Basaluzzo,41.932073,12.376887
30,20040,Donna Olimpia/Fiorini,41.87523,12.4548
31,20078,Moschea/Forte Antenne,41.934803,12.495748
32,20079,Sacro Cuore Di Maria/Euclide,41.92746,12.4819
33,20083,Volpato/Radio,41.871407,12.467342
34,20084,Volpato/Radio,41.87188,12.467523
35,20097,Incisa Val D'arno,41.978962,12.509112
36,20098,Incisa Val D'arno,41.979123,12.509057
37,20099,Cavaceppi/Vico Consorti,41.795617,12.432582
38,20100,L.go Valsabbia,41.942867,12.51587
39,20101,L.go Valsabbia,41.942928,12.515972
40,20102,L.go Valsabbia,41.94283,12.516145
41,20103,Emo/Di Bartolo,41.902463,12.44124
42,20107,Cave Di Pietralata,41.912805,12.540922
43,20113,Monti Tiburtini/Pertini (H),41.918552,12.538215
44,20114,Monti Tiburtini/Pertini (H),41.919167,12.537018
45,20115,Tiburtina/Morolo,41.93748,12.618545
46,20116,Tiburtina/Salone,41.937958,12.620367
47,20118,Stazione Prima Porta,42.000062,12.493907
48,20119,Santi Romano,41.862505,12.56732
49,20120,Papiria/Aeroporto,41.864312,12.558492
50,20121,Aurelia/Persichetti,41.882987,12.34098
51,20124,Garibaldi/Fabrizi,41.887625,12.466643
52,20128,Partenope/Irpinia,41.892407,12.550908
53,20130,Tuscolana/Centrale Enel,41.845888,12.5797
54,20131,Tor S. Giovanni,41.981913,12.56461
55,20132,Tor S. Giovanni,41.981878,12.564248
56,20133,Tiburtina/Nasini,41.92944,12.577097
57,20136,Trigoria/Andriuli,41.762045,12.477578
58,20138,Pesenti/Tiburtina,41.932142,12.599452
59,20141,Tiburtina/Morolo,41.937405,12.618892
60,20142,Tiburtina/Castel Madama,41.933758,12.603652
61,20143,Tiburtina/Pesenti,41.932852,12.597975
62,20147,Tiburtina/Tor Cervara,41.932717,12.586058
63,20149,Rocca Cencia/Stabilimento Ama,41.884918,12.695312
64,20152,Tiburtina/Nasini,41.929788,12.57743
65,20159,Casal Boccone/Almaviva,41.957862,12.557417
66,20171,Casal Boccone/Ojetti,41.95223,12.559133
67,20178,Casal Boccone/Almaviva,41.957892,12.557007
68,20181,Fioranello/Ardeatina,41.795488,12.535373
69,20182,Fioranello/Civico 186,41.794303,12.537462
70,20199,Tiburtina/Lino Da Parma,41.931575,12.57986
71,20203,Palmarola Nuova,41.948023,12.392373
72,20215,Morosini E./Nuovo Regina Margherita (H),41.885855,12.469258
73,20217,Xxi Aprile/Nardini,41.91797,12.520187
74,20265,Oslavia/Bainsizza,41.918898,12.461548
75,20288,Levi Civita,41.855587,12.473063
76,20295,Mameli,41.888047,12.467605
77,20296,Garibaldi/Iacobucci,41.888467,12.466005
78,20300,Chiodelli/Corbellini,41.907878,12.662423
79,20308,Acquedotto Del Peschiera,41.93647,12.425345
80,20313,Boston,41.829032,12.471233
81,20321,Boston,41.829685,12.471748
82,20323,Mameli,41.888388,12.467558
83,20332,Civitacampomarano/Case Rosse,41.932,12.643035
84,20353,S. Arcangelo Di Romagna,41.789932,12.407785
85,20354,Stazione Grottarossa,41.964007,12.488963
86,20369,Laurentina/Cimitero Laurentino,41.764165,12.498075
87,20370,Laurentina/Mandriola,41.76126,12.50005
88,20374,Laurentina/Civico 1569,41.745728,12.503467
89,20375,Laurentina/Cimitero Laurentino,41.763713,12.499112
90,20379,Bella Villa,41.873315,12.577322
91,20380,Laurentina/Boscotrecase,41.748932,12.501543
92,20388,G.r.a.,41.857698,12.376755
93,20389,Colosseo (MB),41.891312,12.492332
94,20398,Cornelia/Villata,41.899742,12.389362
95,20400,Oceano Pacifico/Velodromo,41.824988,12.456078
96,20409,Teano (MC),41.890203,12.551117
97,20416,Pta S. Sebastiano/Sepolcro Scipioni,41.8738,12.50136
98,20423,Vinci,41.938182,12.419372
99,20424,Pitagora,41.921553,12.489655
100,20435,Venezuela/India,41.933012,12.478297
101,20443,Tiburtina/Zoe Fontana,41.934308,12.608055
102,20488,Buazzelli/Fabbri,41.940428,12.566968
103,20501,Cambellotti,41.869437,12.631973
104,30156,Sirene,41.736038,12.272753
105,30519,De Carolis/Nicolai F.,41.913912,12.440982
106,30536,Bufalotta/Fucini,41.952445,12.543373
107,30547,Tiburtina/Castel Madama,41.933813,12.60502
108,30552,Liburni,41.900492,12.512252
109,30563,Staz.ne Metro Cipro,41.907108,12.448207
110,30568,S. Luca Evangelista,41.88763,12.537542
111,30571,P.za  Venezia,41.895433,12.481947
112,30574, Isole Del Capo Verde/Tagaste,41.737203,12.271295
113,30585,Taranto/ Pontremoli,41.885162,12.511903
114,30608,Lega Lombarda/Provincie,41.908875,12.522427
115,30609,Aquilone,41.718007,12.307085
116,30610,Aquilone/Vivaldi,41.717083,12.31027
117,40041,Vasca Navale/Ageno,41.855267,12.467182
118,4042,Vasca Navale/Universita',41.856365,12.469088
119,70002,Flaminia/Cantalupo,41.954902,12.484548
120,70003,Flaminia/Tor Di Quinto,41.951973,12.484668
121,70004,Flaminia/Monterosi,41.951023,12.480733
122,70005,Flaminia/Cappelli R.,41.949773,12.478958
123,70006,Flaminia/Morlupo,41.947815,12.475602
124,70007,Flaminia/Nitti,41.946295,12.473415
125,70008,Flaminia/Bevagna,41.944303,12.472062
126,70009,C.so Francia/Flaminia,41.940735,12.47079
127,70010,Tor Di Quinto/Riano,41.93711,12.469635
128,70011,Mozart/Sibelius,41.912182,12.563843
129,70012,Mozart/Badile,41.91419,12.562372
130,70013,Ortucchio/Pacentro,41.936717,12.65037
131,70014,Lgt Thaon Di Revel/Foro Italico,41.931103,12.462867
132,70015,Lgt Thaon Di Revel/Romano,41.933332,12.465273
133,70017,Flaminia/Calderini,41.93127,12.467823
