node_id,stop_id,stop_name,stop_lat,stop_lon
0,45633,Müggenburg,54.223003,12.22266
1,336683,Neu Hinrichsdorf EKZ,54.12298,12.169912
2,164698,Niederhagen,54.17889,12.205389
3,408281,Rostock Alter Hafen Süd,54.10954,12.086007
4,303849,Rostock Am Dorfteich,54.061073,12.104945
5,14542,Rostock Am Petridamm,54.091232,12.162336
6,345688,Rostock Am Petridamm,54.091076,12.162538
7,75513,Rostock Am Rosengarten,54.085423,12.136684
8,162302,Rostock Am Seehafen (Bus),54.142742,12.109375
9,8428,Rostock Am Seehafen (Bus),54.14253,12.109681
10,367235,Rostock Bei der Tweel,54.08054,12.11363
11,57337,Rostock Bei der Tweel,54.080444,12.113852
12,234809,Rostock Beim Pulverturm,54.076008,12.105771
13,295723,Rostock Brinckmansdorf,54.081036,12.18663
14,269948,Rostock Campingplatz,54.19433,12.156583
15,436376,Rostock Campus Südstadt,54.074,12.103359
16,439056,Rostock Campus Südstadt,54.074604,12.103694
17,458458,Rostock Campus Südstadt,54.07457,12.103631
18,221250,Rostock Carl-Hopp-Str.,54.09923,12.096114
19,255837,Rostock DK-Abstellung,54.098434,12.157073
20,94630,Rostock Dethardingstr.,54.085278,12.106632
21,301283,Rostock Deutsche Med Platz,54.085697,12.127271
22,328884,Rostock Deutsche Med Platz,54.085613,12.125202
23,295043,Rostock Dierkow Dorf,54.108974,12.160031
24,177893,Rostock Dierkower Kreuz,54.10345,12.154013
25,414439,Rostock Dierkower Kreuz,54.10345,12.154013
26,202550,Rostock E-Schlesinger-Straße,54.075027,12.121807
27,274860,Rostock E-Schlesinger-Straße,54.07486,12.122008
28,314259,Rostock E-Schlesinger-Straße,54.074905,12.121859
29,419245,Rostock E-Schlesinger-Straße,54.075455,12.121839
30,172646,Rostock Fischereihafen,54.11593,12.084968
31,33866,Rostock Gehlsdorf Fähre,54.099678,12.114285
32,352202,Rostock Getreidehafen,54.147854,12.124702
33,221449,Rostock Hauptbahnhof,54.078133,12.131211
34,157354,Rostock Hinrichshagen,54.187786,12.207886
35,301397,Rostock Immendiek,54.10414,12.070051
36,174640,Rostock Joachim-Jungius-Str,54.07785,12.113368
37,50565,Rostock Kabutzenhof Fähre,54.094677,12.114017
38,386077,Rostock Kessiner Berg,54.071346,12.165133
39,334300,Rostock Kessiner Weg,54.07102,12.178663
40,215817,Rostock Klinikum Süd,54.073025,12.107734
41,400238,Rostock Klinikum Süd,54.072887,12.107555
42,412515,Rostock Klinikum Süd,54.072918,12.107802
43,433272,Rostock Klinikum-Schillingalle,54.085255,12.100546
44,93344,Rostock Liebherrstraße,54.15377,12.117002
45,194128,Rostock Lütten Klein Zentrum,54.13825,12.055065
46,438265,Rostock Lütten Klein Zentrum,54.1381,12.05513
47,80370,Rostock Lütten Klein Zentrum,54.137966,12.055075
48,198782,Rostock Majakowskistraße,54.069546,12.116566
49,348247,Rostock Majakowskistraße,54.06963,12.116343
50,67412,Rostock Majakowskistraße,54.069485,12.116424
51,308987,Rostock Markgrafenheide Strand,54.20065,12.154383
52,16164,Rostock Markt Reutershagen,54.09871,12.074084
53,211233,Rostock Neubrandenburger Str,54.079815,12.159648
54,382091,Rostock Neuer Friedhof,54.073624,12.087283
55,52716,Rostock Neuer Friedhof,54.073765,12.087492
56,388454,Rostock Nienhager Koppel,54.16096,12.175085
57,85271,Rostock Paulstraße,54.082386,12.141163
58,122529,Rostock Reutershagen,54.101765,12.079021
59,438935,Rostock Reutershagen,54.101765,12.079021
60,253732,Rostock Rigaer Straße,54.140194,12.057305
61,187501,Rostock Robert-Koch-Straße,54.07225,12.11197
62,209165,Rostock Robert-Koch-Straße,54.07205,12.111878
