layer_id,layer_name
0,10
1,10
2,103
3,109
4,122
5,20
6,20E
7,23
8,40
9,41
10,412
11,42
12,43
13,44
14,45
15,50
16,501
17,502
18,503
19,508
20,52
21,53
22,54
23,56
24,57
25,58
26,60
27,61
28,612
29,62
30,64
31,65
32,66
33,72
34,73
35,74
36,747
37,748
38,76
39,77
40,80
41,806
42,806
43,81
44,816A
45,816A
46,82
47,84
48,86
49,90
50,91
51,92
52,99
53,BB01
54,BB02
55,BB03
56,BB04
57,BB05
58,BB06
59,BB07
60,BB08
61,BB09
62,N55
63,RT4
64,RT6
65,RT7
66,RT70
67,U1
68,U12
69,U13
70,U14
71,U15
72,U16
73,U19
74,U2
75,U29
76,U3
77,U34
78,U4
79,U5
80,U6
81,U7
82,U8
83,U9
84,X1
85,X2
86,X4
87,X7
88,X74
89,X74
