node_id,stop_id,stop_name,stop_lat,stop_lon
0,274925,Nufringen Kuppinger Straße,48.779846,9.250467
1,407957,Nufringen Kuppinger Straße,48.779846,9.250467
2,220151,Stuttgart A.-Stuttg.-/Vaihinger Landstr.,48.777477,9.127267
3,128583,Stuttgart Aalstraße,48.844913,9.221473
4,176680,Stuttgart Aalstraße,48.843887,9.22106
5,238772,Stuttgart Albblick,48.723663,9.094456
6,429831,Stuttgart Albblick,48.723843,9.094769
7,333804,Stuttgart Albert-Luthuli-Platz,48.815792,9.187671
8,188522,Stuttgart Albert-Schäffle-Straße,48.7719,9.204159
9,394674,Stuttgart Albert-Schäffle-Straße,48.771637,9.204566
10,264571,Stuttgart Albschule,48.7426,9.165453
11,306014,Stuttgart Albschule,48.7426,9.165453
12,58975,Stuttgart Albschule,48.74169,9.16666
13,37263,Stuttgart Alpseeweg,48.833397,9.229022
14,69261,Stuttgart Alpseeweg,48.833736,9.229678
15,277663,Stuttgart Alte Krone,48.779186,9.252831
16,91188,Stuttgart Alte Stuttgarter-/Nöllenstr.,48.77825,9.124956
17,373349,Stuttgart Altenburg,48.81176,9.21023
18,374188,Stuttgart Altenburg,48.811462,9.209943
19,301568,Stuttgart Alter Gutshof,48.81817,9.190594
20,117755,Stuttgart Am Bergwald,48.756104,9.248499
21,222829,Stuttgart Am Bergwald,48.756058,9.248716
22,256817,Stuttgart Am Bismarckturm,48.791924,9.154237
23,358205,Stuttgart Am Bismarckturm,48.792038,9.154782
24,236388,Stuttgart Am Buberlesbach/G.-Mahler-Str.,48.776737,9.121537
25,405707,Stuttgart Am Feldrand,48.736492,9.097703
26,65861,Stuttgart Am Feldrand,48.736923,9.097228
27,175997,Stuttgart Am Kriegsbergturm,48.789986,9.174101
28,345026,Stuttgart Am Kriegsbergturm,48.789986,9.174101
29,340421,Stuttgart Am Mittelkai,48.75457,9.265478
30,297217,Stuttgart Am Ochsenwald,48.72059,9.091379
31,341013,Stuttgart Am Ochsenwald,48.72076,9.091991
32,96554,Stuttgart Am Ochsenwald,48.720913,9.091584
33,160874,Stuttgart Am Römerkastell,48.813625,9.208563
34,200088,Stuttgart Am Römerkastell,48.813644,9.208209
35,406768,Stuttgart Am Römerkastell,48.813393,9.208548
36,146462,Stuttgart Am Schattwald,48.75224,9.083577
37,150306,Stuttgart Am Schattwald,48.751034,9.083833
38,203733,Stuttgart Am Schattwald,48.751034,9.083833
39,370598,Stuttgart Am Schattwald,48.75224,9.083577
40,226559,Stuttgart Amstetter Straße,48.757053,9.256759
41,228407,Stuttgart Amstetter Straße,48.757053,9.256759
42,238849,Stuttgart Antwerpener Straße,48.808395,9.242945
43,46370,Stuttgart Antwerpener Straße,48.808434,9.242931
44,286011,Stuttgart Arndt-/Spittastraße,48.77485,9.150784
45,325930,Stuttgart Arndt-/Spittastraße,48.774876,9.150784
46,364860,Stuttgart Asang,48.770863,9.274094
47,416886,Stuttgart Asang,48.770863,9.274094
48,1852,Stuttgart Asemwald,48.726246,9.192406
49,214446,Stuttgart Asemwald,48.726246,9.192406
50,326729,Stuttgart Aspen,48.78702,9.267609
51,75925,Stuttgart Aspen,48.78702,9.267609
52,237563,Stuttgart Aspenwald-/Kullenbergstr.,48.77428,9.122524
53,272074,Stuttgart Aspenwaldstraße,48.77355,9.125719
54,388716,Stuttgart Aspenwaldstraße,48.7738,9.126223
55,205736,Stuttgart Asperger Straße,48.852608,9.155487
56,436631,Stuttgart Asperger Straße,48.852608,9.155487
57,416995,Stuttgart Auberlen-/Brahmsweg,48.774414,9.132225
58,36490,Stuttgart Auberlenweg,48.77383,9.1304
59,416652,Stuttgart Auberlenweg,48.773823,9.1304
60,215454,Stuttgart Auf der Gans,48.81881,9.24226
61,319994,Stuttgart Auf der Gans,48.81857,9.241796
62,135408,Stuttgart Augsburger Platz,48.805904,9.230844
63,329962,Stuttgart Augsburger Platz,48.805878,9.230816
64,454175,Stuttgart Augustinum,48.738976,9.214412
65,51926,Stuttgart Augustinum,48.738976,9.214412
66,153794,Stuttgart Auwiesen,48.839474,9.225345
67,174839,Stuttgart Auwiesen,48.83968,9.225169
68,305828,Stuttgart Auwiesen,48.839466,9.224854
69,443981,Stuttgart Auwiesen,48.839428,9.224895
70,214390,Stuttgart Bachhalde,48.845757,9.227294
71,258423,Stuttgart Bachhalde,48.845757,9.227294
72,57290,Stuttgart Bad Cann. Wilhelmspl.(Badstr.),48.803432,9.215395
73,272935,Stuttgart Bad Cannstatt,48.802097,9.217622
74,290801,Stuttgart Bad Cannstatt,48.802,9.216778
75,137082,Stuttgart Bad Cannstatt Wilhelmsplatz,48.803307,9.215667
76,167581,Stuttgart Bad Cannstatt Wilhelmsplatz,48.802776,9.21576
77,170748,Stuttgart Bad Cannstatt Wilhelmsplatz,48.803036,9.2167
78,190488,Stuttgart Bad Cannstatt Wilhelmsplatz,48.80334,9.215667
79,301440,Stuttgart Bad Cannstatt Wilhelmsplatz,48.802776,9.216127
80,371207,Stuttgart Bad Cannstatt Wilhelmsplatz,48.80267,9.215446
81,81873,Stuttgart Bad Cannstatt Wilhelmsplatz,48.802757,9.215814
82,157755,Stuttgart Banzhaldenstraße,48.8061,9.142342
83,106642,Stuttgart Baumgartenweg,48.7484,9.218151
84,290561,Stuttgart Beethovenstraße,48.777164,9.133035
85,364866,Stuttgart Beethovenstraße,48.77721,9.133375
86,380364,Stuttgart Beethovenstraße,48.777084,9.133402
87,446344,Stuttgart Beethovenstraße,48.777218,9.133307
88,428016,Stuttgart Beilsteiner Straße,48.833237,9.177098
89,211185,Stuttgart Belaustr. (Wendeplatte),48.777813,9.116777
90,261052,Stuttgart Bergfriedhof,48.7891,9.204977
91,372825,Stuttgart Bergfriedhof,48.789024,9.20612
92,384032,Stuttgart Berghaustraße,48.714806,9.105352
93,450189,Stuttgart Berghaustraße,48.714806,9.105352
94,30618,Stuttgart Bergheimer Hof,48.804176,9.101088
95,66286,Stuttgart Bergheimer Hof,48.80421,9.101075
96,13991,Stuttgart Bergstaffelstraße,48.76574,9.26585
97,37861,Stuttgart Bergstaffelstraße,48.76574,9.26585
98,108227,Stuttgart Berliner Platz (Hohe Straße),48.777138,9.168601
99,132515,Stuttgart Berliner Platz (Hohe Straße),48.777126,9.168546
100,360882,Stuttgart Berliner Platz (Hohe Straße),48.777786,9.167854
101,157048,Stuttgart Berliner Platz (Liederhalle),48.77856,9.167163
102,208141,Stuttgart Berliner Platz (Liederhalle),48.77855,9.167381
