node_id,stop_id,stop_name,stop_lat,stop_lon
0,165117,A.-Dürer-Schule,50.086952,8.218171
1,307808,A.-Schlüter-Straße,50.063576,8.266106
2,42760,A.-Schlüter-Straße,50.06448,8.265548
3,395899,A.-Schweitzer-Allee,50.04746,8.232145
4,401485,A.-Schweitzer-Allee,50.04756,8.232786
5,207071,A.-v.-Jawlensky-Schule,50.06819,8.192467
6,417253,A.-v.-Jawlensky-Schule,50.06819,8.192467
7,151083,Abeggstraße,50.094406,8.250081
8,31937,Abeggstraße,50.094444,8.250248
9,139195,Abraham-Lincoln-Str.,50.066525,8.269357
10,376488,Abraham-Lincoln-Str.,50.066998,8.267562
11,263674,Adelheidstraße,50.076218,8.238462
12,36771,Adelheidstraße,50.075405,8.237092
13,173949,Adlerstraße,50.086704,8.235306
14,67023,Adlerstraße,50.086678,8.235418
15,52211,Adolf-Todt-Straße,50.03728,8.2375
16,13535,Alfred-Delp-Straße,50.066418,8.157732
17,422498,Alfred-Delp-Straße,50.06653,8.159518
18,357217,Alt Auringen,50.12362,8.32525
19,389947,Alt Auringen,50.123222,8.326542
20,354834,Alte Dorfstraße,50.07753,8.372753
21,125406,Alte Schmelze,50.04811,8.208539
22,330622,Alte Schmelze,50.04821,8.209906
23,109767,Alwinenstraße,50.082283,8.25639
24,224870,Alwinenstraße,50.082077,8.254982
25,175998,Am Burgacker,50.11038,8.281804
26,186544,Am Burgacker,50.109978,8.281419
27,175801,Am Erbenheimer Feld,50.062927,8.322707
28,40203,Am Erbenheimer Feld,50.06271,8.323786
29,28882,Am Hang,50.079803,8.200809
30,453231,Am Hang,50.079914,8.201589
31,432918,Am Hochfeld,50.05809,8.290782
32,93954,Am Hochfeld,50.057816,8.291582
33,347702,Am Kupferberg,50.060253,8.245725
34,435295,Am Rathaus,50.07782,8.36962
35,49678,Am Rathaus,50.07782,8.369606
36,243984,Am Rheinbahnhof,50.037296,8.245666
37,342177,Am Rheinbahnhof,50.037334,8.245526
38,13819,Am Speiergarten,50.084694,8.28793
39,192540,Am Speiergarten,50.084522,8.288115
40,177658,Am Sportfeld,50.11011,8.338762
41,270525,Am Sportfeld,50.110218,8.338342
42,228920,Am Wald,50.115276,8.337517
43,2630,Am Wald,50.115276,8.337517
44,23272,Am Weinberg,50.125206,8.321578
45,337959,Am Weinberg,50.125305,8.321325
46,357660,Am Wiesenhang,50.08065,8.324847
47,446739,Am Wiesenhang,50.08069,8.324707
48,413628,"Amöneburg, Ch. Werke Albert",50.031822,8.250505
49,90346,"Amöneburg, Dyckerhoffstr.",50.03123,8.262497
50,452818,"Amöneburg, Niederfeldstraße",50.028927,8.256146
51,395699,An den drei Weiden,50.102753,8.344371
52,39648,An den drei Weiden,50.10285,8.345586
53,331954,An der Dietenmühle,50.090714,8.257196
54,417159,An der Dietenmühle,50.09082,8.257166
55,213837,Andreas-Hofer-Str.,50.052185,8.231888
56,317527,Andreas-Hofer-Str.,50.05257,8.231533
