layer_id,layer_name
0,332
1,332
2,583
3,60
4,600
5,601
6,602
7,603
8,604
9,606
10,607
11,608
12,608
13,609
14,610
15,611
16,612
17,613
18,614
19,615
20,615
21,616
22,617
23,618
24,619
25,620
26,621
27,622
28,623
29,624
30,625
31,626
32,626
33,627
34,628
35,629
36,630
37,631
38,632
39,633
40,635
41,636
42,637
43,638
44,639
45,640
46,641
47,641
48,642
49,643
50,644
51,645
52,646
53,647
54,649
55,650
56,669
57,669
58,670
59,683
60,745
61,784
62,AST02
63,AST11
64,AST13
65,AST29
66,AST30
67,AST33
68,AST38
69,AST45
70,AST46
71,AST50
72,AST64
73,AST70
74,AST84
75,BB
76,CE61
77,CE62
78,CE64
79,CE65
80,E60
81,E801
82,E802
83,E803
84,E804
85,E805
86,E807
87,E808
88,E810
89,E811
90,E812
91,E813
92,E814
93,E816
94,E817
95,E818
96,E819
97,E820
98,E821
99,E822
100,E823
101,E824
102,E825
103,E826
104,E829
105,E831
106,E832
107,E836
108,E841
109,E842
110,E843
111,E845
112,E846
113,E847
114,E849
115,E850
116,E851
117,E852
118,E860
119,E862
120,E870
121,E871
122,E872
123,E873
124,E874
125,E875
126,E876
127,E877
128,E878
129,E879
130,E880
131,E881
132,E882
133,E883
134,E884
135,E885
136,E886
137,E887
138,E888
139,E889
140,E890
141,E891
142,E892
143,E901
144,E902
145,E903
146,E904
147,E905
148,E907
149,E909
150,E910
151,E912
152,E916
153,E920
154,E921
155,E925
156,E927
157,E929
158,E932
159,E937
160,E938
161,E941
162,E950
163,E951
164,E952
165,NE15
166,NE16
167,NE23
168,SB67
169,SB68
170,SB69
171,SEV
172,T1
173,T61
174,Uni-Express
175,~ E ~
