node_id,stop_id,stop_name,stop_lat,stop_lon
0,215003,Haan Tückmantel,51.214836,7.038552
1,227226,Hatzfeld Katholische Kirche,51.29388,7.195838
2,398893,Hatzfeld Katholische Kirche,51.293922,7.196592
3,449633,Hatzfeld Katholische Kirche,51.293922,7.196592
4,454915,Hatzfeld Katholische Kirche,51.29388,7.195838
5,15460,Höchsten/St. Josef Krankenhaus,51.26084,7.143888
6,427104,Höchsten/St. Josef Krankenhaus,51.260895,7.142963
7,199183,RS-Lüttringhausen Flügel,51.209568,7.204884
8,272089,RS-Lüttringhausen Flügel,51.209618,7.204956
9,203139,Remscheid Bärenkuhle,51.175217,7.151308
10,443964,Remscheid Bärenkuhle,51.17528,7.151452
11,401954,Sulamith-Wülfing-Straße,51.240673,7.163507
12,50367,Sulamith-Wülfing-Straße,51.240555,7.163642
13,135958,W-Vohwinkel Schwebebahn,51.230053,7.067001
14,173523,W-Vohwinkel Schwebebahn,51.229992,7.067945
15,182171,W-Vohwinkel Schwebebahn,51.2303,7.068061
16,212940,W-Vohwinkel Schwebebahn,51.230453,7.067711
17,230025,W-Vohwinkel Schwebebahn,51.230053,7.067001
18,251850,W-Vohwinkel Schwebebahn,51.23006,7.067504
19,298688,W-Vohwinkel Schwebebahn,51.230053,7.067001
20,337303,W-Vohwinkel Schwebebahn,51.23006,7.067504
21,420105,W-Vohwinkel Schwebebahn,51.23006,7.067504
22,68561,W-Vohwinkel Schwebebahn,51.229515,7.067999
23,189010,W-tal Alfred-Henckels-Halle,51.210075,7.129066
24,379976,W-tal Hindenburgstr. / Junk.,51.245354,7.117666
25,172347,W-tal Hist. Stadthalle,51.252678,7.145739
26,222960,W-tal Hist. Stadthalle,51.252544,7.143286
27,252805,W-tal Hist. Stadthalle,51.25255,7.145784
28,265124,W-tal Hist. Stadthalle,51.252968,7.144041
29,81982,W-tal Hist. Stadthalle,51.25255,7.145784
30,87736,W-tal Hist. Stadthalle,51.252678,7.145739
31,223041,W-tal Lichtscheid Wasserturm,51.24249,7.190358
32,3525,W-tal Lichtscheid Wasserturm,51.24271,7.191185
33,24529,W-tal Pina-Bausch-GS,51.23209,7.091472
34,109037,W-tal Richard-Strauss-Allee,51.264782,7.213624
